Time [s],Capacitor voltage [V],GPIO [V]
1.64685e-05,0.534238,-0.06479
4.32685e-05,0.531092,-0.05925
7.00685e-05,0.531929,-0.02964
9.67685e-05,0.532894,-0.06783
0.0001235685,0.532503,-0.05305
0.0001502685,0.530269,-0.0491
0.0001770685,0.534193,-0.08537
0.0002037685,0.535988,-0.0576
0.0002305685,0.533803,-0.06552
0.0002573685,0.532721,-0.04672
0.0002841685,0.535751,-0.04672
0.0003109685,0.532886,-0.06466
0.0003377685,0.534539,-0.0576
0.0003645685,0.535004,-0.07699
0.0003913685,0.535034,-0.05424
0.0004181685,0.534204,-0.05958
0.0004449685,0.533881,-0.03881
0.0004717685,0.533393,-0.06763
0.0004986685,0.534734,-0.05351
0.0005254685,0.535395,-0.07007
0.0005522685,0.535564,-0.0396
0.0005791685,0.533945,-0.07224
0.0006059685,0.53559,-0.04059
0.0006328685,0.532928,-0.04666
0.0006597685,0.536656,-0.08458
0.0006865685,0.532781,-0.04725
0.0007134685,0.53369,-0.07007
0.0007403685,0.534572,-0.04494
0.0007672685,0.532034,-0.03399
0.0007941685,0.532642,-0.05741
0.0008210685,0.532398,-0.05563
0.0008479685,0.534835,-0.04764
0.0008748685,0.533405,-0.03986
0.0009016685,0.532455,-0.05708
0.0009283685,0.532518,-0.08069
0.0009551685,0.534028,-0.04639
0.0009818685,0.532909,-0.04494
0.0010086685,0.532781,-0.0644
0.0010354685,0.532789,-0.04105
0.0010621685,0.534156,-0.05807
0.0010889685,0.533157,-0.06915
0.0011157685,0.533269,-0.05173
0.0011425685,0.534753,-0.04243
0.0011693685,0.533746,-0.08491
0.0011961685,0.532841,-0.05094
0.0012229685,0.533619,-0.05464
0.0012497685,0.533694,-0.03861
0.0012765685,0.531783,-0.04553
0.0013033685,0.534058,-0.04224
0.0013301685,0.531336,-0.02806
0.0013570685,0.533119,-0.03966
0.0013838685,0.533881,-0.05648
0.0014107685,0.534339,-0.06967
0.0014375685,0.533292,-0.05556
0.0014644685,0.533686,-0.06644
0.0014912685,0.532203,-0.04197
0.0015181685,0.532849,-0.05925
0.0015450685,0.532943,-0.06862
0.0015718685,0.534377,-0.06776
0.0015987685,0.53411,-0.05602
0.0016256685,0.532717,-0.07416
0.0016525685,0.533634,-0.04046
0.0016794685,0.536739,-0.04633
0.0017063685,0.534719,-0.06789
0.0017332685,0.533626,-0.02173
