Time [s],Capacitor voltage [V]
1.64266e-05,0.530442
4.32266e-05,0.529597
7.00266e-05,0.527562
9.67266e-05,0.529901
0.0001235266,0.533243
0.0001502266,0.529838
0.0001770266,0.530472
0.0002037266,0.530649
0.0002305266,0.529492
0.0002573266,0.529969
0.0002841266,0.532173
0.0003109266,0.530566
0.0003377266,0.530765
0.0003645266,0.528565
0.0003913266,0.531005
0.0004181266,0.531125
0.0004449266,0.530115
0.0004717266,0.531692
0.0004986266,0.530968
0.0005254266,0.532312
0.0005522266,0.52986
0.0005791266,0.528411
0.0006059266,0.530814
0.0006328266,0.529222
0.0006597266,0.531287
0.0006865266,0.532714
0.0007134266,0.539761
0.0007403266,0.530547
0.0007672266,0.531201
0.0007941266,0.529875
0.0008210266,0.531565
0.0008479266,0.530123
0.0008748266,0.529395
0.0009016266,0.530799
0.0009283266,0.529958
0.0009551266,0.530401
0.0009818266,0.530153
0.0010086266,0.52763
0.0010354266,0.531614
0.0010621266,0.531381
0.0010889266,0.529699
0.0011157266,0.529455
0.0011425266,0.529473
0.0011693266,0.529597
0.0011961266,0.529259
0.0012229266,0.530247
0.0012497266,0.530232
0.0012765266,0.530378
0.0013033266,0.530972
0.0013301266,0.52956
0.0013570266,0.52763
0.0013838266,0.528591
0.0014107266,0.530731
0.0014375266,0.529898
0.0014644266,0.530149
0.0014912266,0.529841
0.0015181266,0.530307
0.0015450266,0.530161
0.0015718266,0.531418
0.0015987266,0.525794
0.0016256266,0.529181
0.0016525266,0.531982
0.0016794266,0.529425
0.0017063266,0.529241
0.0017332266,0.531865
0.0017600266,0.52959
0.0017867266,0.532301
0.0018135266,0.530851
0.0018402266,0.528553
0.0018670266,0.530998
0.0018938266,0.530344
0.0019205266,0.525786
0.0019473266,0.530228
0.0019741266,0.532267
0.0020009266,0.529931
0.0020277266,0.530983
0.0020545266,0.530176
0.0020813266,0.529548
0.0021081266,0.528456
0.0021349266,0.530701
0.0021617266,0.529995
0.0021885266,0.532259
0.0022154266,0.530915
0.0022422266,0.539142
0.0022691266,0.53007
0.0022959266,0.532027
0.0023228266,0.532778
0.0023496266,0.530667
0.0023765266,0.530915
0.0024033266,0.52989
0.0024302266,0.52891
0.0024571266,0.530412
0.0024840266,0.530555
0.0025109266,0.530397
0.0025378266,0.524074
0.0025647266,0.528144
0.0025916266,0.527769
0.0026184266,0.526755
0.0026452266,0.530866
0.0026719266,0.529815
0.0026987266,0.530067
0.0027254266,0.526567
0.0027522266,0.530634
0.0027790266,0.529
0.0028057266,0.525858
0.0028325266,0.527397
0.0028593266,0.528058
0.0028861266,0.5314
0.0029129266,0.529778
0.0029397266,0.530472
0.0029665266,0.529601
0.0029933266,0.528373
0.0030201266,0.527746
0.0030470266,0.532549
0.0030738266,0.532135
0.0031006266,0.531355
0.0031275266,0.531704
0.0031543266,0.530112
0.0031812266,0.530874
0.0032080266,0.529353
0.0032349266,0.529267
0.0032618266,0.530202
0.0032886266,0.52992
0.0033155266,0.529417
0.0033424266,0.531264
0.0033693266,0.52817
0.0033962266,0.53235
0.0034231266,0.530566
0.0034500266,0.531313
0.0034768266,0.528798
0.0035036266,0.532725
0.0035303266,0.527397
0.0035571266,0.531246
