Time [s],Capacitor voltage [V],GPIO [V]
5.59293e-06,1.021707,-0.05041
3.243293e-05,1.022886,-0.05767
5.927293e-05,1.024906,-0.04085
8.611293e-05,1.024103,-0.0578
0.00011295293,1.024933,-0.05912
0.00013963293,1.022267,-0.05708
0.00016633293,1.023209,-0.06235
0.00019301293,1.026037,-0.06354
0.00021971293,1.024606,-0.05595
0.00024643293,1.02458,-0.03993
0.00027313293,1.02672,-0.06664
0.00029985293,1.024625,-0.05193
0.00032657293,1.02654,-0.06004
0.00035329293,1.025113,-0.07251
0.00038001293,1.024997,-0.058
0.00040675293,1.025139,-0.08511
0.00043349293,1.025053,-0.07145
0.00046025293,1.02464,-0.08458
0.00048699293,1.025068,-0.0427
0.00051375293,1.026299,-0.06222
0.00054051293,1.026975,-0.01065
0.00056729293,1.025631,-0.07066
0.00059405293,1.028135,-0.0638
0.00062083293,1.025023,-0.03907
0.00064761293,1.025353,-0.0272
0.00067441293,1.024309,-0.04204
0.00070121293,1.025015,-0.0549
0.00072801293,1.02304,-0.02456
0.00075481293,1.026074,-0.05101
0.00078163293,1.023986,-0.04916
0.00080845293,1.024388,-0.0485
0.00083527293,1.024043,-0.06717
0.00086209293,1.023299,-0.06004
0.00088893293,1.023089,-0.06519
0.00091577293,1.024869,-0.02694
0.00094261293,1.023491,-0.06941
0.00096947293,1.024531,-0.07521
0.00099615293,1.024692,-0.04481
0.00102283293,1.023739,-0.06947
0.00104953293,1.026157,-0.05688
0.00107623293,1.026311,-0.04606
0.00110293293,1.02589,-0.07488
0.00112965293,1.025027,-0.06103
0.00115635293,1.023236,-0.06446
0.00118307293,1.025,-0.04797
0.00120979293,1.023866,-0.06756
0.00123653293,1.022297,-0.05048
0.00126327293,1.023337,-0.05767
0.00129001293,1.024445,-0.06301
0.00131675293,1.026055,-0.06769
0.00134351293,1.024737,-0.06849
0.00137025293,1.0326,-0.04079
0.00139701293,1.023074,-0.05694
0.00142379293,1.023337,-0.06182
0.00145055293,1.02149,-0.08398
0.00147733293,1.024929,-0.04422
0.00150411293,1.025841,-0.0702
0.00153091293,1.024674,-0.10027
0.00155771293,1.026341,-0.05061
0.00158451293,1.023247,-0.08662
0.00161131293,1.024692,-0.05965
0.00163811293,1.025229,-0.05114
0.00166493293,1.024129,-0.06281
0.00169175293,1.023003,-0.06229
0.00171859293,1.023262,-0.05991
0.00174541293,1.02313,-0.04817
0.00177225293,1.023637,-0.06301
0.00179911293,1.025631,-0.04705
0.00182595293,1.022289,-0.06783
0.00185269293,1.024783,-0.08247
0.00187937293,1.02467,-0.04019
0.00190607293,1.02375,-0.06182
0.00193277293,1.025533,-0.04811
0.00195947293,1.023502,-0.06539
0.00198617293,1.026878,-0.04633
0.00201289293,1.02651,-0.04316
0.00203961293,1.025518,-0.07119
0.00206633293,1.025526,-0.03426
0.00209307293,1.023742,-0.06354
0.00211979293,1.025199,-0.04969
0.00214653293,1.024613,-0.03815
0.00217329293,1.024212,-0.04382
0.00220003293,1.02595,-0.0423
0.00222679293,1.024681,-0.04263
0.00225355293,1.02515,-0.06605
0.00228031293,1.025687,-0.04402
0.00230709293,1.024242,-0.06915
0.00233387293,1.025271,-0.05767
0.00236065293,1.026134,-0.06479
0.00238743293,1.022958,-0.0735
0.00241423293,1.024959,-0.07093
0.00244103293,1.025038,-0.03452
0.00246783293,1.024783,-0.06374
0.00249463293,1.026209,-0.05028
0.00252145293,1.025781,-0.04362
0.00254827293,1.025346,-0.03907
0.00257511293,1.024062,-0.06308
0.00260193293,1.024681,-0.04065
0.00262877293,1.024553,-0.04369
0.00265561293,1.024629,-0.07106
0.00268247293,1.022019,-0.0545
0.00270923293,1.023461,-0.06176
0.00273591293,1.024039,-0.06275
0.00276259293,1.023859,-0.04316
0.00278929293,1.023938,-0.0423
0.00281599293,1.023712,-0.05266
0.00284271293,1.02274,-0.08082
0.00286941293,1.024099,-0.0491
0.00289613293,1.023746,-0.06532
0.00292285293,1.024557,-0.05523
0.00294957293,1.022466,-0.05253
0.00297631293,1.024876,-0.04481
0.00300305293,1.023273,-0.03927
0.00302979293,1.024997,-0.05338
0.00305655293,1.023701,-0.05978
0.00308329293,1.02411,-0.0361
0.00311005293,1.022796,-0.06248
0.00313681293,1.026273,-0.05457
0.00316359293,1.024613,-0.08537
0.00319037293,1.025173,-0.05932
0.00321715293,1.023029,-0.06558
0.00324393293,1.025612,-0.03017
0.00327073293,1.024362,-0.04613
0.00329751293,1.024737,-0.07231
0.00332433293,1.02571,-0.04764
0.00335113293,1.023803,-0.05569
0.00337795293,1.023697,-0.05497
0.00340477293,1.026221,-0.04125
0.00343159293,1.023983,-0.04059
0.00345841293,1.023765,-0.04837
0.00348525293,1.025316,-0.05167
0.00351209293,1.025079,-0.05813
0.00353895293,1.022083,-0.03881
0.00356571293,1.023378,-0.06763
0.00359239293,1.024997,-0.05365
0.00361907293,1.024445,-0.04877
0.00364577293,1.022747,-0.04527
0.00367247293,1.024092,-0.06994
0.00369917293,1.024084,-0.0669
0.00372589293,1.023281,-0.05826
0.00375261293,1.025665,-0.05351
0.00377933293,1.024561,-0.06156
0.00380605293,1.023431,-0.06492
0.00383279293,1.02559,-0.06585
0.00385953293,1.025946,-0.05978
0.00388627293,1.02304,-0.0673
0.00391301293,1.023198,-0.04349
0.00393977293,1.024193,-0.08372
0.00396653293,1.025147,-0.04468
0.00399329293,1.022094,-0.02298
0.00402005293,1.023596,-0.04501
0.00404683293,1.024613,-0.05121
0.00407361293,1.021888,-0.07099
0.00410039293,1.022165,-0.06031
0.00412719293,1.022627,-0.05708
0.00415399293,1.023236,-0.06255
0.00418079293,1.022109,-0.07046
0.00420759293,1.023904,-0.07541
0.00423441293,1.024129,-0.05991
0.00426123293,1.022901,-0.06084
0.00428805293,1.023243,-0.06486
0.00431489293,1.021369,-0.06413
0.00434173293,1.022391,-0.04072
