# 20220916
# L35
# VBAT / 4 disabled
# ~1 second per ADC trigger
# ADC LDO output: 1.393 V (stable across ADC input voltage)

# 511->0 rollover around 0.64 V

# 1.397 V:
# ADC outputs: 511 (indefinitely)

Input voltage [V],ADC output [LSB]
-0.004,39
-0.004,47
-0.004,47
-0.004,47
-0.004,45
-0.004,40
-0.004,37
-0.004,46
-0.004,42
-0.004,56
-0.004,39
-0.004,46
-0.004,45
-0.004,42
-0.004,39
-0.004,44
-0.004,40
-0.004,31
-0.004,46
-0.004,41
-0.004,40
-0.004,37
-0.004,39
-0.004,44
-0.004,40
-0.004,39
-0.004,44
-0.004,39
-0.004,45
-0.004,40
-0.004,39
-0.004,39
-0.004,46
-0.004,39
-0.004,44
-0.004,39
-0.004,40
-0.004,39
-0.004,42
-0.004,40
-0.004,39
-0.004,39
-0.004,41
-0.004,39
-0.004,47
-0.004,39
-0.004,61
-0.004,45
-0.004,47
-0.004,64
-0.004,32
-0.004,36
-0.004,39
-0.004,45
-0.004,44
-0.004,41
-0.004,55
-0.004,43
-0.004,42
-0.004,47
-0.004,46
-0.004,39
-0.004,47
-0.004,47
-0.004,47
-0.004,39
-0.004,40
-0.004,39
-0.004,40
-0.004,32
-0.004,31
-0.004,47
-0.004,47
-0.004,47
-0.004,47
-0.004,45
-0.004,40
-0.004,39
-0.004,41
-0.004,45
-0.004,40
-0.004,39
-0.004,47
-0.004,44
-0.004,40
-0.004,37
-0.004,39
-0.004,40
-0.004,36
-0.004,33
-0.004,37
-0.004,61
-0.004,42
-0.004,38
-0.004,39
-0.004,44
-0.004,44
-0.004,38
-0.004,42
-0.004,56
0.096,114
0.096,112
0.096,112
0.096,113
0.096,114
0.096,120
0.096,117
0.096,123
0.096,120
0.096,127
0.096,119
0.096,123
0.096,119
0.096,122
0.096,119
0.096,120
0.096,115
0.096,120
0.096,112
0.096,115
0.096,122
0.096,115
0.096,119
0.096,120
0.096,119
0.096,126
0.096,120
0.096,118
0.096,119
0.096,120
0.096,112
0.096,112
0.096,114
0.096,112
0.096,112
0.096,114
0.096,115
0.096,115
0.096,120
0.096,115
0.096,119
0.096,124
0.096,117
0.096,127
0.096,126
0.096,114
0.096,112
0.096,110
0.096,115
0.096,119
0.096,120
0.096,118
0.096,122
0.096,119
0.096,124
0.096,119
0.096,119
0.096,123
0.096,115
0.096,127
0.096,136
0.096,112
0.096,107
0.096,120
0.096,111
0.096,126
0.096,122
0.096,119
0.096,120
0.096,112
0.096,111
0.096,136
0.096,111
0.096,121
0.096,119
0.096,120
0.096,110
0.096,120
0.096,111
0.096,124
0.096,120
0.096,114
0.096,117
0.096,115
0.096,119
0.096,127
0.096,126
0.096,119
0.096,124
0.096,116
0.096,127
0.096,123
0.096,122
0.096,119
0.096,120
0.096,117
0.096,127
0.096,127
0.096,120
0.096,115
0.196,207
0.196,191
0.196,195
0.196,207
0.196,191
0.196,192
0.196,181
0.196,191
0.196,197
0.196,191
0.196,192
0.196,186
0.196,191
0.196,199
0.196,192
0.196,184
0.196,191
0.196,199
0.196,192
0.196,188
0.196,191
0.196,191
0.196,197
0.196,190
0.196,192
0.196,189
0.196,193
0.196,191
0.196,195
0.196,207
0.196,216
0.196,183
0.196,191
0.196,191
0.196,196
0.196,191
0.196,211
0.196,191
0.196,194
0.196,191
0.196,203
0.196,191
0.196,191
0.196,195
0.196,191
0.196,214
0.196,191
0.196,197
0.196,191
0.196,191
0.196,195
0.196,192
0.196,188
0.196,192
0.196,189
0.196,195
0.196,191
0.196,207
0.196,195
0.196,191
0.196,191
0.196,197
0.196,191
0.196,191
0.196,191
0.196,191
0.196,197
0.196,191
0.196,199
0.196,192
0.196,191
0.196,197
0.196,191
0.196,200
0.196,191
0.196,199
0.196,191
0.196,196
0.196,189
0.196,193
0.196,190
0.196,191
0.196,194
0.196,187
0.196,191
0.196,195
0.196,191
0.196,191
0.196,195
0.196,191
0.196,196
0.196,191
0.196,196
0.196,191
0.196,191
0.196,198
0.196,191
0.196,195
0.196,206
0.196,192
0.296,255
0.296,271
0.296,275
0.296,255
0.296,271
0.296,269
0.296,263
0.296,255
0.296,276
0.296,255
0.296,271
0.296,267
0.296,255
0.296,271
0.296,268
0.296,255
0.296,271
0.296,263
0.296,264
0.296,255
0.296,287
0.296,283
0.296,255
0.296,269
0.296,264
0.296,255
0.296,272
0.296,255
0.296,272
0.296,255
0.296,271
0.296,284
0.296,267
0.296,255
0.296,271
0.296,269
0.296,263
0.296,263
0.296,267
0.296,262
0.296,255
0.296,271
0.296,266
0.296,264
0.296,255
0.296,269
0.296,264
0.296,255
0.296,271
0.296,270
0.296,255
0.296,271
0.296,268
0.296,255
0.296,272
0.296,276
0.296,255
0.296,271
0.296,265
0.296,271
0.296,263
0.296,271
0.296,270
0.296,255
0.296,271
0.296,271
0.296,255
0.296,271
0.296,268
0.296,255
0.296,271
0.296,271
0.296,266
0.296,255
0.296,275
0.296,255
0.296,271
0.296,255
0.296,271
0.296,267
0.296,255
0.296,272
0.296,255
0.296,275
0.296,279
0.296,255
0.296,271
0.296,268
0.296,255
0.296,270
0.296,266
0.296,255
0.296,271
0.296,270
0.296,263
0.296,271
0.296,282
0.296,259
0.296,255
0.296,272
0.396,340
0.396,338
0.396,338
0.396,335
0.396,346
0.396,339
0.396,336
0.396,335
0.396,344
0.396,335
0.396,359
0.396,343
0.396,343
0.396,344
0.396,335
0.396,348
0.396,341
0.396,342
0.396,335
0.396,351
0.396,344
0.396,338
0.396,352
0.396,338
0.396,335
0.396,343
0.396,336
0.396,333
0.396,344
0.396,338
0.396,336
0.396,335
0.396,343
0.396,344
0.396,341
0.396,340
0.396,340
0.396,341
0.396,338
0.396,336
0.396,329
0.396,342
0.396,341
0.396,341
0.396,342
0.396,340
0.396,341
0.396,344
0.396,352
0.396,335
0.396,360
0.396,338
0.396,336
0.396,334
0.396,342
0.396,331
0.396,341
0.396,341
0.396,341
0.396,344
0.396,336
0.396,335
0.396,343
0.396,343
0.396,342
0.396,343
0.396,344
0.396,337
0.396,335
0.396,346
0.396,335
0.396,343
0.396,344
0.396,339
0.396,336
0.396,335
0.396,343
0.396,340
0.396,340
0.396,338
0.396,335
0.396,350
0.396,342
0.396,342
0.396,340
0.396,337
0.396,330
0.396,354
0.396,336
0.396,340
0.396,334
0.396,342
0.396,342
0.396,335
0.396,343
0.396,343
0.396,344
0.396,336
0.396,338
0.396,335
0.496,416
0.496,412
0.496,411
0.496,432
0.496,411
0.496,416
0.496,412
0.496,415
0.496,422
0.496,416
0.496,413
0.496,420
0.496,415
0.496,422
0.496,415
0.496,414
0.496,428
0.496,415
0.496,416
0.496,410
0.496,416
0.496,415
0.496,418
0.496,414
0.496,416
0.496,414
0.496,417
0.496,404
0.496,415
0.496,416
0.496,408
0.496,415
0.496,416
0.496,412
0.496,416
0.496,428
0.496,407
0.496,419
0.496,415
0.496,417
0.496,425
0.496,416
0.496,424
0.496,414
0.496,415
0.496,431
0.496,425
0.496,414
0.496,431
0.496,418
0.496,415
0.496,422
0.496,416
0.496,409
0.496,412
0.496,416
0.496,407
0.496,416
0.496,411
0.496,420
0.496,414
0.496,415
0.496,417
0.496,428
0.496,404
0.496,411
0.496,415
0.496,434
0.496,414
0.496,418
0.496,416
0.496,408
0.496,411
0.496,415
0.496,421
0.496,416
0.496,412
0.496,414
0.496,416
0.496,410
0.496,406
0.496,415
0.496,418
0.496,413
0.496,415
0.496,423
0.496,415
0.496,418
0.496,408
0.496,408
0.496,414
0.496,416
0.496,413
0.496,432
0.496,412
0.496,416
0.496,424
0.496,416
0.496,410
0.496,415
0.597,489
0.597,492
0.597,495
0.597,492
0.597,490
0.597,488
0.597,487
0.597,491
0.597,492
0.597,485
0.597,487
0.597,491
0.597,491
0.597,504
0.597,492
0.597,491
0.597,491
0.597,488
0.597,486
0.597,489
0.597,487
0.597,494
0.597,485
0.597,488
0.597,486
0.597,485
0.597,490
0.597,488
0.597,486
0.597,504
0.597,487
0.597,495
0.597,495
0.597,492
0.597,488
0.597,485
0.597,491
0.597,503
0.597,495
0.597,492
0.597,488
0.597,483
0.597,491
0.597,490
0.597,488
0.597,488
0.597,488
0.597,488
0.597,488
0.597,485
0.597,504
0.597,480
0.597,487
0.597,494
0.597,496
0.597,486
0.597,491
0.597,487
0.597,492
0.597,495
0.597,511
0.597,500
0.597,490
0.597,486
0.597,492
0.597,487
0.597,494
0.597,488
0.597,502
0.597,509
0.597,495
0.597,486
0.597,487
0.597,495
0.597,495
0.597,495
0.597,495
0.597,494
0.597,490
0.597,491
0.597,494
0.597,497
0.597,490
0.597,491
0.597,492
0.597,489
0.597,500
0.597,491
0.597,488
0.597,487
0.597,490
0.597,492
0.597,486
0.597,488
0.597,488
0.597,487
0.597,494
0.597,492
0.597,489
0.597,491
0.697,47
0.697,38
0.697,29
0.697,35
0.697,34
0.697,23
0.697,35
0.697,33
0.697,46
0.697,37
0.697,36
0.697,31
0.697,48
0.697,28
0.697,34
0.697,31
0.697,37
0.697,38
0.697,31
0.697,39
0.697,36
0.697,32
0.697,32
0.697,29
0.697,36
0.697,32
0.697,39
0.697,38
0.697,32
0.697,32
0.697,28
0.697,34
0.697,32
0.697,31
0.697,36
0.697,33
0.697,32
0.697,31
0.697,38
0.697,34
0.697,32
0.697,31
0.697,39
0.697,38
0.697,38
0.697,32
0.697,31
0.697,38
0.697,47
0.697,38
0.697,32
0.697,30
0.697,47
0.697,52
0.697,36
0.697,32
0.697,28
0.697,34
0.697,31
0.697,39
0.697,38
0.697,31
0.697,40
0.697,32
0.697,32
0.697,32
0.697,28
0.697,35
0.697,32
0.697,28
0.697,35
0.697,33
0.697,32
0.697,30
0.697,36
0.697,24
0.697,34
0.697,39
0.697,35
0.697,32
0.697,31
0.697,39
0.697,37
0.697,33
0.697,31
0.697,38
0.697,33
0.697,30
0.697,36
0.697,34
0.697,34
0.697,34
0.697,31
0.697,39
0.697,37
0.697,36
0.697,32
0.697,30
0.697,37
0.697,36
