# 20230217
# M2
# VBAT / 4 disabled
# ~1 second per ADC trigger
# ADC LDO output: 1.329 V (stable across ADC input voltage)

# 1.2 V:
# ADC outputs: 511 (indefinitely)

Input voltage [V],ADC output [LSB]
0,111
0,111
0,111
0,110
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,112
0,106
0,104
0,107
0,109
0,111
0,111
0,110
0,108
0,106
0,110
0,111
0,111
0,111
0,111
0,111
0,107
0,111
0,111
0,113
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,111
0,110
0,110
0,103
0,110
0,111
0.1,189
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,190
0.1,188
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.1,191
0.2,271
0.2,267
0.2,255
0.2,271
0.2,266
0.2,255
0.2,272
0.2,255
0.2,270
0.2,255
0.2,255
0.2,271
0.2,255
0.2,267
0.2,255
0.2,270
0.2,255
0.2,271
0.2,255
0.2,271
0.2,263
0.2,255
0.2,270
0.2,255
0.2,267
0.2,255
0.2,255
0.2,267
0.2,255
0.2,269
0.2,255
0.2,263
0.2,255
0.2,269
0.2,255
0.2,267
0.2,255
0.2,271
0.2,263
0.2,255
0.2,271
0.2,255
0.2,271
0.2,255
0.2,272
0.2,255
0.2,271
0.2,255
0.2,255
0.2,255
0.3,346
0.3,342
0.3,338
0.3,334
0.3,342
0.3,335
0.3,343
0.3,343
0.3,343
0.3,341
0.3,343
0.3,343
0.3,343
0.3,343
0.3,346
0.3,343
0.3,343
0.3,344
0.3,340
0.3,338
0.3,336
0.3,342
0.3,342
0.3,342
0.3,342
0.3,335
0.3,343
0.3,344
0.3,340
0.3,336
0.3,335
0.3,346
0.3,343
0.3,343
0.3,343
0.3,343
0.3,343
0.3,340
0.3,336
0.3,338
0.3,335
0.3,350
0.3,343
0.3,348
0.3,342
0.3,339
0.3,340
0.3,335
0.3,343
0.3,344
0.4,416
0.4,415
0.4,427
0.4,416
0.4,414
0.4,422
0.4,416
0.4,415
0.4,421
0.4,420
0.4,414
0.4,418
0.4,415
0.4,423
0.4,423
0.4,428
0.4,415
0.4,419
0.4,418
0.4,415
0.4,423
0.4,421
0.4,418
0.4,414
0.4,422
0.4,417
0.4,416
0.4,419
0.4,422
0.4,422
0.4,419
0.4,420
0.4,420
0.4,415
0.4,423
0.4,423
0.4,422
0.4,418
0.4,420
0.4,415
0.4,423
0.4,421
0.4,415
0.4,424
0.4,416
0.4,416
0.4,415
0.4,424
0.4,420
0.4,423
0.5,495
0.5,503
0.5,503
0.5,503
0.5,504
0.5,496
0.5,496
0.5,498
0.5,495
0.5,504
0.5,499
0.5,496
0.5,494
0.5,504
0.5,500
0.5,498
0.5,496
0.5,495
0.5,502
0.5,503
0.5,504
0.5,498
0.5,498
0.5,499
0.5,503
0.5,504
0.5,498
0.5,498
0.5,495
0.5,502
0.5,498
0.5,496
0.5,498
0.5,496
0.5,501
0.5,499
0.5,498
0.5,496
0.5,496
0.5,496
0.5,494
0.5,496
0.5,498
0.5,500
0.5,497
0.5,501
0.5,502
0.5,500
0.5,504
0.5,498
0.6,56
0.6,48
0.6,46
0.6,47
0.6,56
0.6,52
0.6,47
0.6,55
0.6,56
0.6,49
0.6,47
0.6,53
0.6,55
0.6,48
0.6,46
0.6,50
0.6,48
0.6,47
0.6,56
0.6,46
0.6,52
0.6,51
0.6,46
0.6,50
0.6,47
0.6,54
0.6,54
0.6,50
0.6,50
0.6,54
0.6,55
0.6,55
0.6,56
0.6,48
0.6,51
0.6,54
0.6,55
0.6,55
0.6,55
0.6,55
0.6,54
0.6,53
0.6,52
0.6,52
0.6,50
0.6,49
0.6,51
0.6,52
0.6,48
0.6,47
0.7,118
0.7,118
0.7,118
0.7,120
0.7,122
0.7,120
0.7,118
0.7,124
0.7,122
0.7,122
0.7,120
0.7,118
0.7,120
0.7,119
0.7,122
0.7,120
0.7,122
0.7,119
0.7,124
0.7,124
0.7,126
0.7,122
0.7,122
0.7,119
0.7,122
0.7,120
0.7,119
0.7,120
0.7,118
0.7,119
0.7,119
0.7,126
0.7,123
0.7,122
0.7,118
0.7,119
0.7,124
0.7,119
0.7,122
0.7,119
0.7,125
0.7,126
0.7,123
0.7,119
0.7,119
0.7,123
0.7,134
0.7,119
0.7,121
0.7,120
0.8,191
0.8,200
0.8,191
0.8,198
0.8,195
0.8,193
0.8,191
0.8,195
0.8,194
0.8,190
0.8,198
0.8,191
0.8,197
0.8,199
0.8,192
0.8,192
0.8,191
0.8,200
0.8,190
0.8,196
0.8,190
0.8,196
0.8,188
0.8,191
0.8,196
0.8,191
0.8,195
0.8,198
0.8,191
0.8,198
0.8,195
0.8,194
0.8,190
0.8,198
0.8,191
0.8,198
0.8,194
0.8,194
0.8,191
0.8,199
0.8,198
0.8,196
0.8,189
0.8,198
0.8,198
0.8,194
0.8,192
0.8,194
0.8,189
0.8,191
0.9,275
0.9,278
0.9,279
0.9,288
0.9,278
0.9,282
0.9,278
0.9,279
0.9,279
0.9,285
0.9,286
0.9,288
0.9,275
0.9,282
0.9,280
0.9,279
0.9,284
0.9,280
0.9,281
0.9,282
0.9,278
0.9,278
0.9,286
0.9,282
0.9,274
0.9,279
0.9,282
0.9,280
0.9,276
0.9,280
0.9,279
0.9,286
0.9,285
0.9,287
0.9,290
0.9,277
0.9,274
