Time [s],GPIO [V],Input voltage [V]
-2.90327e-05,0.01755,0.12381
-4.327e-07,0.00201,0.11537
2.81673e-05,-0.00997,0.11611
5.69673e-05,0.00412,0.11391
8.55673e-05,0.03889,0.11574
0.0001143673,-0.00878,0.11606
0.0001429673,-0.00569,0.11209
0.0001717673,0.03454,0.10681
0.0002005673,-0.00799,0.10655
0.0002291673,0.01288,0.10205
0.0002579673,0.02006,0.10379
0.0002867673,0.00669,0.10284
0.0003153673,0.02203,0.1025
0.0003441673,0.01071,0.09247
0.0003729673,-0.00872,0.09318
0.0004017673,0.00748,0.09335
0.0004305673,0.00985,0.09086
0.0004591673,0.00267,0.08883
0.0004879673,0.02203,0.0905
0.0005167673,0.0194,0.0866
0.0005455673,0.03928,0.08371
0.0005743673,-0.00207,0.08081
0.0006031673,-0.00273,0.08434
0.0006319673,0.00978,0.07986
0.0006607673,0.01426,0.07153
0.0006897673,0.02203,0.07507
0.0007185673,0.0219,0.07449
0.0007473673,0.00952,0.07133
0.0007761673,-0.00477,0.06884
0.0008049673,0.01209,0.06201
0.0008337673,0.02065,0.06244
0.0008623673,-0.02064,0.06383
0.0008911673,0.02598,0.05748
0.0009197673,0.02262,0.06227
0.0009483673,-0.00707,0.05464
0.0009771673,0.02164,0.05585
0.0010057673,0.01222,0.0569
0.0010345673,0.01472,0.05323
0.0010633673,-0.00865,0.0542
0.0010919673,0.02434,0.05118
0.0011207673,-0.00595,0.04988
0.0011495673,-0.01682,0.04779
0.0011781673,0.01374,0.04673
0.0012069673,-0.00141,0.04626
0.0012357673,-0.00095,0.04319
0.0012645673,0.02407,0.03933
0.0012933673,-0.00832,0.03516
0.0013219673,4e-05,0.03564
0.0013507673,-0.01866,0.03809
0.0013795673,0.0059,0.03574
0.0014083673,-0.00332,0.03494
0.0014371673,0.01393,0.03256
0.0014659673,0.01341,0.02968
0.0014947673,0.02144,0.03121
0.0015235673,0.0082,0.02935
0.0015525673,0.0163,0.02667
0.0015813673,0.00893,0.02721
0.0016101673,-0.00661,0.02952
0.0016389673,-0.02353,0.02132
0.0016677673,0.03461,0.02345
0.0016965673,0.02032,0.01815
0.0017251673,0.02401,0.01835
0.0017539673,0.00201,0.02511
0.0017825673,0.00564,0.02242
