# 20220926
# L35
# III 2 nitrate sensor
# 1 Hz SCuM ADC sampling rate
# No averaging
# ADC LDO output: 1.393 V
# June 19 reference electrode

Nitrate concentration [M], ADC output [LSB]

# 0.1 M
0.1,165
0.1,169
0.1,167
0.1,184
0.1,175
0.1,168
0.1,168
0.1,168
0.1,168
0.1,172
0.1,175
0.1,180
0.1,175
0.1,180
0.1,167
0.1,175
0.1,175
0.1,184
0.1,175
0.1,186
0.1,183
0.1,184
0.1,183
0.1,186
0.1,181
0.1,184
0.1,176
0.1,178
0.1,180
0.1,182
0.1,183
0.1,191
0.1,192
0.1,184
0.1,189
0.1,190
0.1,208
0.1,191
0.1,191
0.1,190
0.1,192
0.1,181
0.1,188
0.1,191
0.1,208
0.1,191
0.1,197
0.1,196
0.1,188
0.1,190
0.1,191
0.1,191
0.1,199
0.1,196
0.1,208
0.1,191
0.1,200
0.1,191
0.1,196
0.1,191
0.1,191
0.1,191
0.1,191
0.1,199
0.1,193
0.1,195
0.1,200
0.1,196
0.1,196
0.1,191
0.1,202
0.1,195
0.1,199
0.1,196
0.1,191
0.1,205
0.1,199
0.1,208
0.1,191
0.1,206
0.1,220
0.1,204
0.1,199
0.1,218
0.1,216
0.1,200
0.1,199
0.1,207
0.1,204
0.1,196
0.1,196
0.1,196
0.1,196
0.1,197
0.1,205
0.1,200
0.1,206
0.1,205
0.1,207
0.1,213
0.1,207
0.1,209
0.1,207
0.1,213
0.1,210
0.1,207
0.1,210
0.1,207
0.1,207
0.1,207
0.1,211
0.1,207
0.1,207
0.1,229
0.1,215
0.1,216
0.1,209
0.1,224
0.1,198
0.1,207
0.1,207
0.1,215
0.1,207
0.1,216
0.1,208
0.1,204
0.1,207

# 0.01 M
0.01,277
0.01,255
0.01,254
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,254
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,263
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,272
0.01,243
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,255
0.01,275
0.01,255
0.01,255
0.01,269
0.01,255
0.01,266
0.01,253
0.01,255
0.01,255
0.01,255
0.01,271
0.01,255
0.01,263
0.01,255
0.01,255
0.01,263
0.01,255
0.01,279
0.01,255
0.01,266
0.01,255
0.01,267
0.01,255
0.01,255
0.01,271
0.01,261
0.01,255
0.01,255
0.01,267
0.01,255
0.01,255
0.01,263
0.01,255
0.01,286
0.01,255
0.01,263
0.01,255

# 0.001 M
0.001,303
0.001,303
0.001,312
0.001,303
0.001,303
0.001,307
0.001,302
0.001,304
0.001,302
0.001,303
0.001,308
0.001,302
0.001,303
0.001,303
0.001,319
0.001,303
0.001,307
0.001,303
0.001,307
0.001,302
0.001,303
0.001,304
0.001,296
0.001,290
0.001,302
0.001,303
0.001,308
0.001,303
0.001,296
0.001,301
0.001,303
0.001,303
0.001,306
0.001,302
0.001,301
0.001,303
0.001,304
0.001,301
0.001,301
0.001,303
0.001,305
0.001,301
0.001,308
0.001,304
0.001,298
0.001,296
0.001,303
0.001,303
0.001,306
0.001,300
0.001,303
0.001,310
0.001,295
0.001,308
0.001,304
0.001,300
0.001,318
0.001,304
0.001,312
0.001,306
0.001,303
0.001,316
0.001,303
0.001,319
0.001,309
0.001,306
0.001,306
0.001,303
0.001,301
0.001,309
0.001,309
0.001,304
0.001,304
0.001,319
0.001,309
0.001,303
0.001,319
0.001,317
0.001,311
0.001,311
0.001,324
0.001,302
0.001,310
0.001,304
0.001,300
0.001,299
0.001,305
0.001,311
0.001,312
0.001,304
0.001,295
0.001,302
0.001,303
0.001,308
0.001,303
0.001,310
0.001,305
0.001,311
0.001,304
0.001,304
0.001,302
0.001,303
0.001,310
0.001,303
0.001,303
0.001,312
0.001,319
0.001,318
0.001,316
0.001,311
0.001,305
0.001,302
0.001,308
0.001,301
0.001,306
0.001,303
0.001,303
0.001,316
0.001,310
0.001,312
0.001,311
0.001,311

# 0.0001 M
0.0001,351
0.0001,349
0.0001,348
0.0001,344
0.0001,341
0.0001,343
0.0001,344
0.0001,338
0.0001,337
0.0001,342
0.0001,343
0.0001,352
0.0001,336
0.0001,335
0.0001,343
0.0001,344
0.0001,342
0.0001,344
0.0001,343
0.0001,364
0.0001,348
0.0001,345
0.0001,343
0.0001,343
0.0001,346
0.0001,348
0.0001,350
0.0001,351
0.0001,352
0.0001,335
0.0001,346
0.0001,344
0.0001,344
0.0001,341
0.0001,360
0.0001,350
0.0001,351
0.0001,337
0.0001,348
0.0001,343
0.0001,343
0.0001,343
0.0001,348
0.0001,342
0.0001,343
0.0001,348
0.0001,343
0.0001,346
0.0001,343
0.0001,360
0.0001,342
0.0001,351
0.0001,351
0.0001,352
0.0001,351
0.0001,352
0.0001,341
0.0001,345
0.0001,350
0.0001,351
0.0001,352
0.0001,343
0.0001,351
0.0001,351
0.0001,349
0.0001,348
0.0001,364
0.0001,359
0.0001,364
0.0001,348
0.0001,351
0.0001,351
0.0001,349
0.0001,360
0.0001,349
0.0001,350
0.0001,366
0.0001,350
0.0001,351
0.0001,351
0.0001,351
0.0001,339
0.0001,344
0.0001,344
0.0001,345
0.0001,351
0.0001,351
0.0001,359
0.0001,352
0.0001,355
0.0001,362
0.0001,352
0.0001,339
0.0001,344
0.0001,346
0.0001,351

# 0.00001 M
0.00001,358
0.00001,368
0.00001,360
0.00001,362
0.00001,366
0.00001,367
0.00001,376
0.00001,368
0.00001,367
0.00001,371
0.00001,368
0.00001,376
0.00001,367
0.00001,379
0.00001,376
0.00001,374
0.00001,374
0.00001,367
0.00001,372
0.00001,365
0.00001,367
0.00001,383
0.00001,375
0.00001,376
0.00001,369
0.00001,368
0.00001,367
0.00001,371
0.00001,369
0.00001,367
0.00001,368
0.00001,375
0.00001,375
0.00001,375
0.00001,372
0.00001,370
0.00001,368
0.00001,366
0.00001,367
0.00001,368
0.00001,367
0.00001,373
0.00001,372
0.00001,367
0.00001,377
0.00001,367
0.00001,379
0.00001,372
0.00001,361
0.00001,370
0.00001,383
0.00001,376
0.00001,355
0.00001,380
0.00001,359
0.00001,363
0.00001,360
0.00001,367
0.00001,376
0.00001,368
0.00001,367
0.00001,376
0.00001,366
0.00001,366
0.00001,367
0.00001,367
0.00001,383
0.00001,375
0.00001,375
0.00001,367
0.00001,374
0.00001,368
0.00001,367
0.00001,372
0.00001,368
0.00001,359
0.00001,372
0.00001,372
0.00001,371
0.00001,369
0.00001,364
0.00001,366
0.00001,370
0.00001,366
0.00001,383
0.00001,378
0.00001,375
0.00001,377
0.00001,372
0.00001,367
0.00001,372
0.00001,366
0.00001,367
0.00001,380
0.00001,376
0.00001,374
0.00001,364

# 0.0001 M
0.0001,352
0.0001,348
0.0001,350
0.0001,353
0.0001,364
0.0001,350
0.0001,346
0.0001,351
0.0001,353
0.0001,349
0.0001,351
0.0001,352
0.0001,342
0.0001,346
0.0001,342
0.0001,351
0.0001,353
0.0001,360
0.0001,350
0.0001,359
0.0001,352
0.0001,358
0.0001,350
0.0001,351
0.0001,349
0.0001,352
0.0001,346
0.0001,347
0.0001,350
0.0001,355
0.0001,351
0.0001,351
0.0001,352
0.0001,341
0.0001,345
0.0001,350
0.0001,351
0.0001,356
0.0001,346
0.0001,346
0.0001,348
0.0001,347
0.0001,352
0.0001,343
0.0001,352
0.0001,346
0.0001,352
0.0001,349
0.0001,349
0.0001,351
0.0001,351
0.0001,352
0.0001,344
0.0001,352
0.0001,351
0.0001,354
0.0001,352
0.0001,337
0.0001,349
0.0001,351
0.0001,357
0.0001,357
0.0001,352
0.0001,343
0.0001,351
0.0001,351
0.0001,359
0.0001,359
0.0001,353
0.0001,352
0.0001,342
0.0001,351
0.0001,352
0.0001,340
0.0001,352
0.0001,348
0.0001,352
0.0001,343
0.0001,351
0.0001,352
0.0001,347
0.0001,350
0.0001,356
0.0001,355
0.0001,352
0.0001,343
0.0001,351
0.0001,356
0.0001,349
0.0001,359
0.0001,360
0.0001,352
0.0001,344
0.0001,350
0.0001,355

# 0.001 M
0.001,316
0.001,318
0.001,319
0.001,319
0.001,318
0.001,319
0.001,323
0.001,311
0.001,317
0.001,320
0.001,315
0.001,319
0.001,319
0.001,319
0.001,319
0.001,319
0.001,320
0.001,312
0.001,314
0.001,319
0.001,319
0.001,319
0.001,332
0.001,319
0.001,327
0.001,317
0.001,336
0.001,319
0.001,327
0.001,318
0.001,319
0.001,319
0.001,321
0.001,313
0.001,319
0.001,319
0.001,318
0.001,319
0.001,319
0.001,320
0.001,314
0.001,319
0.001,319
0.001,319
0.001,319
0.001,324
0.001,312
0.001,318
0.001,318
0.001,320
0.001,321
0.001,318
0.001,336
0.001,316
0.001,319
0.001,320
0.001,316
0.001,319
0.001,322
0.001,312
0.001,319
0.001,320
0.001,312
0.001,313
0.001,320
0.001,312
0.001,319
0.001,322
0.001,319
0.001,319
0.001,335
0.001,319
0.001,319
0.001,323
0.001,319
0.001,326
0.001,319
0.001,328
0.001,327
0.001,320
0.001,314
0.001,316
0.001,318
0.001,322
0.001,319
0.001,327
0.001,335
0.001,323
0.001,320
0.001,312

# 0.01 M
	0.01,284
0.01,283
0.01,281
0.01,279
0.01,278
0.01,284
0.01,284
0.01,279
0.01,279
0.01,296
0.01,275
0.01,277
0.01,277
0.01,274
0.01,276
0.01,271
0.01,280
0.01,271
0.01,284
0.01,281
0.01,281
0.01,279
0.01,285
0.01,279
0.01,271
0.01,282
0.01,280
0.01,283
0.01,285
0.01,286
0.01,279
0.01,274
0.01,280
0.01,286
0.01,286
0.01,288
0.01,284
0.01,281
0.01,275
0.01,280
0.01,279
0.01,288
0.01,275
0.01,284
0.01,286
0.01,279
0.01,287
0.01,287
0.01,289
0.01,284
0.01,283
0.01,287
0.01,287
0.01,283
0.01,279
0.01,287
0.01,304
0.01,288
0.01,279
0.01,287
0.01,286
0.01,282
0.01,283
0.01,288
0.01,280
0.01,282
0.01,282
0.01,285
0.01,286
0.01,279
0.01,288
0.01,285
0.01,287
0.01,303
0.01,290
0.01,280
0.01,287
0.01,295
0.01,290
0.01,287
0.01,295
0.01,287
0.01,287
0.01,294
0.01,282
0.01,287
0.01,292
0.01,287
0.01,293
0.01,290
0.01,279
0.01,288
0.01,284
0.01,287
0.01,289

# 0.1 M
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,254
0.1,255
0.1,271
0.1,255
0.1,271
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,263
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,264
0.1,254
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,255
0.1,279
0.1,255
0.1,264
0.1,251
0.1,255
0.1,255
0.1,268
0.1,260
0.1,252
0.1,255
0.1,255
0.1,268
0.1,254
0.1,262
0.1,255
0.1,265
0.1,255
0.1,271
0.1,255
0.1,255
0.1,255
0.1,255
0.1,271
0.1,255
0.1,267
0.1,255
0.1,255
0.1,255
0.1,266
0.1,255
