# 20230217
# M2
# 0217 ammonium I sensor
# 1 Hz SCuM ADC sampling rate
# No averaging
# ADC LDO output: 1.329 V

Ammonium concentration [M], ADC output [LSB]

# 0.1 M
0.1,336
0.1,330
0.1,337
0.1,335
0.1,339
0.1,338
0.1,338
0.1,335
0.1,341
0.1,342
0.1,336
0.1,334
0.1,339
0.1,341
0.1,336
0.1,335
0.1,343
0.1,342
0.1,342
0.1,338
0.1,335
0.1,346
0.1,335
0.1,344
0.1,338
0.1,340
0.1,344
0.1,338
0.1,336
0.1,335
0.1,340
0.1,336
0.1,336
0.1,332
0.1,335
0.1,342
0.1,335
0.1,339
0.1,338
0.1,340
0.1,340
0.1,340
0.1,327
0.1,346
0.1,340
0.1,336
0.1,334
0.1,338
0.1,335
0.1,343
0.1,343
0.1,341
0.1,338
0.1,331

# 0.01 M
0.01,297
0.01,295
0.01,295
0.01,302
0.01,303
0.01,303
0.01,303
0.01,298
0.01,296
0.01,294
0.01,296
0.01,292
0.01,295
0.01,302
0.01,302
0.01,302
0.01,294
0.01,296
0.01,290
0.01,295
0.01,299
0.01,302
0.01,295
0.01,299
0.01,295
0.01,306
0.01,295
0.01,299
0.01,304
0.01,292
0.01,297
0.01,302
0.01,292
0.01,295
0.01,295
0.01,295
0.01,299
0.01,301
0.01,303
0.01,301
0.01,295
0.01,296
0.01,298
0.01,295
0.01,302
0.01,303
0.01,303
0.01,303
0.01,304
0.01,295
0.01,301
0.01,298
0.01,295
0.01,299
0.01,295
0.01,299
0.01,295
0.01,294
0.01,299
0.01,303
0.01,303
0.01,303
0.01,304
0.01,301
0.01,299
0.01,303
0.01,305
0.01,295
0.01,302
0.01,303
0.01,308
0.01,299
0.01,303
0.01,300
0.01,298
0.01,296
0.01,294
0.01,296
0.01,287
0.01,298

# 0.001 M
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,263
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255

# 0.0001 M
0.0001,207
0.0001,207
0.0001,212
0.0001,206
0.0001,208
0.0001,203
0.0001,207
0.0001,211
0.0001,207
0.0001,210
0.0001,207
0.0001,213
0.0001,214
0.0001,215
0.0001,209
0.0001,210
0.0001,211
0.0001,216
0.0001,207
0.0001,208
0.0001,207
0.0001,216
0.0001,207
0.0001,215
0.0001,212
0.0001,206
0.0001,213
0.0001,208
0.0001,207
0.0001,215
0.0001,211
0.0001,207
0.0001,211
0.0001,215
0.0001,210
0.0001,207
0.0001,208
0.0001,200
0.0001,208
0.0001,207
0.0001,214
0.0001,212
0.0001,207
0.0001,214
0.0001,213
0.0001,215
0.0001,215
0.0001,215
0.0001,211
0.0001,211
0.0001,208
0.0001,207
0.0001,214
0.0001,210
0.0001,214
0.0001,214
0.0001,208

# 0.001 M
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,261
0.001,252
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255

# 0.01 M
0.01,292
0.01,295
0.01,295
0.01,298
0.01,295
0.01,303
0.01,295
0.01,294
0.01,294
0.01,292
0.01,294
0.01,289
0.01,295
0.01,303
0.01,304
0.01,288
0.01,285
0.01,298
0.01,292
0.01,292
0.01,294
0.01,293
0.01,294
0.01,295
0.01,298
0.01,294
0.01,294
0.01,298
0.01,295
0.01,296
0.01,298
0.01,293
0.01,295
0.01,295
0.01,295
0.01,295
0.01,303
0.01,302
0.01,295
0.01,300
0.01,294
0.01,291
0.01,295
0.01,298
0.01,292
0.01,292
0.01,295
0.01,295
0.01,295
0.01,298
0.01,295
0.01,296
0.01,294
0.01,302

# 0.1 M
0.1,339
0.1,335
0.1,333
0.1,326
0.1,327
0.1,334
0.1,335
0.1,328
0.1,327
0.1,335
0.1,336
0.1,334
0.1,335
0.1,336
0.1,332
0.1,328
0.1,319
0.1,335
0.1,336
0.1,330
0.1,335
0.1,337
0.1,332
0.1,335
0.1,342
0.1,338
0.1,331
0.1,335
0.1,336
0.1,328
0.1,328
0.1,328
0.1,327
0.1,334
0.1,335
0.1,340
0.1,328
0.1,327
0.1,331
0.1,336
0.1,334
0.1,335
0.1,338
0.1,326
0.1,331
0.1,335
0.1,338
0.1,330
0.1,327
0.1,327
0.1,335
0.1,337
0.1,336
0.1,336
0.1,322
0.1,328
0.1,327
0.1,327
0.1,332
0.1,335
0.1,336
0.1,324
0.1,328
0.1,327
0.1,328
0.1,324
0.1,328
0.1,327
0.1,330
0.1,327
0.1,330
0.1,335
0.1,335
0.1,335
0.1,340
0.1,334
0.1,334
0.1,340
0.1,335
0.1,335
0.1,342
0.1,336
0.1,333
0.1,335
0.1,337
0.1,332
0.1,334
0.1,334
0.1,334
0.1,335
0.1,350
0.1,334
0.1,335
0.1,335
0.1,336
0.1,330
0.1,335
0.1,335
0.1,334
0.1,335
0.1,336
0.1,327
0.1,336
0.1,330
0.1,332
