# 20230217
# M2
# 0217 ammonium II sensor
# 1 Hz SCuM ADC sampling rate
# No averaging
# ADC LDO output: 1.329 V

Ammonium concentration [M], ADC output [LSB]

# 0.1 M
0.1,351
0.1,356
0.1,350
0.1,346
0.1,343
0.1,351
0.1,358
0.1,350
0.1,351
0.1,359
0.1,355
0.1,351
0.1,354
0.1,351
0.1,355
0.1,351
0.1,352
0.1,348
0.1,352
0.1,340
0.1,350
0.1,351
0.1,351
0.1,351
0.1,351
0.1,351
0.1,351
0.1,358
0.1,349
0.1,350
0.1,351
0.1,352
0.1,348
0.1,350
0.1,351
0.1,351
0.1,352
0.1,343
0.1,348
0.1,352
0.1,343
0.1,350
0.1,352
0.1,352
0.1,350
0.1,359
0.1,358
0.1,351
0.1,351
0.1,356
0.1,351
0.1,354
0.1,342
0.1,350
0.1,351
0.1,359
0.1,351
0.1,355
0.1,351
0.1,352
0.1,343
0.1,352
0.1,350
0.1,356
0.1,351
0.1,355
0.1,351
0.1,353
0.1,346
0.1,344
0.1,350
0.1,350
0.1,352
0.1,344

# 0.01 M
0.01,314
0.01,310
0.01,310
0.01,303
0.01,310
0.01,306
0.01,302
0.01,306
0.01,303
0.01,303
0.01,310
0.01,312
0.01,302
0.01,311
0.01,308
0.01,303
0.01,306
0.01,303
0.01,311
0.01,308
0.01,305
0.01,311
0.01,314
0.01,310
0.01,303
0.01,311
0.01,314
0.01,311
0.01,303
0.01,309
0.01,312
0.01,306
0.01,310
0.01,311
0.01,311
0.01,311
0.01,311
0.01,310
0.01,308
0.01,305
0.01,304
0.01,304
0.01,303
0.01,310
0.01,307
0.01,312
0.01,310
0.01,308
0.01,310
0.01,311
0.01,316
0.01,310
0.01,310
0.01,304
0.01,300
0.01,310
0.01,309
0.01,314
0.01,304
0.01,311
0.01,310
0.01,311
0.01,311
0.01,305
0.01,310
0.01,304
0.01,302
0.01,306
0.01,306
0.01,295
0.01,309
0.01,313
0.01,303
0.01,310
0.01,311
0.01,309
0.01,303
0.01,311
0.01,309
0.01,310
0.01,303
0.01,311
0.01,311
0.01,310
0.01,308
0.01,308
0.01,308
0.01,306
0.01,308
0.01,309
0.01,308
0.01,304
0.01,302
0.01,309
0.01,304
0.01,303
0.01,304
0.01,304
0.01,302
0.01,303
0.01,306
0.01,303

# 0.001 M
0.001,263
0.001,255
0.001,255
0.001,255
0.001,263
0.001,255
0.001,263
0.001,255
0.001,255
0.001,269
0.001,255
0.001,271
0.001,255
0.001,267
0.001,255
0.001,271
0.001,255
0.001,255
0.001,270
0.001,255
0.001,255
0.001,255
0.001,270
0.001,255
0.001,270
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,274
0.001,255
0.001,255
0.001,255
0.001,271
0.001,255
0.001,255
0.001,264
0.001,252
0.001,255
0.001,255
0.001,269
0.001,255
0.001,255
0.001,255
0.001,268
0.001,255
0.001,263
0.001,255
0.001,271
0.001,255
0.001,255
0.001,255
0.001,267
0.001,255
0.001,276
0.001,255
0.001,271
0.001,268
0.001,255
0.001,255
0.001,255
0.001,263
0.001,255
0.001,271
0.001,263
0.001,255
0.001,270
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,268
0.001,255
0.001,255
0.001,255
0.001,272
0.001,255
0.001,255
0.001,255
0.001,264
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255

# 0.0001 M
0.0001,228
0.0001,215
0.0001,218
0.0001,219
0.0001,224
0.0001,216
0.0001,220
0.0001,223
0.0001,223
0.0001,223
0.0001,223
0.0001,224
0.0001,215
0.0001,223
0.0001,223
0.0001,223
0.0001,223
0.0001,222
0.0001,223
0.0001,223
0.0001,223
0.0001,221
0.0001,223
0.0001,223
0.0001,223
0.0001,222
0.0001,224
0.0001,214
0.0001,220
0.0001,217
0.0001,223
0.0001,216
0.0001,215
0.0001,223
0.0001,225
0.0001,215
0.0001,223
0.0001,223
0.0001,220
0.0001,219
0.0001,223
0.0001,223
0.0001,223
0.0001,219
0.0001,222
0.0001,224
0.0001,212
0.0001,215
0.0001,218
0.0001,219
0.0001,218
0.0001,223
0.0001,223
0.0001,217
0.0001,223
0.0001,223
0.0001,223

# 0.001 M
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,266
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,267
0.001,255
0.001,255
0.001,255
0.001,255
0.001,263
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,267
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,268
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,255
0.001,263
0.001,255
0.001,255

# 0.01 M
0.01,296
0.01,295
0.01,300
0.01,295
0.01,302
0.01,304
0.01,295
0.01,295
0.01,295
0.01,295
0.01,295
0.01,293
0.01,294
0.01,293
0.01,294
0.01,300
0.01,299
0.01,298
0.01,292
0.01,287
0.01,295
0.01,303
0.01,308
0.01,296
0.01,295
0.01,295
0.01,302
0.01,304
0.01,295
0.01,303
0.01,302
0.01,303
0.01,300
0.01,291
0.01,291
0.01,295
0.01,303
0.01,295
0.01,303
0.01,303
0.01,303
0.01,303
0.01,302
0.01,295
0.01,306
0.01,298
0.01,295
0.01,298
0.01,298
0.01,292
0.01,295
0.01,303

# 0.1 M
0.1,343
0.1,334
0.1,334
0.1,334
0.1,334
0.1,332
0.1,327
0.1,338
0.1,327
0.1,335
0.1,340
0.1,340
0.1,334
0.1,338
0.1,330
0.1,331
0.1,335
0.1,335
0.1,336
0.1,334
0.1,331
0.1,336
0.1,327
0.1,336
0.1,326
0.1,335
0.1,340
0.1,338
0.1,332
0.1,331
0.1,332
0.1,334
0.1,336
0.1,329
0.1,335
0.1,335
0.1,343
0.1,335
0.1,335
0.1,342
0.1,343
0.1,335
0.1,340
0.1,333
0.1,342
0.1,340
0.1,335
0.1,335
0.1,343
0.1,342
0.1,335
0.1,338
0.1,335
0.1,340
0.1,334
0.1,335
0.1,338
0.1,335
0.1,343
0.1,344
0.1,336
0.1,334
0.1,334
0.1,335
0.1,335
0.1,343
0.1,355
0.1,340
0.1,336
0.1,335
0.1,342
0.1,338
0.1,335
0.1,336
0.1,335
0.1,335
0.1,336
0.1,330
0.1,335
0.1,340
0.1,342
0.1,335
0.1,342
0.1,335
0.1,340
0.1,335
0.1,335
0.1,342
