# 20230217
# M2
# 0217 nitrate I sensor
# 1 Hz SCuM ADC sampling rate
# No averaging
# ADC LDO output: 1.329 V

Nitrate concentration [M], ADC output [LSB]

# 0.1 M
0.1,138
0.1,130
0.1,127
0.1,143
0.1,127
0.1,138
0.1,127
0.1,127
0.1,141
0.1,127
0.1,142
0.1,135
0.1,135
0.1,127
0.1,143
0.1,142
0.1,135
0.1,135
0.1,135
0.1,127
0.1,143
0.1,139
0.1,135
0.1,135
0.1,135
0.1,135
0.1,127
0.1,143
0.1,133
0.1,127
0.1,139
0.1,135
0.1,127
0.1,141
0.1,135
0.1,135
0.1,135
0.1,151
0.1,141
0.1,136
0.1,127
0.1,143
0.1,127
0.1,135
0.1,127
0.1,143
0.1,135
0.1,127
0.1,143

# 0.01 M
0.01,179
0.01,175
0.01,176
0.01,167
0.01,179
0.01,175
0.01,182
0.01,175
0.01,180
0.01,175
0.01,183
0.01,185
0.01,176
0.01,168
0.01,175
0.01,183
0.01,180
0.01,175
0.01,176
0.01,174
0.01,175
0.01,183
0.01,176
0.01,172
0.01,175
0.01,183
0.01,179
0.01,175
0.01,180
0.01,180
0.01,178
0.01,179
0.01,175
0.01,182
0.01,175

# 0.001 M
0.001,223
0.001,223
0.001,229
0.001,222
0.001,223
0.001,225
0.001,223
0.001,226
0.001,220
0.001,219
0.001,223
0.001,230
0.001,220
0.001,223
0.001,224
0.001,217
0.001,222
0.001,224
0.001,222
0.001,223
0.001,223
0.001,224
0.001,220
0.001,222
0.001,222
0.001,228
0.001,223
0.001,229
0.001,222
0.001,223
0.001,224
0.001,215
0.001,225
0.001,216
0.001,217
0.001,220
0.001,223
0.001,224
0.001,216
0.001,220
0.001,218
0.001,219
0.001,222
0.001,223
0.001,226

# 0.0001 M
0.0001,247
0.0001,243
0.0001,244
0.0001,246
0.0001,245
0.0001,247
0.0001,248
0.0001,247
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,254
0.0001,251
0.0001,254
0.0001,255
0.0001,255
0.0001,255
0.0001,254
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255

# 0.00001 M
0.00001,271
0.00001,271
0.00001,271
0.00001,271
0.00001,271
0.00001,271
0.00001,271
0.00001,269
0.00001,268
0.00001,255
0.00001,274
0.00001,266
0.00001,255
0.00001,271
0.00001,271
0.00001,271
0.00001,267
0.00001,267
0.00001,270
0.00001,271
0.00001,270
0.00001,271
0.00001,273
0.00001,268
0.00001,255
0.00001,271
0.00001,271
0.00001,271
0.00001,271
0.00001,271
0.00001,272
0.00001,255
0.00001,271
0.00001,271
0.00001,271
0.00001,271
0.00001,255

# 0.0001 M
0.0001,255
0.0001,255
0.0001,270
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,263
0.0001,254
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,271
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,266
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,263
0.0001,255

# 0.001 M
0.001,231
0.001,224
0.001,223
0.001,225
0.001,223
0.001,223
0.001,231
0.001,223
0.001,223
0.001,231
0.001,223
0.001,224
0.001,217
0.001,224
0.001,220
0.001,223
0.001,224
0.001,216
0.001,218
0.001,222
0.001,224
0.001,219
0.001,223
0.001,223
0.001,228
0.001,220
0.001,222
0.001,223
0.001,231
0.001,223
0.001,225
0.001,221
0.001,222
0.001,224
0.001,219
0.001,222
0.001,223
0.001,224
0.001,221
0.001,223
0.001,225
0.001,221
0.001,228
0.001,223
0.001,230
0.001,223
0.001,223
0.001,223
0.001,224
0.001,215
0.001,224
0.001,223
0.001,224
0.001,215
0.001,228
0.001,222
0.001,223
0.001,223
0.001,223
0.001,223
0.001,227
0.001,222
0.001,224
0.001,215
0.001,223
0.001,223
0.001,228

# 0.01 M
0.01,175
0.01,188
0.01,183
0.01,184
0.01,178
0.01,175
0.01,179
0.01,175
0.01,189
0.01,183
0.01,182
0.01,175
0.01,183
0.01,183
0.01,184
0.01,175
0.01,178
0.01,175
0.01,179
0.01,175
0.01,182
0.01,179
0.01,183
0.01,181
0.01,183
0.01,183
0.01,181
0.01,180
0.01,175
0.01,188
0.01,180
0.01,175
0.01,184
0.01,175
0.01,175
0.01,183
0.01,183
0.01,183
0.01,178
0.01,178
0.01,178
0.01,175
0.01,183
0.01,175
0.01,184
0.01,183
0.01,184
0.01,176
0.01,174
0.01,175
0.01,175
0.01,183
0.01,180
0.01,175
0.01,183
0.01,183
0.01,182
0.01,182
0.01,179
0.01,179
0.01,175
0.01,183
0.01,183
0.01,183
0.01,180
0.01,175
0.01,184
0.01,176
0.01,178
0.01,175
0.01,181
0.01,179
0.01,183
0.01,183
0.01,184

# 0.1 M
0.1,143
0.1,143
0.1,137
0.1,135
0.1,140
0.1,136
0.1,127
0.1,143
0.1,143
0.1,142
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,139
0.1,135
0.1,127
0.1,143
0.1,140
0.1,136
0.1,127
0.1,158
0.1,143
0.1,141
0.1,143
0.1,140
0.1,127
0.1,143
0.1,135
0.1,127
0.1,143
0.1,143
0.1,135
0.1,143
0.1,139
0.1,127
0.1,143
0.1,142
0.1,127
0.1,143
0.1,135
0.1,138
0.1,127
0.1,143
0.1,135
0.1,135
0.1,127
0.1,135
0.1,140
0.1,135
0.1,127
