# 20221114
# L35
# DD-OECT-1
# 20 Hz SCuM ADC sampling rate
# No averaging
# ADC LDO output: 1.393 V
# GPIO output: 1.7 V
# June 19 reference electrode
# Collection time: 173.75 s

Iteration, ADC output [LSB]

# Iteration 0
0, 303
0, 277
0, 265
0, 261
0, 263
0, 271
0, 271
0, 267
0, 276
0, 271
0, 276
0, 270
0, 271
0, 267
0, 271
0, 272
0, 267
0, 273
0, 278
0, 271
0, 286
0, 280
0, 271
0, 255
0, 300
0, 277
0, 278
0, 288
0, 274
0, 276
0, 291
0, 284
0, 280
0, 278
0, 280
0, 288
0, 280
0, 279
0, 302
0, 288
0, 275
0, 295
0, 300
0, 294
0, 271
0, 302
0, 306
0, 304
0, 291
0, 306
0, 303
0, 311
0, 313
0, 316
0, 313
0, 318
0, 319
0, 319
0, 319
0, 319
0, 316
0, 312
0, 312
0, 316
0, 318
0, 318
0, 311
0, 313
0, 316
0, 319
0, 319
0, 319
0, 317
0, 318
0, 317
0, 312
0, 322
0, 315
0, 318
0, 322
0, 316
0, 326
0, 319
0, 319
0, 335
0, 319
0, 343
0, 308
0, 319
0, 335
0, 327
0, 331
0, 320
0, 323
0, 311
0, 328
0, 336
0, 330
0, 327
0, 335
0, 348
0, 327
0, 343
0, 334
0, 327
0, 341
0, 328
0, 336
0, 335
0, 335
0, 343
0, 336
0, 339
0, 316
0, 335
0, 352
0, 332
0, 336
0, 343
0, 340
0, 343
0, 352
0, 332
0, 344
0, 351
0, 344
0, 352
0, 334
0, 343
0, 349
0, 343
0, 348
0, 344
0, 336
0, 342
0, 346
0, 352
0, 348
0, 360
0, 352
0, 339
0, 344
0, 343
0, 350
0, 356
0, 352
0, 347
0, 335
0, 352
0, 351
0, 358
0, 327
0, 358
0, 351
0, 369
0, 355
0, 351
0, 373
0, 356
0, 358
0, 358
0, 360
0, 347
0, 360
0, 367
0, 362
0, 368
0, 351
0, 359
0, 374
0, 356
0, 368
0, 353
0, 370
0, 351
0, 372
0, 360
0, 364
0, 364
0, 343
0, 364
0, 376
0, 359
0, 373
0, 367
0, 377
0, 365
0, 378
0, 364
0, 374
0, 369
0, 368
0, 362
0, 379
0, 367
0, 372
0, 372
0, 360
0, 375
0, 367
0, 381
0, 383
0, 368
0, 373
0, 376
0, 375
0, 383
0, 383
0, 371
0, 378
0, 382
0, 373
0, 383
0, 375
0, 382
0, 383
0, 383
0, 383
0, 382
0, 383
0, 375
0, 383
0, 383
0, 372
0, 380
0, 383
0, 391
0, 368
0, 370
0, 383
0, 395
0, 370
0, 383
0, 383
0, 382
0, 391
0, 371
0, 383
0, 379
0, 383
0, 383
0, 380
0, 380
0, 376
0, 383
0, 381
0, 383
0, 383
0, 398
0, 366
0, 383
0, 399
0, 396
0, 383
0, 383
0, 391
0, 383
0, 383
0, 395
0, 383
0, 385
0, 383
0, 383
0, 383
0, 391
0, 374
0, 391
0, 383
0, 391
0, 381
0, 388
0, 383
0, 398
0, 399
0, 383
0, 406
0, 383
0, 396
0, 383
0, 399
0, 372
0, 392
0, 387
0, 392
0, 389
0, 396
0, 391
0, 398
