# 20230822
# M2
# pH 4 solution
# Colorado reference electrode
# 1.25 kSps sampling rate with Saleae Logic Pro 2

Time [s],PWM ramp [V],Output [V]
59.932872562,-0.075,-0.047
59.933672562,-0.080,-0.057
59.934472562,-0.069,-0.052
59.935272562,-0.080,-0.057
59.936072562,-0.080,-0.063
59.936872562,-0.080,-0.057
59.937672562,-0.080,-0.057
59.938472562,-0.080,-0.057
59.939272562,-0.080,-0.057
59.940072562,-0.075,-0.047
59.940872562,-0.075,-0.047
59.941672562,-0.075,-0.052
59.942472562,-0.075,-0.063
59.943272562,-0.085,-0.068
59.944072562,-0.080,-0.057
59.944872562,-0.080,-0.063
59.945672562,-0.080,-0.057
59.946472562,-0.080,-0.057
59.947272562,-0.080,-0.057
59.948072562,-0.080,-0.057
59.948872562,-0.080,-0.063
59.949672562,-0.080,-0.057
59.950472562,-0.080,-0.063
59.951272562,-0.080,-0.057
59.952072562,-0.080,-0.057
59.952872562,-0.080,-0.052
59.953672562,-0.069,-0.063
59.954472562,-0.064,-0.052
59.955272562,-0.080,-0.057
59.956072562,-0.069,-0.057
59.956872562,-0.075,-0.057
59.957672562,-0.080,-0.052
59.958472562,-0.059,-0.037
59.959272562,-0.069,-0.042
59.960072562,-0.080,-0.057
59.960872562,-0.069,-0.047
59.961672562,-0.080,-0.063
59.962472562,-0.080,-0.057
59.963272562,-0.080,-0.063
59.964072562,-0.080,-0.063
59.964872562,-0.080,-0.057
59.965672562,-0.059,-0.047
59.966472562,-0.080,-0.063
59.967272562,-0.080,-0.057
59.968072562,-0.080,-0.057
59.968872562,-0.080,-0.057
59.969672562,-0.054,-0.042
59.970472562,-0.080,-0.057
59.971272562,-0.080,-0.057
59.972072562,-0.059,-0.047
59.972872562,-0.075,-0.057
59.973672562,-0.069,-0.042
59.974472562,-0.080,-0.057
59.975272562,-0.080,-0.063
59.976072562,-0.080,-0.057
59.976872562,-0.080,-0.063
59.977672562,-0.064,-0.052
59.978472562,-0.080,-0.057
59.979272562,-0.080,-0.057
59.980072562,-0.080,-0.063
59.980872562,-0.080,-0.063
59.981672562,-0.090,-0.068
59.982472562,-0.080,-0.057
59.983272562,-0.080,-0.057
59.984072562,-0.080,-0.057
59.984872562,-0.085,-0.063
59.985672562,-0.080,-0.057
59.986472562,-0.080,-0.063
59.987272562,-0.054,-0.037
59.988072562,-0.064,-0.037
59.988872562,-0.080,-0.057
59.989672562,-0.080,-0.057
59.990472562,-0.064,-0.042
59.991272562,-0.080,-0.063
59.992072562,-0.085,-0.068
59.992872562,-0.080,-0.057
59.993672562,-0.075,-0.057
59.994472562,-0.080,-0.057
59.995272562,-0.080,-0.057
59.996072562,-0.080,-0.057
59.996872562,-0.080,-0.057
59.997672562,-0.080,-0.057
59.998472562,-0.080,-0.057
59.999272562,-0.080,-0.057
60.000072562,-0.080,-0.057
60.000872562,-0.080,-0.057
60.001672562,-0.080,-0.057
60.002472562,-0.080,-0.063
60.003272562,-0.080,-0.063
60.004072562,-0.080,-0.057
60.004872562,-0.080,-0.057
60.005672562,-0.080,-0.057
60.006472562,-0.080,-0.063
60.007272562,-0.069,-0.042
60.008072562,-0.080,-0.063
60.008872562,-0.080,-0.063
60.009672562,-0.080,-0.057
60.010472562,-0.080,-0.057
60.011272562,-0.080,-0.057
60.012072562,-0.080,-0.063
60.012872562,-0.080,-0.068
60.013672562,-0.059,-0.037
60.014472562,-0.080,-0.063
60.015272562,-0.080,-0.057
60.016072562,-0.080,-0.057
60.016872562,-0.059,-0.037
60.017672562,-0.059,-0.042
60.018472562,-0.080,-0.057
60.019272562,-0.085,-0.068
60.020072562,-0.080,-0.057
60.020872562,-0.080,-0.057
60.021672562,-0.080,-0.057
60.022472562,-0.080,-0.057
60.023272562,-0.080,-0.057
60.024072562,-0.069,-0.057
60.024872562,-0.075,-0.057
60.025672562,-0.080,-0.057
60.026472562,-0.080,-0.057
60.027272562,-0.059,-0.042
60.028072562,-0.080,-0.057
60.028872562,-0.080,-0.057
60.029672562,-0.075,-0.057
60.030472562,-0.080,-0.057
60.031272562,-0.080,-0.057
60.032072562,-0.080,-0.057
60.032872562,-0.075,-0.057
60.033672562,-0.080,-0.063
60.034472562,-0.059,-0.037
60.035272562,-0.075,-0.057
60.036072562,-0.069,-0.057
60.036872562,-0.075,-0.047
60.037672562,-0.075,-0.057
60.038472562,-0.069,-0.057
60.039272562,-0.075,-0.057
60.040072562,-0.069,-0.052
60.040872562,-0.080,-0.057
60.041672562,-0.080,-0.057
60.042472562,-0.085,-0.063
60.043272562,-0.080,-0.063
60.044072562,-0.059,-0.037
60.044872562,-0.085,-0.068
60.045672562,-0.080,-0.057
60.046472562,-0.075,-0.057
60.047272562,-0.075,-0.063
60.048072562,-0.080,-0.052
60.048872562,-0.080,-0.052
60.049672562,-0.064,-0.037
60.050472562,-0.085,-0.068
60.051272562,-0.080,-0.057
60.052072562,-0.080,-0.063
60.052872562,-0.080,-0.057
60.053672562,-0.080,-0.063
60.054472562,-0.080,-0.057
60.055272562,-0.059,-0.042
60.056072562,-0.085,-0.063
60.056872562,-0.080,-0.057
60.057672562,-0.080,-0.057
60.058472562,-0.080,-0.057
60.059272562,-0.080,-0.057
60.060072562,-0.080,-0.057
60.060872562,-0.080,-0.057
60.061672562,-0.080,-0.057
60.062472562,-0.080,-0.063
60.063272562,-0.080,-0.057
60.064072562,-0.085,-0.063
60.064872562,-0.085,-0.068
60.065672562,-0.080,-0.057
60.066472562,-0.080,-0.052
60.067272562,-0.080,-0.057
60.068072562,-0.080,-0.057
60.068872562,-0.080,-0.057
60.069672562,-0.080,-0.057
60.070472562,-0.075,-0.057
60.071272562,-0.059,-0.037
60.072072562,-0.075,-0.057
60.072872562,-0.080,-0.057
60.073672562,-0.069,-0.057
60.074472562,-0.075,-0.057
60.075272562,-0.075,-0.057
60.076072562,-0.075,-0.057
60.076872562,-0.069,-0.063
60.077672562,-0.069,-0.057
60.078472562,-0.064,-0.057
60.079272562,-0.064,-0.042
60.080072562,-0.064,-0.057
60.080872562,-0.064,-0.057
60.081672562,-0.069,-0.057
60.082472562,-0.069,-0.057
60.083272562,-0.059,-0.057
60.084072562,-0.059,-0.057
