# 20230822
# M2
# pH 5 solution
# Colorado reference electrode with different pH sensor
# 1.25 kSps sampling rate with Saleae Logic Pro 2

Time [s],PWM ramp [V],Output [V]
33.229672562,-0.080,-0.057
33.230472562,-0.080,-0.068
33.231272562,-0.075,-0.057
33.232072562,-0.064,-0.047
33.232872562,-0.080,-0.073
33.233672562,-0.080,-0.057
33.234472562,-0.080,-0.063
33.235272562,-0.080,-0.057
33.236072562,-0.075,-0.052
33.236872562,-0.095,-0.073
33.237672562,-0.080,-0.063
33.238472562,-0.085,-0.068
33.239272562,-0.080,-0.063
33.240072562,-0.069,-0.042
33.240872562,-0.085,-0.068
33.241672562,-0.080,-0.063
33.242472562,-0.080,-0.063
33.243272562,-0.080,-0.063
33.244072562,-0.075,-0.057
33.244872562,-0.080,-0.063
33.245672562,-0.080,-0.063
33.246472562,-0.064,-0.042
33.247272562,-0.095,-0.073
33.248072562,-0.080,-0.063
33.248872562,-0.080,-0.063
33.249672562,-0.080,-0.063
33.250472562,-0.085,-0.068
33.251272562,-0.085,-0.063
33.252072562,-0.080,-0.063
33.252872562,-0.085,-0.068
33.253672562,-0.075,-0.052
33.254472562,-0.085,-0.073
33.255272562,-0.080,-0.063
33.256072562,-0.080,-0.063
33.256872562,-0.080,-0.057
33.257672562,-0.085,-0.068
33.258472562,-0.080,-0.073
33.259272562,-0.080,-0.063
33.260072562,-0.085,-0.068
33.260872562,-0.080,-0.068
33.261672562,-0.080,-0.063
33.262472562,-0.085,-0.068
33.263272562,-0.080,-0.063
33.264072562,-0.080,-0.068
33.264872562,-0.080,-0.057
33.265672562,-0.080,-0.068
33.266472562,-0.080,-0.063
33.267272562,-0.080,-0.068
33.268072562,-0.085,-0.073
33.268872562,-0.085,-0.063
33.269672562,-0.075,-0.057
33.270472562,-0.080,-0.068
33.271272562,-0.080,-0.063
33.272072562,-0.080,-0.073
33.272872562,-0.080,-0.063
33.273672562,-0.059,-0.042
33.274472562,-0.080,-0.063
33.275272562,-0.080,-0.063
33.276072562,-0.054,-0.037
33.276872562,-0.080,-0.068
33.277672562,-0.059,-0.047
33.278472562,-0.080,-0.068
33.279272562,-0.080,-0.057
33.280072562,-0.075,-0.063
33.280872562,-0.080,-0.063
33.281672562,-0.080,-0.063
33.282472562,-0.080,-0.063
33.283272562,-0.069,-0.047
33.284072562,-0.085,-0.063
33.284872562,-0.080,-0.068
33.285672562,-0.080,-0.068
33.286472562,-0.080,-0.068
33.287272562,-0.080,-0.063
33.288072562,-0.075,-0.057
33.288872562,-0.080,-0.068
33.289672562,-0.075,-0.068
33.290472562,-0.085,-0.068
33.291272562,-0.069,-0.057
33.292072562,-0.080,-0.063
33.292872562,-0.080,-0.057
33.293672562,-0.080,-0.068
33.294472562,-0.059,-0.047
33.295272562,-0.080,-0.068
33.296072562,-0.080,-0.068
33.296872562,-0.080,-0.063
33.297672562,-0.080,-0.057
33.298472562,-0.085,-0.068
33.299272562,-0.085,-0.073
33.300072562,-0.080,-0.063
33.300872562,-0.080,-0.063
33.301672562,-0.085,-0.063
33.302472562,-0.080,-0.068
33.303272562,-0.080,-0.068
33.304072562,-0.080,-0.063
33.304872562,-0.080,-0.068
33.305672562,-0.085,-0.073
33.306472562,-0.080,-0.063
33.307272562,-0.064,-0.057
33.308072562,-0.080,-0.063
33.308872562,-0.080,-0.063
33.309672562,-0.069,-0.063
33.310472562,-0.085,-0.073
33.311272562,-0.080,-0.063
33.312072562,-0.085,-0.068
33.312872562,-0.080,-0.057
33.313672562,-0.080,-0.068
33.314472562,-0.080,-0.068
33.315272562,-0.080,-0.063
33.316072562,-0.085,-0.068
33.316872562,-0.080,-0.068
33.317672562,-0.080,-0.057
33.318472562,-0.080,-0.063
33.319272562,-0.080,-0.068
33.320072562,-0.080,-0.063
33.320872562,-0.080,-0.063
33.321672562,-0.059,-0.042
33.322472562,-0.080,-0.063
33.323272562,-0.085,-0.073
33.324072562,-0.080,-0.068
33.324872562,-0.080,-0.063
33.325672562,-0.080,-0.063
33.326472562,-0.080,-0.052
33.327272562,-0.080,-0.063
33.328072562,-0.075,-0.052
33.328872562,-0.080,-0.068
33.329672562,-0.064,-0.057
33.330472562,-0.080,-0.063
33.331272562,-0.075,-0.063
33.332072562,-0.080,-0.063
33.332872562,-0.080,-0.057
33.333672562,-0.080,-0.063
33.334472562,-0.080,-0.063
33.335272562,-0.080,-0.068
33.336072562,-0.080,-0.068
33.336872562,-0.080,-0.063
33.337672562,-0.080,-0.057
33.338472562,-0.080,-0.068
33.339272562,-0.080,-0.063
33.340072562,-0.080,-0.063
33.340872562,-0.075,-0.063
33.341672562,-0.085,-0.073
33.342472562,-0.080,-0.063
