# 20230822
# M2
# pH 7 solution
# Colorado reference electrode with different pH sensor
# 1.25 kSps sampling rate with Saleae Logic Pro 8

Time [s],PWM ramp [V],Output [V]
85.259272562,-0.085,-0.057
85.260072562,-0.080,-0.057
85.260872562,-0.080,-0.057
85.261672562,-0.080,-0.057
85.262472562,-0.080,-0.057
85.263272562,-0.080,-0.057
85.264072562,-0.085,-0.057
85.264872562,-0.080,-0.052
85.265672562,-0.085,-0.057
85.266472562,-0.080,-0.057
85.267272562,-0.080,-0.057
85.268072562,-0.080,-0.057
85.268872562,-0.080,-0.057
85.269672562,-0.080,-0.047
85.270472562,-0.080,-0.057
85.271272562,-0.075,-0.057
85.272072562,-0.080,-0.057
85.272872562,-0.085,-0.057
85.273672562,-0.080,-0.057
85.274472562,-0.080,-0.052
85.275272562,-0.080,-0.057
85.276072562,-0.080,-0.057
85.276872562,-0.064,-0.047
85.277672562,-0.085,-0.057
85.278472562,-0.080,-0.057
85.279272562,-0.080,-0.057
85.280072562,-0.085,-0.057
85.280872562,-0.075,-0.037
85.281672562,-0.080,-0.057
85.282472562,-0.080,-0.057
85.283272562,-0.080,-0.057
85.284072562,-0.080,-0.052
85.284872562,-0.085,-0.057
85.285672562,-0.080,-0.057
85.286472562,-0.069,-0.052
85.287272562,-0.085,-0.057
85.288072562,-0.069,-0.037
85.288872562,-0.080,-0.057
85.289672562,-0.075,-0.047
85.290472562,-0.080,-0.057
85.291272562,-0.080,-0.057
85.292072562,-0.080,-0.052
85.292872562,-0.080,-0.057
85.293672562,-0.080,-0.047
85.294472562,-0.080,-0.057
85.295272562,-0.080,-0.047
85.296072562,-0.085,-0.057
85.296872562,-0.085,-0.057
85.297672562,-0.080,-0.057
85.298472562,-0.085,-0.057
85.299272562,-0.080,-0.057
85.300072562,-0.080,-0.052
85.300872562,-0.080,-0.057
85.301672562,-0.085,-0.057
85.302472562,-0.080,-0.057
85.303272562,-0.075,-0.052
85.304072562,-0.069,-0.042
85.304872562,-0.080,-0.057
85.305672562,-0.080,-0.057
85.306472562,-0.080,-0.057
85.307272562,-0.080,-0.057
85.308072562,-0.080,-0.057
85.308872562,-0.075,-0.047
85.309672562,-0.080,-0.057
85.310472562,-0.080,-0.052
85.311272562,-0.080,-0.047
85.312072562,-0.080,-0.057
85.312872562,-0.085,-0.057
85.313672562,-0.080,-0.052
85.314472562,-0.085,-0.057
85.315272562,-0.080,-0.057
85.316072562,-0.080,-0.057
85.316872562,-0.090,-0.057
85.317672562,-0.085,-0.042
85.318472562,-0.075,-0.052
85.319272562,-0.064,-0.032
85.320072562,-0.080,-0.057
85.320872562,-0.054,-0.032
85.321672562,-0.080,-0.057
85.322472562,-0.095,-0.068
85.323272562,-0.085,-0.057
85.324072562,-0.064,-0.047
85.324872562,-0.085,-0.057
85.325672562,-0.080,-0.057
85.326472562,-0.085,-0.052
85.327272562,-0.080,-0.057
85.328072562,-0.080,-0.057
85.328872562,-0.080,-0.057
85.329672562,-0.080,-0.057
85.330472562,-0.080,-0.057
85.331272562,-0.080,-0.052
85.332072562,-0.080,-0.052
85.332872562,-0.085,-0.057
85.333672562,-0.080,-0.052
85.334472562,-0.085,-0.057
85.335272562,-0.080,-0.057
85.336072562,-0.080,-0.057
85.336872562,-0.075,-0.057
85.337672562,-0.080,-0.057
85.338472562,-0.080,-0.057
85.339272562,-0.080,-0.052
85.340072562,-0.080,-0.057
85.340872562,-0.080,-0.057
85.341672562,-0.080,-0.057
85.342472562,-0.080,-0.057
85.343272562,-0.085,-0.057
85.344072562,-0.080,-0.057
85.344872562,-0.075,-0.047
85.345672562,-0.059,-0.042
85.346472562,-0.085,-0.057
85.347272562,-0.080,-0.057
85.348072562,-0.080,-0.052
85.348872562,-0.080,-0.052
85.349672562,-0.080,-0.057
85.350472562,-0.080,-0.052
85.351272562,-0.080,-0.057
85.352072562,-0.080,-0.057
85.352872562,-0.080,-0.057
85.353672562,-0.085,-0.057
85.354472562,-0.080,-0.057
85.355272562,-0.080,-0.057
