# 20230822
# M2
# pH 7 solution
# Berkeley reference electrode
# 1.25 kSps sampling rate with Saleae Logic Pro 8

Time [s],PWM ramp [V],Output [V]
726.948072562,-0.090,-0.032
726.948872562,-0.085,-0.022
726.949672562,-0.085,-0.027
726.950472562,-0.090,-0.027
726.951272562,-0.085,-0.022
726.952072562,-0.090,-0.032
726.952872562,-0.085,-0.022
726.953672562,-0.085,-0.027
726.954472562,-0.090,-0.032
726.955272562,-0.075,-0.012
726.956072562,-0.080,-0.012
726.956872562,-0.090,-0.027
726.957672562,-0.080,-0.022
726.958472562,-0.085,-0.022
726.959272562,-0.085,-0.027
726.960072562,-0.080,-0.022
726.960872562,-0.080,-0.027
726.961672562,-0.080,-0.022
726.962472562,-0.085,-0.022
726.963272562,-0.085,-0.022
726.964072562,-0.095,-0.037
726.964872562,-0.090,-0.027
726.965672562,-0.085,-0.022
726.966472562,-0.080,-0.022
726.967272562,-0.080,-0.022
726.968072562,-0.059,-0.006
726.968872562,-0.085,-0.027
726.969672562,-0.090,-0.032
726.970472562,-0.080,-0.022
726.971272562,-0.080,-0.022
726.972072562,-0.085,-0.022
726.972872562,-0.085,-0.027
726.973672562,-0.090,-0.027
726.974472562,-0.095,-0.027
726.975272562,-0.069,-0.006
726.976072562,-0.090,-0.027
726.976872562,-0.080,-0.022
726.977672562,-0.080,-0.027
726.978472562,-0.080,-0.022
726.979272562,-0.090,-0.027
726.980072562,-0.080,-0.017
726.980872562,-0.080,-0.027
726.981672562,-0.085,-0.027
726.982472562,-0.085,-0.027
726.983272562,-0.085,-0.027
726.984072562,-0.085,-0.017
726.984872562,-0.069,-0.017
726.985672562,-0.085,-0.027
726.986472562,-0.080,-0.022
726.987272562,-0.080,-0.022
726.988072562,-0.080,-0.022
726.988872562,-0.075,-0.006
726.989672562,-0.085,-0.022
726.990472562,-0.080,-0.022
726.991272562,-0.085,-0.027
726.992072562,-0.080,-0.022
726.992872562,-0.080,-0.022
726.993672562,-0.090,-0.022
726.994472562,-0.085,-0.027
726.995272562,-0.090,-0.032
726.996072562,-0.090,-0.027
726.996872562,-0.080,-0.017
726.997672562,-0.085,-0.027
726.998472562,-0.085,-0.027
726.999272562,-0.069,-0.017
727.000072562,-0.090,-0.027
727.000872562,-0.085,-0.022
727.001672562,-0.080,-0.022
727.002472562,-0.090,-0.032
727.003272562,-0.085,-0.027
727.004072562,-0.085,-0.027
727.004872562,-0.085,-0.027
727.005672562,-0.095,-0.032
727.006472562,-0.085,-0.027
727.007272562,-0.080,-0.022
727.008072562,-0.085,-0.022
727.008872562,-0.085,-0.017
727.009672562,-0.080,-0.022
727.010472562,-0.090,-0.027
727.011272562,-0.080,-0.017
727.012072562,-0.090,-0.032
727.012872562,-0.085,-0.022
727.013672562,-0.085,-0.022
727.014472562,-0.090,-0.032
727.015272562,-0.090,-0.027
727.016072562,-0.085,-0.027
727.016872562,-0.090,-0.022
727.017672562,-0.080,-0.022
727.018472562,-0.090,-0.032
727.019272562,-0.085,-0.022
727.020072562,-0.085,-0.022
727.020872562,-0.085,-0.027
727.021672562,-0.085,-0.027
727.022472562,-0.090,-0.032
727.023272562,-0.085,-0.027
727.024072562,-0.080,-0.022
727.024872562,-0.080,-0.022
727.025672562,-0.080,-0.022
727.026472562,-0.095,-0.032
727.027272562,-0.069,-0.001
727.028072562,-0.085,-0.027
727.028872562,-0.085,-0.027
727.029672562,-0.090,-0.032
727.030472562,-0.095,-0.032
727.031272562,-0.085,-0.027
727.032072562,-0.085,-0.027
727.032872562,-0.085,-0.022
727.033672562,-0.080,-0.022
727.034472562,-0.080,-0.022
727.035272562,-0.075,-0.017
727.036072562,-0.080,-0.022
727.036872562,-0.069,-0.012
727.037672562,-0.090,-0.027
727.038472562,-0.085,-0.017
727.039272562,-0.085,-0.022
727.040072562,-0.085,-0.027
727.040872562,-0.085,-0.027
727.041672562,-0.090,-0.027
727.042472562,-0.085,-0.022
727.043272562,-0.090,-0.032
727.044072562,-0.085,-0.022
727.044872562,-0.064,-0.001
727.045672562,-0.090,-0.032
727.046472562,-0.090,-0.027
727.047272562,-0.085,-0.027
727.048072562,-0.069,-0.017
727.048872562,-0.090,-0.032
727.049672562,-0.080,-0.022
727.050472562,-0.080,-0.017
727.051272562,-0.085,-0.017
727.052072562,-0.085,-0.027
727.052872562,-0.080,-0.022
727.053672562,-0.090,-0.022
727.054472562,-0.085,-0.022
727.055272562,-0.080,-0.027
727.056072562,-0.080,-0.022
727.056872562,-0.085,-0.022
727.057672562,-0.085,-0.027
727.058472562,-0.080,-0.022
727.059272562,-0.059,-0.001
727.060072562,-0.085,-0.022
727.060872562,-0.090,-0.027
727.061672562,-0.090,-0.027
727.062472562,-0.080,-0.012
727.063272562,-0.085,-0.027
727.064072562,-0.090,-0.027
727.064872562,-0.080,-0.022
727.065672562,-0.064,-0.006
727.066472562,-0.090,-0.027
727.067272562,-0.085,-0.017
727.068072562,-0.085,-0.027
727.068872562,-0.080,-0.027
727.069672562,-0.080,-0.022
727.070472562,-0.090,-0.027
727.071272562,-0.080,-0.022
727.072072562,-0.080,-0.022
727.072872562,-0.085,-0.027
727.073672562,-0.080,-0.022
727.074472562,-0.085,-0.032
727.075272562,-0.085,-0.027
727.076072562,-0.085,-0.022
727.076872562,-0.085,-0.022
727.077672562,-0.080,-0.022
727.078472562,-0.085,-0.027
727.079272562,-0.100,-0.032
727.080072562,-0.090,-0.022
727.080872562,-0.080,-0.017
727.081672562,-0.090,-0.027
727.082472562,-0.085,-0.027
727.083272562,-0.090,-0.022
727.084072562,-0.080,-0.022
727.084872562,-0.080,-0.022
727.085672562,-0.064,-0.006
727.086472562,-0.090,-0.032
727.087272562,-0.069,-0.006
