# 20220926
# L35
# III 1 nitrate sensor
# 1 Hz SCuM ADC sampling rate
# No averaging
# ADC LDO output: 1.393 V
# June 19 reference electrode

Nitrate concentration [M], ADC output [LSB]

# 0.1 M
0.1,191
0.1,187
0.1,183
0.1,187
0.1,191
0.1,191
0.1,185
0.1,184
0.1,184
0.1,184
0.1,190
0.1,191
0.1,212
0.1,191
0.1,196
0.1,191
0.1,192
0.1,188
0.1,191
0.1,192
0.1,188
0.1,191
0.1,194
0.1,191
0.1,200
0.1,192
0.1,191
0.1,216
0.1,193
0.1,191
0.1,204
0.1,191
0.1,204
0.1,193
0.1,192
0.1,207
0.1,207
0.1,199
0.1,206
0.1,199
0.1,198
0.1,198
0.1,200
0.1,198
0.1,198
0.1,199
0.1,199
0.1,200
0.1,198
0.1,207
0.1,212
0.1,204
0.1,208
0.1,199
0.1,206
0.1,206
0.1,206
0.1,207
0.1,208
0.1,206
0.1,224
0.1,206
0.1,205
0.1,207
0.1,209
0.1,221
0.1,216
0.1,207
0.1,216
0.1,204
0.1,206
0.1,207
0.1,209
0.1,200
0.1,203
0.1,215
0.1,232
0.1,214
0.1,231
0.1,221
0.1,213
0.1,213
0.1,212
0.1,209
0.1,223
0.1,220
0.1,214
0.1,218
0.1,218
0.1,220
0.1,236
0.1,220
0.1,222
0.1,220
0.1,220
0.1,215
0.1,221
0.1,215
0.1,223
0.1,223
0.1,215
0.1,222
0.1,223
0.1,224
0.1,216
0.1,218
0.1,222
0.1,224
0.1,208
0.1,216
0.1,222
0.1,224
0.1,217
0.1,223
0.1,225
0.1,215
0.1,223
0.1,223
0.1,226
0.1,215
0.1,224
0.1,216
0.1,220
0.1,223
0.1,230
0.1,240
0.1,232
0.1,223
0.1,228
0.1,220
0.1,223
0.1,239
0.1,231
0.1,227
0.1,223
0.1,229
0.1,228
0.1,226
0.1,238
0.1,230
0.1,234
0.1,224
0.1,222
0.1,228
0.1,225
0.1,223
0.1,227
0.1,224
0.1,220
0.1,231
0.1,240
0.1,224
0.1,218
0.1,228
0.1,231
0.1,232
0.1,223
0.1,237
0.1,248
0.1,223
0.1,231
0.1,234
0.1,234
0.1,229
0.1,231
0.1,230
0.1,225
0.1,224
0.1,224
0.1,222
0.1,234
0.1,234
0.1,231
0.1,235
0.1,228
0.1,236
0.1,228
0.1,231
0.1,236
0.1,248
0.1,234
0.1,231
0.1,236
0.1,232
0.1,226
0.1,225
0.1,232
0.1,248
0.1,238
0.1,232
0.1,239
0.1,234
0.1,229
0.1,235
0.1,237
0.1,240
0.1,234
0.1,232
0.1,234
0.1,234
0.1,231
0.1,239
0.1,240
0.1,236
0.1,238
0.1,240
0.1,232
0.1,232
0.1,227
0.1,232
0.1,240
0.1,238
0.1,240
0.1,236
0.1,239
0.1,240
0.1,236
0.1,239
0.1,243
0.1,254
0.1,248
0.1,231
0.1,239
0.1,241
0.1,240
0.1,235
0.1,240
0.1,234
0.1,240
0.1,236
0.1,238
0.1,240
0.1,238
0.1,242
0.1,240
0.1,236
0.1,238
0.1,239
0.1,246
0.1,247
0.1,255
0.1,255
0.1,248
0.1,237
0.1,244
0.1,242
0.1,255
0.1,248
0.1,239
0.1,246
0.1,243
0.1,245
0.1,246
0.1,243
0.1,240
0.1,241
0.1,255
0.1,248
0.1,239
0.1,252
0.1,248
0.1,244
0.1,246
0.1,245
0.1,247
0.1,249
0.1,248

# 0.01 M
0.01,279
0.01,276
0.01,279
0.01,278
0.01,271
0.01,279
0.01,282
0.01,280
0.01,271
0.01,280
0.01,287
0.01,279
0.01,276
0.01,276
0.01,279
0.01,278
0.01,279
0.01,280
0.01,276
0.01,279
0.01,282
0.01,280
0.01,272
0.01,271
0.01,285
0.01,287
0.01,288
0.01,278
0.01,282
0.01,279
0.01,279
0.01,284
0.01,279
0.01,280
0.01,279
0.01,286
0.01,288
0.01,276
0.01,279
0.01,284
0.01,287
0.01,283
0.01,287
0.01,283
0.01,280
0.01,279
0.01,287
0.01,287
0.01,286
0.01,282
0.01,284
0.01,277
0.01,280
0.01,279
0.01,287
0.01,288
0.01,279
0.01,287
0.01,283
0.01,283
0.01,287
0.01,288
0.01,279
0.01,287
0.01,287
0.01,283
0.01,287
0.01,287
0.01,287
0.01,287
0.01,288
0.01,294
0.01,284
0.01,287
0.01,287
0.01,289
0.01,287
0.01,284
0.01,281
0.01,281
0.01,283
0.01,288
0.01,280
0.01,279
0.01,288
0.01,279
0.01,284
0.01,287
0.01,288
0.01,282
0.01,287
0.01,288
0.01,279
0.01,287
0.01,289
0.01,283
0.01,284
0.01,283
0.01,282
0.01,287
0.01,286
0.01,292
0.01,288
0.01,297
0.01,283
0.01,286
0.01,287
0.01,292
0.01,284
0.01,282
0.01,287
0.01,287
0.01,290
0.01,279
0.01,287
0.01,295
0.01,295
0.01,292
0.01,287
0.01,291
0.01,286
0.01,288
0.01,271
0.01,290
0.01,287
0.01,293
0.01,287
0.01,287
0.01,295
0.01,303
0.01,296
0.01,288
0.01,286
0.01,291
0.01,288
0.01,283
0.01,287
0.01,295
0.01,287
0.01,295
0.01,289
0.01,287
0.01,295
0.01,287
0.01,295
0.01,287
0.01,295
0.01,295
0.01,293
0.01,288
0.01,279
0.01,291
0.01,307
0.01,294
0.01,292
0.01,287
0.01,292
0.01,287
0.01,295
0.01,306
0.01,292
0.01,303
0.01,295
0.01,287
0.01,296
0.01,287
0.01,296
0.01,288
0.01,288
0.01,287
0.01,293
0.01,302
0.01,295
0.01,291
0.01,291
0.01,292
0.01,287
0.01,294
0.01,291
0.01,290
0.01,292
0.01,287
0.01,302
0.01,296
0.01,293
0.01,290
0.01,287
0.01,299
0.01,296
0.01,289
0.01,292
0.01,304
0.01,293
0.01,292
0.01,290
0.01,287
0.01,303
0.01,303
0.01,301
0.01,295
0.01,294
0.01,288
0.01,286
0.01,303
0.01,303
0.01,295
0.01,303
0.01,300
0.01,293
0.01,291
0.01,292
0.01,295
0.01,303
0.01,301
0.01,296
0.01,295
0.01,318
0.01,299
0.01,297
0.01,295
0.01,299
0.01,298
0.01,295
0.01,291
0.01,296
0.01,296
0.01,288

# 0.001 M
0.001,335
0.001,341
0.001,344
0.001,335
0.001,346
0.001,340
0.001,337
0.001,340
0.001,335
0.001,342
0.001,340
0.001,351
0.001,344
0.001,336
0.001,335
0.001,345
0.001,335
0.001,347
0.001,348
0.001,337
0.001,335
0.001,342
0.001,338
0.001,342
0.001,343
0.001,344
0.001,336
0.001,325
0.001,336
0.001,334
0.001,340
0.001,337
0.001,340
0.001,340
0.001,352
0.001,342
0.001,336
0.001,335
0.001,343
0.001,344
0.001,336
0.001,335
0.001,344
0.001,351
0.001,343
0.001,344
0.001,343
0.001,343
0.001,347
0.001,349
0.001,345
0.001,340
0.001,339
0.001,341
0.001,343
0.001,351
0.001,347
0.001,344
0.001,342
0.001,347
0.001,342
0.001,336
0.001,356
0.001,343
0.001,344
0.001,343
0.001,348
0.001,343
0.001,344
0.001,338
0.001,335
0.001,343
0.001,351
0.001,351
0.001,352
0.001,341
0.001,342
0.001,344
0.001,337
0.001,335
0.001,345
0.001,348
0.001,345
0.001,352
0.001,339
0.001,348
0.001,343
0.001,348
0.001,343
0.001,350
0.001,351
0.001,349
0.001,343
0.001,348
0.001,343
0.001,352
0.001,339
0.001,341
0.001,346
0.001,339
0.001,340
0.001,340
0.001,342
0.001,341
0.001,345
0.001,343
0.001,349
0.001,343
0.001,335
0.001,349
0.001,349
0.001,352
0.001,356
0.001,335
0.001,345
0.001,343
0.001,344
0.001,342
0.001,347
0.001,349
0.001,353
0.001,342
0.001,345
0.001,343
0.001,342
0.001,341
0.001,347
0.001,351
0.001,350
0.001,348
0.001,339
0.001,351
0.001,348
0.001,343
0.001,346
0.001,344
0.001,354
0.001,336
0.001,341
0.001,342
0.001,343
0.001,366
0.001,352
0.001,345
0.001,343
0.001,343
0.001,345
0.001,344
0.001,343
0.001,351
0.001,356
0.001,344
0.001,342
0.001,343
0.001,343
0.001,351
0.001,351
0.001,355
0.001,349
0.001,351
0.001,359
0.001,346
0.001,344
0.001,341
0.001,344
0.001,351
0.001,367
0.001,351
0.001,343
0.001,348
0.001,342
0.001,344
0.001,351
0.001,354
0.001,351
0.001,356
0.001,344
0.001,340
0.001,339
0.001,351
0.001,352
0.001,339
0.001,350
0.001,350
0.001,343
0.001,343
0.001,345
0.001,343
0.001,351
0.001,354
0.001,345
0.001,344
0.001,336
0.001,337
0.001,347
0.001,351
0.001,352
0.001,343
0.001,347
0.001,351
0.001,351
0.001,350
0.001,348
0.001,347
0.001,354
0.001,350
0.001,348
0.001,349
0.001,351
0.001,351
0.001,353
0.001,336

# 0.0001 M
0.0001,389
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,388
0.0001,378
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,391
0.0001,383
0.0001,391
0.0001,383
0.0001,383
0.0001,383
0.0001,399
0.0001,383
0.0001,391
0.0001,383
0.0001,383
0.0001,383
0.0001,385
0.0001,382
0.0001,383
0.0001,391
0.0001,392
0.0001,380
0.0001,382
0.0001,377
0.0001,379
0.0001,383
0.0001,389
0.0001,382
0.0001,383
0.0001,401
0.0001,380
0.0001,383
0.0001,383
0.0001,383
0.0001,387
0.0001,379
0.0001,383
0.0001,404
0.0001,383
0.0001,383
0.0001,395
0.0001,383
0.0001,391
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,390
0.0001,376
0.0001,383
0.0001,383
0.0001,383
0.0001,393
0.0001,377
0.0001,383
0.0001,399
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,391
0.0001,387
0.0001,383
0.0001,391
0.0001,398
0.0001,383
0.0001,391
0.0001,383
0.0001,390
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,391
0.0001,383
0.0001,391
0.0001,391
0.0001,383
0.0001,391
0.0001,382
0.0001,383
0.0001,383
0.0001,383
0.0001,406
0.0001,383
0.0001,383
0.0001,387
0.0001,382
0.0001,383
0.0001,383
0.0001,391
0.0001,383
0.0001,391
0.0001,380
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,391
0.0001,400
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,392
0.0001,381
0.0001,383
0.0001,391
0.0001,383
0.0001,383
0.0001,388
0.0001,379
0.0001,383
0.0001,383
0.0001,399
0.0001,383
0.0001,383
0.0001,383
0.0001,383
0.0001,387
0.0001,383
0.0001,389

# 0.00001 M
0.00001,395
0.00001,404
0.00001,399
0.00001,424
0.00001,405
0.00001,411
0.00001,411
0.00001,411
0.00001,407
0.00001,414
0.00001,412
0.00001,422
0.00001,408
0.00001,402
0.00001,400
0.00001,397
0.00001,408
0.00001,402
0.00001,399
0.00001,408
0.00001,400
0.00001,401
0.00001,400
0.00001,399
0.00001,407
0.00001,419
0.00001,407
0.00001,408
0.00001,402
0.00001,402
0.00001,397
0.00001,406
0.00001,420
0.00001,404
0.00001,400
0.00001,396
0.00001,400
0.00001,400
0.00001,405
0.00001,407
0.00001,408
0.00001,402
0.00001,399
0.00001,399
0.00001,405
0.00001,410
0.00001,408
0.00001,401
0.00001,399
0.00001,404
0.00001,400
0.00001,397
0.00001,418
0.00001,407
0.00001,407
0.00001,408
0.00001,399
0.00001,402
0.00001,394
0.00001,397
0.00001,407
0.00001,415
0.00001,409
0.00001,406
0.00001,399
0.00001,404
0.00001,395
0.00001,408
0.00001,399
0.00001,412
0.00001,416
0.00001,389
0.00001,400
0.00001,399
0.00001,407
0.00001,406
0.00001,407
0.00001,407
0.00001,399
0.00001,421
0.00001,416
0.00001,399
0.00001,407
0.00001,411
0.00001,408
0.00001,402
0.00001,400
0.00001,392
0.00001,391
0.00001,399
0.00001,401
0.00001,394
0.00001,399
0.00001,408
0.00001,397
0.00001,407
0.00001,403
0.00001,400
0.00001,400
0.00001,394
0.00001,399
0.00001,407
0.00001,401
0.00001,394
0.00001,393
0.00001,400
0.00001,392
0.00001,400
0.00001,404
0.00001,405
0.00001,405
0.00001,407
0.00001,420
0.00001,403
0.00001,398
0.00001,399
0.00001,407
0.00001,412
0.00001,404
0.00001,404
0.00001,414
0.00001,403
0.00001,399
0.00001,404
0.00001,399
0.00001,408
0.00001,399
0.00001,408
0.00001,399
0.00001,404
0.00001,398
0.00001,399
0.00001,403
0.00001,407
0.00001,403
0.00001,405
0.00001,404
0.00001,397
0.00001,399
0.00001,402
0.00001,397

# 0.0001 M
0.0001,391
0.0001,383
0.0001,391
0.0001,383
0.0001,383
0.0001,383
0.0001,392
0.0001,375
0.0001,383
0.0001,383
0.0001,389
0.0001,383
0.0001,383
0.0001,383
0.0001,388
0.0001,375
0.0001,383
0.0001,383
0.0001,393
0.0001,383
0.0001,392
0.0001,383
0.0001,392
0.0001,380
0.0001,381
0.0001,383
0.0001,383
0.0001,383
0.0001,393
0.0001,383
0.0001,388
0.0001,376
0.0001,376
0.0001,383
0.0001,387
0.0001,383
0.0001,396
0.0001,383
0.0001,391
0.0001,396
0.0001,395
0.0001,381
0.0001,383
0.0001,391
0.0001,377
0.0001,383
0.0001,383
0.0001,391
0.0001,383
0.0001,383
0.0001,390
0.0001,381
0.0001,404
0.0001,383
0.0001,392
0.0001,383
0.0001,395
0.0001,383
0.0001,383
0.0001,379
0.0001,383
0.0001,391
0.0001,383
0.0001,383
0.0001,383
0.0001,391
0.0001,383
0.0001,389
0.0001,380
0.0001,383
0.0001,383
0.0001,395
0.0001,383
0.0001,393
0.0001,389
0.0001,382
0.0001,383
0.0001,385
0.0001,383
0.0001,392
0.0001,383
0.0001,390
0.0001,383
0.0001,408
0.0001,383
0.0001,391
0.0001,383
0.0001,383
0.0001,392
0.0001,383

# 0.001 M
0.001,343
0.001,344
0.001,346
0.001,361
0.001,351
0.001,356
0.001,350
0.001,350
0.001,351
0.001,351
0.001,352
0.001,346
0.001,343
0.001,352
0.001,351
0.001,358
0.001,351
0.001,352
0.001,344
0.001,343
0.001,350
0.001,352
0.001,343
0.001,351
0.001,354
0.001,351
0.001,356
0.001,351
0.001,358
0.001,347
0.001,351
0.001,351
0.001,351
0.001,364
0.001,352
0.001,348
0.001,352
0.001,346
0.001,350
0.001,348
0.001,351
0.001,359
0.001,352
0.001,335
0.001,351
0.001,356
0.001,344
0.001,345
0.001,354
0.001,348
0.001,352
0.001,344
0.001,346
0.001,351
0.001,352
0.001,348
0.001,352
0.001,339
0.001,351
0.001,350
0.001,349
0.001,349
0.001,352
0.001,343
0.001,367
0.001,358
0.001,350
0.001,349
0.001,351
0.001,360
0.001,352
0.001,341
0.001,343
0.001,350
0.001,352
0.001,348
0.001,353
0.001,351
0.001,352
0.001,344
0.001,347
0.001,351
0.001,358
0.001,364
0.001,351
0.001,351
0.001,358
0.001,354
0.001,351
0.001,351
0.001,355
0.001,358
0.001,352
0.001,348

# 0.01 M
0.01,313
0.01,312
0.01,311
0.01,316
0.01,311
0.01,328
0.01,311
0.01,313
0.01,310
0.01,312
0.01,312
0.01,304
0.01,308
0.01,316
0.01,318
0.01,319
0.01,319
0.01,319
0.01,319
0.01,335
0.01,313
0.01,319
0.01,319
0.01,319
0.01,336
0.01,304
0.01,322
0.01,311
0.01,312
0.01,311
0.01,319
0.01,318
0.01,312
0.01,312
0.01,312
0.01,319
0.01,327
0.01,318
0.01,319
0.01,319
0.01,319
0.01,317
0.01,319
0.01,320
0.01,314
0.01,318
0.01,319
0.01,319
0.01,319
0.01,319
0.01,320
0.01,304
0.01,308
0.01,314
0.01,319
0.01,319
0.01,319
0.01,314
0.01,311
0.01,319
0.01,319
0.01,319
0.01,319
0.01,319
0.01,322
0.01,314
0.01,319
0.01,321
0.01,318
0.01,319
0.01,325
0.01,316
0.01,319
0.01,324
0.01,319
0.01,328
0.01,327
0.01,317
0.01,320
0.01,312
0.01,319
0.01,319
0.01,321
0.01,318
0.01,318
0.01,319
0.01,325
0.01,321
0.01,319
0.01,319
0.01,319
0.01,319
0.01,319
0.01,319
0.01,319

# 0.1 M
0.1,279
0.1,282
0.1,280
0.1,271
0.1,289
0.1,279
0.1,279
0.1,282
0.1,286
0.1,287
0.1,286
0.1,295
0.1,288
0.1,279
0.1,283
0.1,280
0.1,279
0.1,286
0.1,286
0.1,287
0.1,302
0.1,287
0.1,287
0.1,288
0.1,279
0.1,299
0.1,284
0.1,283
0.1,286
0.1,287
0.1,302
0.1,302
0.1,288
0.1,279
0.1,287
0.1,288
0.1,280
0.1,285
0.1,283
0.1,287
0.1,303
0.1,287
0.1,287
0.1,287
0.1,302
0.1,287
0.1,296
0.1,284
0.1,285
0.1,287
0.1,287
0.1,289
0.1,286
0.1,303
0.1,289
0.1,281
0.1,286
0.1,287
0.1,303
0.1,290
0.1,286
0.1,287
0.1,285
0.1,288
0.1,287
0.1,295
0.1,292
0.1,287
0.1,294
0.1,287
0.1,287
0.1,288
0.1,299
0.1,287
0.1,287
0.1,291
0.1,288
0.1,287
0.1,292
0.1,287
0.1,287
0.1,289
0.1,284
0.1,287
0.1,299
0.1,288
0.1,294
0.1,294
0.1,286
0.1,287
0.1,287
0.1,291
0.1,288
0.1,275
0.1,286
0.1,289
0.1,280
