# 20220920
# L35
# VI 2 nitrate sensor
# 1 Hz SCuM ADC sampling rate
# No averaging
# ADC LDO output: 1.393 V

Nitrate concentration [M], ADC output [LSB]

# 0.1 M
0.1,154
0.1,142
0.1,127
0.1,135
0.1,140
0.1,136
0.1,131
0.1,127
0.1,142
0.1,138
0.1,132
0.1,127
0.1,149
0.1,140
0.1,140
0.1,141
0.1,142
0.1,140
0.1,142
0.1,143
0.1,150
0.1,144
0.1,138
0.1,143
0.1,147
0.1,144
0.1,138
0.1,127
0.1,142
0.1,135
0.1,137
0.1,143
0.1,146
0.1,134
0.1,127
0.1,149
0.1,144
0.1,143
0.1,146
0.1,138
0.1,138
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,142
0.1,139
0.1,138
0.1,141
0.1,143
0.1,143
0.1,135
0.1,139
0.1,143
0.1,139
0.1,127
0.1,143
0.1,137
0.1,142
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,144
0.1,136
0.1,140
0.1,138
0.1,136
0.1,136
0.1,127
0.1,148
0.1,143
0.1,142
0.1,127
0.1,136
0.1,150
0.1,140
0.1,136
0.1,131
0.1,127
0.1,148
0.1,140
0.1,140
0.1,142
0.1,135
0.1,143
0.1,144
0.1,136
0.1,143
0.1,143
0.1,139
0.1,143
0.1,139
0.1,143
0.1,139
0.1,135
0.1,143
0.1,139
0.1,141
0.1,142
0.1,142
0.1,140
0.1,127
0.1,137
0.1,135
0.1,127
0.1,139
0.1,127
0.1,156
0.1,143
0.1,143
0.1,143
0.1,144
0.1,135
0.1,158
0.1,151
0.1,148
0.1,138
0.1,143
0.1,143
0.1,142
0.1,136
0.1,127
0.1,158
0.1,136
0.1,127
0.1,139
0.1,135
0.1,127
0.1,143
0.1,143
0.1,139
0.1,143
0.1,143
0.1,142
0.1,127
0.1,143
0.1,141
0.1,142
0.1,140
0.1,143
0.1,143
0.1,144
0.1,136
0.1,139
0.1,144
0.1,135
0.1,139
0.1,143
0.1,140
0.1,139
0.1,142
0.1,140
0.1,136
0.1,127
0.1,142
0.1,136
0.1,127
0.1,142
0.1,127
0.1,127
0.1,139
0.1,143
0.1,151
0.1,147
0.1,140
0.1,137
0.1,133
0.1,127
0.1,143
0.1,155
0.1,141
0.1,135
0.1,140
0.1,135
0.1,138
0.1,127
0.1,143
0.1,135
0.1,142
0.1,136
0.1,130
0.1,127
0.1,148
0.1,136
0.1,136
0.1,136
0.1,138
0.1,131
0.1,135
0.1,141
0.1,140
0.1,139
0.1,139
0.1,139
0.1,138
0.1,138
0.1,143
0.1,143
0.1,139
0.1,127
0.1,155
0.1,127
0.1,143
0.1,142
0.1,136
0.1,127
0.1,143
0.1,135
0.1,143
0.1,143
0.1,143
0.1,143
0.1,137
0.1,143
0.1,139
0.1,139
0.1,147
0.1,143
0.1,143
0.1,144
0.1,135
0.1,142
0.1,143
0.1,140
0.1,135
0.1,152
0.1,133
0.1,135
0.1,127
0.1,135
0.1,139
0.1,135
0.1,136
0.1,152
0.1,135
0.1,141
0.1,139
0.1,138
0.1,138
0.1,138
0.1,141
0.1,136
0.1,127
0.1,137
0.1,141
0.1,137
0.1,127
0.1,159
0.1,143
0.1,127
0.1,142
0.1,136
0.1,137
0.1,152
0.1,138
0.1,127
0.1,148
0.1,137
0.1,136
0.1,136
0.1,135
0.1,152
0.1,159
0.1,145
0.1,143
0.1,148
0.1,140
0.1,127
0.1,159
0.1,143
0.1,139
0.1,136
0.1,127
0.1,142
0.1,140
0.1,139
0.1,143
0.1,143
0.1,143
0.1,160
0.1,139
0.1,141
0.1,139
0.1,143
0.1,127
0.1,143
0.1,142
0.1,127
0.1,139
0.1,136
0.1,136
0.1,133
0.1,135
0.1,127
0.1,144
0.1,133
0.1,135
0.1,135
0.1,127
0.1,135
0.1,134
0.1,136
0.1,135
0.1,142
0.1,143
0.1,159
0.1,162
0.1,140
0.1,143
0.1,135
0.1,127
0.1,143
0.1,135
0.1,127
0.1,135
0.1,140
0.1,135
0.1,137
0.1,139
0.1,141
0.1,143
0.1,145
0.1,136
0.1,140
0.1,136
0.1,151
0.1,140
0.1,127
0.1,127
0.1,127
0.1,143
0.1,143
0.1,156
0.1,138

# 0.01 M
0.01,183
0.01,175
0.01,184
0.01,175
0.01,188
0.01,176
0.01,167
0.01,175
0.01,175
0.01,177
0.01,180
0.01,182
0.01,190
0.01,183
0.01,184
0.01,180
0.01,176
0.01,172
0.01,167
0.01,175
0.01,179
0.01,184
0.01,183
0.01,191
0.01,191
0.01,187
0.01,183
0.01,180
0.01,171
0.01,175
0.01,179
0.01,164
0.01,172
0.01,170
0.01,175
0.01,181
0.01,178
0.01,185
0.01,183
0.01,190
0.01,184
0.01,191
0.01,188
0.01,184
0.01,179
0.01,181
0.01,180
0.01,175
0.01,176
0.01,175
0.01,191
0.01,183
0.01,178
0.01,175
0.01,182
0.01,181
0.01,184
0.01,191
0.01,184
0.01,175
0.01,184
0.01,180
0.01,176
0.01,173
0.01,180
0.01,175
0.01,172
0.01,174
0.01,171
0.01,176
0.01,179
0.01,175
0.01,184
0.01,182
0.01,186
0.01,190
0.01,188
0.01,184
0.01,180
0.01,177
0.01,172
0.01,179
0.01,175
0.01,175
0.01,180
0.01,171
0.01,169
0.01,183
0.01,176
0.01,172
0.01,173
0.01,174
0.01,175
0.01,184
0.01,176
0.01,175
0.01,188
0.01,182
0.01,183
0.01,176
0.01,175
0.01,184
0.01,176
0.01,178
0.01,183
0.01,191
0.01,197
0.01,175
0.01,184
0.01,176
0.01,174
0.01,175
0.01,177
0.01,172
0.01,174
0.01,175
0.01,184
0.01,183
0.01,186
0.01,190
0.01,191
0.01,191
0.01,191
0.01,184
0.01,180
0.01,175
0.01,184
0.01,191
0.01,179
0.01,176
0.01,180
0.01,176
0.01,190
0.01,191
0.01,188
0.01,183
0.01,184
0.01,180
0.01,175
0.01,176
0.01,172
0.01,174
0.01,180
0.01,176
0.01,175
0.01,184
0.01,177
0.01,183
0.01,188
0.01,180
0.01,178
0.01,168
0.01,168
0.01,165
0.01,175
0.01,184
0.01,175
0.01,184
0.01,185

# 0.001 M
0.001,282
0.001,206
0.001,146
0.001,220
0.001,204
0.001,220
0.001,215
0.001,227
0.001,223
0.001,216
0.001,214
0.001,217
0.001,219
0.001,240
0.001,219
0.001,232
0.001,219
0.001,225
0.001,216
0.001,215
0.001,223
0.001,229
0.001,219
0.001,215
0.001,220
0.001,215
0.001,225
0.001,222
0.001,223
0.001,223
0.001,229
0.001,215
0.001,223
0.001,221
0.001,221
0.001,214
0.001,215
0.001,220
0.001,220
0.001,216
0.001,216
0.001,216
0.001,218
0.001,231
0.001,223
0.001,223
0.001,233
0.001,220
0.001,222
0.001,223
0.001,223
0.001,222
0.001,221
0.001,223
0.001,222
0.001,221
0.001,217
0.001,222
0.001,226
0.001,216
0.001,222
0.001,223
0.001,223
0.001,226
0.001,216
0.001,220
0.001,221
0.001,236
0.001,225
0.001,217
0.001,223
0.001,228
0.001,226
0.001,216
0.001,215
0.001,233
0.001,230
0.001,223
0.001,223
0.001,225
0.001,219
0.001,223
0.001,228
0.001,222
0.001,224

# 8th bit seems to be sticky.
# 0.0001 M:
0.0001,265
0.0001,244
0.0001,247
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,270
0.0001,255
0.0001,255
0.0001,269
0.0001,255
0.0001,268
0.0001,264
0.0001,255
0.0001,271
0.0001,255
0.0001,266
0.0001,255
0.0001,271
0.0001,255
0.0001,265
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,270
0.0001,266
0.0001,254
0.0001,255
0.0001,255
0.0001,283
0.0001,255
0.0001,255
0.0001,255
0.0001,267
0.0001,255
0.0001,255
0.0001,255
0.0001,263
0.0001,250
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,280
0.0001,255
0.0001,271
0.0001,255
0.0001,271
0.0001,269
0.0001,255
0.0001,271
0.0001,255
0.0001,279
0.0001,255
0.0001,255
0.0001,255
0.0001,255
0.0001,276
0.0001,255
0.0001,255
0.0001,273
0.0001,255
0.0001,255
0.0001,255
0.0001,255

# 0.00001 M:
0.00001,288
0.00001,277
0.00001,279
0.00001,278
0.00001,272
0.00001,280
0.00001,279
0.00001,287
0.00001,294
0.00001,289
0.00001,283
0.00001,296
0.00001,285
0.00001,288
0.00001,279
0.00001,283
0.00001,284
0.00001,286
0.00001,287
0.00001,285
0.00001,294
0.00001,282
0.00001,278
0.00001,279
0.00001,287
0.00001,291
0.00001,288
0.00001,279
0.00001,286
0.00001,288
0.00001,280
0.00001,279
0.00001,287
0.00001,286
0.00001,286
0.00001,286
0.00001,287
0.00001,283
0.00001,287
0.00001,287
0.00001,285
0.00001,287
0.00001,287
0.00001,291
0.00001,280
0.00001,277
0.00001,287
0.00001,285
0.00001,287
0.00001,286
0.00001,296
0.00001,271
0.00001,279
0.00001,284
0.00001,286
0.00001,287
0.00001,295
0.00001,288
0.00001,280
0.00001,284
0.00001,284
0.00001,273
0.00001,279
0.00001,279
0.00001,271
0.00001,281
0.00001,284
0.00001,287
0.00001,287
0.00001,293
0.00001,285
0.00001,285
0.00001,279
0.00001,280
0.00001,272
0.00001,273
0.00001,287
0.00001,287
0.00001,287
0.00001,288
0.00001,272
0.00001,276
0.00001,279
0.00001,277
0.00001,281
0.00001,273
0.00001,279
0.00001,285
0.00001,281
0.00001,287
0.00001,283
0.00001,286
0.00001,284
0.00001,278
0.00001,279
0.00001,279
0.00001,283
0.00001,282
0.00001,280
0.00001,284
0.00001,288
0.00001,271
0.00001,278
0.00001,279
0.00001,280
0.00001,286
0.00001,285
0.00001,288
0.00001,273
0.00001,290
0.00001,278
0.00001,271
0.00001,282
0.00001,281
0.00001,286
0.00001,287
0.00001,295
0.00001,287
0.00001,287
0.00001,287
0.00001,280
0.00001,272
0.00001,277
0.00001,285
0.00001,294
0.00001,283
0.00001,283
0.00001,279

# 0.001 M
0.001,229
0.001,217
0.001,218
0.001,218
0.001,221
0.001,224
0.001,208
0.001,220
0.001,223
0.001,223
0.001,222
0.001,223
0.001,223
0.001,226
0.001,223
0.001,231
0.001,223
0.001,223
0.001,222
0.001,222
0.001,223
0.001,220
0.001,219
0.001,224
0.001,215
0.001,223
0.001,223
0.001,224
0.001,209
0.001,206
0.001,220
0.001,219
0.001,230
0.001,225
0.001,220
0.001,223
0.001,216
0.001,207
0.001,219
0.001,223
0.001,223
0.001,234
0.001,240
0.001,219
0.001,223
0.001,219
0.001,220
0.001,216
0.001,223
0.001,224
0.001,220
0.001,222
0.001,215
0.001,215
0.001,223
0.001,220
0.001,215
0.001,226
0.001,220
0.001,223
0.001,223
0.001,231
0.001,223
0.001,222
0.001,215
0.001,218
0.001,223
0.001,232
0.001,224
0.001,215
0.001,222
0.001,215
0.001,219
0.001,223
0.001,236

# 0.01 M
0.01,181
0.01,184
0.01,178
0.01,175
0.01,175
0.01,178
0.01,184
0.01,191
0.01,191
0.01,191
0.01,183
0.01,183
0.01,183
0.01,183
0.01,191
0.01,190
0.01,189
0.01,189
0.01,190
0.01,188
0.01,180
0.01,173
0.01,176
0.01,175
0.01,187
0.01,187
0.01,184
0.01,183
0.01,175
0.01,178
0.01,176
0.01,171
0.01,174
0.01,175
0.01,191
0.01,190
0.01,183
0.01,183
0.01,175
0.01,168
0.01,174
0.01,184
0.01,184
0.01,180
0.01,179
0.01,191
0.01,184
0.01,171
0.01,184
0.01,175
0.01,191
0.01,189
0.01,182
0.01,168
0.01,175
0.01,183
0.01,187
0.01,181
0.01,190
0.01,191
0.01,191
0.01,191
0.01,188
0.01,194
0.01,172
0.01,175
0.01,183
0.01,186
0.01,184
0.01,192
0.01,182
0.01,184
0.01,178
0.01,167
0.01,171
0.01,166
0.01,177
0.01,184
0.01,184
0.01,180
0.01,184
0.01,186
0.01,176
0.01,168
0.01,173
0.01,183
0.01,186
0.01,184
0.01,176
0.01,172
0.01,168
0.01,175
0.01,177
0.01,175
0.01,184
0.01,180
0.01,178
0.01,184
0.01,184
0.01,183
0.01,184
0.01,172
0.01,189
0.01,182
0.01,180
0.01,184
0.01,183
0.01,184
0.01,171
0.01,176
0.01,168
0.01,178
0.01,180
0.01,185
0.01,183
0.01,184
0.01,175
0.01,183
0.01,178
0.01,175
0.01,187
0.01,190
0.01,190
0.01,188
0.01,176
0.01,172
0.01,179
0.01,183
0.01,184
0.01,192
0.01,175
0.01,175
0.01,179
0.01,174
0.01,182
0.01,184
0.01,180
0.01,177
0.01,184
0.01,176
0.01,174
0.01,175
0.01,180
0.01,180
0.01,184
0.01,175
0.01,183
0.01,184
0.01,174
0.01,191
0.01,183
0.01,191
0.01,191
0.01,190
0.01,190
0.01,186
0.01,176
0.01,168
0.01,172
0.01,174
0.01,183
0.01,191
0.01,200
0.01,188
0.01,176
0.01,168
0.01,172
0.01,180
0.01,184
0.01,184
0.01,184
0.01,173
0.01,175
0.01,175
0.01,182
0.01,175
0.01,184
0.01,179
0.01,183
0.01,184
0.01,175
0.01,175
0.01,183
0.01,175
0.01,182
0.01,187
0.01,191
0.01,191
0.01,190
0.01,178
0.01,172
0.01,174
0.01,180
0.01,175
0.01,183
0.01,188
0.01,186
0.01,182
0.01,175
0.01,178
0.01,176
0.01,171

# 0.1 M
0.1,127
0.1,143
0.1,144
0.1,142
0.1,149
0.1,127
0.1,159
0.1,145
0.1,143
0.1,127
0.1,151
0.1,143
0.1,143
0.1,140
0.1,127
0.1,127
0.1,151
0.1,143
0.1,148
0.1,143
0.1,146
0.1,135
0.1,140
0.1,135
0.1,144
0.1,143
0.1,143
0.1,141
0.1,127
0.1,141
0.1,133
0.1,127
0.1,143
0.1,144
0.1,143
0.1,137
0.1,135
0.1,143
0.1,135
0.1,130
0.1,152
0.1,142
0.1,149
0.1,127
0.1,151
0.1,137
0.1,135
0.1,127
0.1,143
0.1,142
0.1,143
0.1,143
0.1,139
0.1,140
0.1,127
0.1,146
0.1,140
0.1,138
0.1,143
0.1,144
0.1,136
0.1,135
0.1,127
0.1,143
0.1,143
0.1,143
0.1,152
0.1,143
0.1,151
0.1,143
0.1,143
0.1,152
0.1,142
0.1,140
0.1,141
0.1,143
0.1,150
0.1,127
0.1,139
0.1,127
0.1,143
0.1,143
0.1,148
0.1,141
0.1,151
0.1,143
0.1,142
0.1,152
0.1,135
0.1,127
0.1,143
0.1,141
0.1,148
0.1,142
0.1,141
0.1,143
0.1,143
0.1,144
0.1,144
0.1,137
0.1,138
0.1,138
0.1,127
0.1,138
0.1,127
0.1,143
0.1,143
0.1,150
0.1,144
0.1,135
0.1,143
0.1,127
0.1,143
0.1,127
0.1,143
0.1,141
0.1,145
0.1,159
0.1,152
0.1,136
0.1,127
0.1,143
0.1,127
0.1,140
0.1,135
0.1,143
0.1,143
0.1,151
0.1,143
0.1,136
0.1,127
0.1,135
0.1,131
0.1,127
0.1,143
0.1,143
0.1,150
0.1,140
0.1,136
0.1,127
0.1,135
0.1,133
0.1,131
0.1,151
0.1,148
0.1,143
0.1,145
0.1,135
0.1,127
0.1,146
0.1,130
0.1,127
0.1,143
0.1,139
0.1,151
0.1,143
0.1,144
0.1,139
0.1,127
0.1,139
0.1,138
0.1,140
