# 20230816
# M2
# 10 MOhms resistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# 50 nF capacitor
# Four-probe measurement gives 10.0 MOhms

Iteration,ADC output [LSB]
1,507
1,484
1,464
1,438
1,444
1,420
1,394
1,377
1,360
1,339
1,334
1,314
1,300
1,282
1,259
1,248
1,238
1,224
1,208
1,191
1,183
1,166
1,157
1,150
1,135
1,125
1,116
1,104
1,100
1,88
1,79
1,71
1,63
1,60
1,47
1,47
1,40
1,23
1,19
1,511
1,511
1,511
1,511
1,511
1,503
1,495
1,488
1,478
1,478
1,462
1,458
1,447
1,448
1,436
1,428
1,424
1,416
1,407
1,411
1,402
1,392
1,383
1,391
1,382
1,382
1,371
1,371
1,367
1,363
1,352
1,341
1,339
1,338
1,334
1,327
1,319
1,327
1,318
1,318
1,311
1,310
1,304
1,295
1,297
1,287
1,287
1,287
1,284
1,279
1,272
1,268
1,263
1,255
1,271
1,255
1,255
1,255
1,255
1,255
1,252
1,247
1,253
1,245
1,243
1,239
1,237
1,236
1,226
1,224
1,220
1,223
1,230
1,215
1,223
1,216
1,203
1,209
1,207
1,207
1,208
1,199
1,199
1,191
1,204
1,191
1,199
1,191
1,191
1,191
1,191
1,191
1,191
1,191
1,191
1,191
1,200
1,182
1,176
1,174
1,178
1,170
1,176
1,168
1,163
1,173
1,174
1,167
1,167
1,167
1,167
1,166
1,164
1,159
1,167
1,163
1,151
1,162
1,151
1,159
1,159
1,158
1,151
1,152
1,148
1,151
1,157
1,152
1,144
1,143
1,151
1,147
1,144
1,137
1,143
1,151
1,146
1,138
1,135
1,142
1,143
1,143
1,143
1,143
1,141
1,143
1,143
1,141
1,139
1,135
1,143
1,143
1,135
1,127
1,139
1,142
1,127
1,135
1,134
1,127
1,143
1,127
1,139
1,127
1,127
1,135
1,127
1,135
1,127
1,127
1,136
1,126
1,127
1,135
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,146
1,118
1,118
1,126
1,127
1,127
1,127
1,127
1,127
1,127
1,126
1,127
1,127
1,127
1,127
1,127
1,140
1,111
1,127
1,127
1,127
1,127
1,123
1,126
1,125
1,127
1,127
1,127
1,127
1,127
1,126
1,126
1,127
1,126
1,119
1,127
1,127
1,126
1,127
1,127
1,126
1,126
1,120
1,118
1,125
1,118
1,119
1,127
1,127
1,122
1,115
1,119
1,127
1,125
1,123
1,124
1,118
1,118
1,118
1,126
1,119
1,119
1,126
1,126
1,127
1,119
1,127
1,127
1,126
1,122
1,118
1,119
1,127
1,123
1,122
1,119
1,120
1,115
1,115
1,123
1,119
1,120
1,116
1,110
1,127
1,120
1,118
1,119
1,122
1,119
1,120
1,118
1,111
1,122
1,120
1,116
1,112
1,112
1,111
1,120
1,115
1,115
1,119
1,119
1,124
1,118
1,119
1,119
1,119
1,126
1,119
1,115
1,119
1,126
1,120
1,111
1,119
1,120
1,112
1,111
1,119
1,119
1,122
1,119
1,119
1,119
1,119
1,121
1,119
1,124
1,115
1,115
1,120
1,116
1,115
1,119
1,119
1,126
1,119
1,120
1,114
1,111
1,121
1,119
1,122
1,113
1,111
1,126
1,111
1,122
1,118
1,112
1,114
1,114
1,113
1,111
1,119
1,122
1,115
1,118
1,115
1,119
1,126
1,119
1,119
1,119
1,118
1,135
1,117
1,119
1,119
1,116
1,115
1,112
1,106
1,120
1,114
1,114
1,111
1,122
1,113
1,111
1,123
1,122
1,111
1,122
1,115
1,119
1,119
1,119
1,122
1,117
1,119
1,119
1,120
1,118
1,118
1,119
1,119
1,119
1,120
1,111
1,115
1,118
1,114
1,113
1,112
1,114
1,111
1,120
1,114
1,112
1,114
1,111
1,118
1,120
1,111
1,111
1,121
1,117
1,119
1,119
1,119
1,122
1,119
1,120
1,112
1,111
1,124
1,111
1,119
1,119
1,119
1,119
1,119
1,120
1,111
1,119
1,120
1,111
1,124
1,119
1,120
1,115
1,118
1,118
1,115
1,119
1,122
1,113
1,114
1,111
1,120
1,111
1,119
1,119
1,120
1,116
1,119
1,119
1,119
1,119
1,126
1,126
1,119
1,117
1,111
1,119
1,123
1,119
1,119
1,119
1,119
1,119
1,119
1,116
1,111
1,119
1,126
1,119
1,116
1,115
1,116
1,113
1,115
1,114
1,119
1,119
1,127
1,119
1,119
1,119
1,119
1,126
1,119
1,124
1,119
1,118
1,119
1,120
1,117
1,118
1,115
1,119
1,119
1,119
1,124
1,119
1,119
1,119
1,118
1,119
1,111
1,119
1,119
1,119
1,126
1,119
1,119
1,120
1,120
1,111
1,119
1,119
1,122
1,112
1,112
1,111
1,119
1,119
1,119
1,121
1,115
1,118
1,115
1,120
1,117
1,119
1,120
1,119
1,114
1,115
1,112
1,111
1,119
1,119
1,127
1,122
1,115
1,118
1,111
1,124
1,115
1,118
1,119
1,124
1,120
1,114
1,114
1,111
1,118
1,120
1,114
1,111
1,125
1,119
1,126
1,119
1,119
1,120
1,114
1,112
1,111
1,124
1,119
1,119
1,119
1,121
1,115
1,120
1,111
1,120
1,114
1,112
1,116
1,111
1,122
1,127
1,122
1,116
1,112
1,111
1,120
1,116
1,119
1,123
1,120
1,111
1,119
1,122
1,116
1,118
1,119
1,119
1,119
1,118
1,117
1,117
1,116
1,115
1,115
1,114
1,111
1,119
1,119
1,117
1,119
1,124
1,111
1,124
1,118
1,111
1,124
1,113
1,114
1,112
1,111
1,122
1,113
1,112
1,111
1,119
1,126
1,118
1,119
1,120
1,114
1,119
1,120
1,116
1,112
1,109
1,126
1,114
1,118
1,117
1,119
1,119
1,119
1,120
1,112
1,111
1,120
1,112
1,114
1,111
1,115
1,119
1,117
1,120
1,112
1,111
1,126
1,118
1,114
1,112
1,107
1,122
1,114
1,115
1,108
1,112
1,114
1,114
1,111
1,123
1,118
1,119
1,119
1,114
1,114
1,111
2,508
2,483
2,460
2,442
2,424
2,399
2,393
2,374
2,366
2,344
2,319
2,311
2,291
2,286
2,268
2,248
2,232
2,218
2,203
2,192
2,175
2,168
2,151
2,143
2,127
2,127
2,118
2,102
2,94
2,87
2,79
2,71
2,63
2,58
2,47
2,44
2,31
2,28
2,16
2,511
2,15
2,510
2,511
2,510
2,502
2,489
2,487
2,478
2,471
2,456
2,447
2,455
2,439
2,439
2,431
2,423
2,420
2,403
2,404
2,397
2,391
2,390
2,380
2,383
2,377
2,367
2,366
2,359
2,359
2,351
2,351
2,346
2,330
2,327
2,327
2,319
2,319
2,319
2,319
2,312
2,295
2,303
2,295
2,298
2,287
2,287
2,287
2,275
2,272
2,264
2,257
2,255
2,263
2,255
2,255
2,255
2,255
2,255
2,255
2,254
2,246
2,246
2,244
2,234
2,234
2,231
2,238
2,226
2,223
2,226
2,215
2,223
2,223
2,218
2,215
2,215
2,214
2,207
2,206
2,207
2,202
