# 20230831
# M2
# 10 kOhms resistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# 2.1 uF capacitor
# Four-probe measurement gives 9.96 kOhms

Iteration,ADC output [LSB]
1,814
1,559
1,399
1,296
1,223
1,191
1,159
1,143
1,127
1,127
1,127
1,126
1,118
1,111
1,119
1,118
1,111
1,111
1,116
1,112
1,103
1,111
1,114
1,106
1,103
1,111
1,111
1,112
1,103
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,112
1,103
1,103
1,111
1,111
1,111
1,114
1,103
1,110
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,114
1,108
1,104
1,110
1,111
1,111
1,112
1,104
1,106
1,104
1,106
1,110
1,111
1,113
1,110
1,111
1,114
1,106
1,107
1,112
1,103
1,112
1,104
1,104
1,102
1,111
1,111
1,111
1,111
1,111
1,111
1,112
1,104
1,103
1,111
1,107
1,111
1,114
1,103
1,111
1,112
1,103
1,111
1,111
1,111
1,111
1,111
1,110
1,106
1,106
1,110
1,106
1,104
1,103
1,112
1,103
1,107
1,111
1,114
1,103
1,111
1,112
1,103
1,111
1,116
1,111
1,112
1,103
1,111
1,111
1,118
1,111
1,111
1,111
1,111
1,112
1,104
1,103
1,111
1,113
1,110
1,111
1,111
1,111
1,111
1,114
1,106
1,104
1,104
1,103
1,111
1,111
1,115
1,111
1,112
1,104
1,105
1,110
1,111
1,118
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,114
1,109
1,111
1,112
1,103
1,111
1,111
1,116
1,110
1,111
1,111
1,111
1,113
1,103
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,112
1,103
1,111
1,111
1,107
1,111
1,113
1,111
1,111
1,111
1,118
1,111
1,126
1,111
1,111
1,116
1,103
1,112
1,106
1,111
1,111
1,111
1,111
1,111
1,111
1,112
1,103
1,111
1,119
1,111
1,111
1,111
1,116
1,103
1,111
1,114
1,106
1,106
2,744
2,511
2,378
2,272
2,208
2,175
2,159
2,143
2,127
2,127
2,127
2,120
2,111
2,115
2,111
2,119
2,112
2,106
2,127
2,112
2,103
2,111
2,114
2,111
2,111
2,112
2,108
2,104
2,103
2,111
2,115
2,111
2,111
2,111
2,115
2,110
2,112
2,106
2,107
2,111
2,111
2,112
2,104
2,103
2,111
2,111
2,111
2,114
2,106
2,106
2,111
2,111
2,111
2,111
2,111
2,111
2,116
2,127
2,119
2,111
2,116
2,106
2,111
2,114
2,104
2,104
2,108
2,103
2,111
2,111
2,111
2,111
2,112
2,103
2,111
2,116
2,111
2,113
2,110
2,111
2,111
2,113
2,108
2,109
2,111
2,111
2,111
2,127
2,116
2,103
2,110
2,111
2,111
2,112
2,103
2,111
2,107
2,110
2,111
2,119
2,111
2,112
2,103
2,110
2,111
2,112
2,110
2,110
2,111
2,116
2,108
2,108
