# 20230822
# M2
# 20 MOhms resistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# 50 nF capacitor
# Four-probe measurement gives 21.16 MOhms

Iteration,ADC output [LSB]
1,506
1,495
1,486
1,476
1,468
1,454
1,447
1,446
1,438
1,422
1,414
1,412
1,392
1,388
1,376
1,371
1,370
1,355
1,350
1,344
1,331
1,328
1,318
1,318
1,306
1,296
1,288
1,276
1,272
1,262
1,255
1,255
1,250
1,242
1,228
1,222
1,223
1,211
1,206
1,199
1,190
1,187
1,180
1,170
1,162
1,160
1,151
1,150
1,143
1,140
1,131
1,127
1,126
1,122
1,116
1,103
1,106
1,100
1,94
1,94
1,86
1,86
1,79
1,79
1,71
1,63
1,68
1,56
1,56
1,54
1,48
1,41
1,44
1,39
1,38
1,30
1,31
1,26
1,15
1,19
1,8
1,511
1,18
1,511
1,15
1,511
1,511
1,511
1,511
1,511
1,508
1,504
1,494
1,494
1,494
1,486
1,486
1,479
1,478
1,475
1,470
1,464
1,451
1,454
1,454
1,447
1,455
1,446
1,441
1,442
1,431
1,435
1,427
1,428
1,423
1,418
1,416
1,407
1,414
1,415
1,410
1,401
1,398
1,398
1,399
1,394
1,388
1,383
1,383
1,396
1,379
1,383
1,383
1,378
1,375
1,374
1,367
1,368
1,353
1,355
1,356
1,352
1,346
1,349
1,354
1,342
1,342
1,343
1,343
1,343
1,335
1,335
1,335
1,327
1,327
1,319
1,323
1,319
1,320
1,311
1,317
1,319
1,319
1,319
1,319
1,312
1,304
1,303
1,303
1,306
1,298
1,295
1,302
1,291
1,289
1,287
1,294
1,287
1,287
1,287
1,287
1,287
1,287
1,278
1,271
1,271
1,271
1,271
1,263
1,271
1,270
1,255
1,269
1,255
1,263
1,255
1,255
1,270
1,255
1,255
1,255
1,255
1,255
1,255
1,255
1,254
1,254
1,255
1,255
1,255
1,254
1,247
1,248
1,238
1,240
1,236
1,236
1,239
1,237
1,234
1,236
1,230
1,231
1,227
1,228
1,224
1,208
1,223
1,227
1,223
1,231
1,223
1,230
1,221
1,219
1,222
1,220
1,222
1,215
1,213
1,218
1,209
1,213
1,208
1,205
1,214
1,207
1,211
1,204
1,200
1,202
1,201
1,201
1,199
1,203
1,207
1,201
1,195
1,192
1,191
1,206
1,191
1,203
1,191
1,196
1,191
1,191
1,198
1,191
1,191
1,199
1,191
1,191
1,191
1,191
1,191
1,191
1,191
1,191
1,191
1,191
1,191
1,187
1,190
1,183
1,184
1,176
1,174
1,183
1,186
1,175
1,183
1,182
1,176
