# 20231010
# M2
# 220 kOhms resistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# Four-probe measurement gives 221.31 kOhms
# 1.85 uF @ 0 V, 1.894 uF @ 1.5 V, 1.890 uF @ 2 V (measured at 10 kHz, 10 mV)
# 3.32 uF @ 0 V, 3.455 uF @ 1.5 V, 3.252 uF @ 2 V (measured at 10 kHz, 10 mV)

Resistance [MOhms],Capacitance [uF],Number of ADC samples,Three tau index,Time constant,Time constant scaling factor
0.22131,1.85,388,139,8001,16384
0.22131,1.85,564,142,8043,16384
0.22131,1.85,572,141,8059,16384
0.22131,1.85,583,142,8037,16384
0.22131,1.85,460,141,7999,16384
0.22131,1.85,550,144,8039,16384
0.22131,1.85,679,141,8021,16384
0.22131,1.85,522,139,8047,16384
0.22131,1.85,551,143,8032,16384
0.22131,1.85,505,141,8012,16384
0.22131,1.85,514,141,8027,16384
0.22131,1.85,649,145,8023,16384
0.22131,1.85,546,142,8072,16384
0.22131,1.85,533,143,8037,16384
0.22131,1.85,567,143,8058,16384
0.22131,1.85,410,141,8029,16384
0.22131,1.85,526,142,8035,16384
0.22131,1.85,597,134,8005,16384
0.22131,1.85,549,142,8046,16384
0.22131,1.85,516,145,8052,16384
0.22131,1.85,504,146,8062,16384
0.22131,1.85,414,149,8055,16384
0.22131,1.85,438,140,8024,16384
0.22131,1.85,465,140,8055,16384
0.22131,1.85,462,141,8039,16384
0.22131,1.85,547,142,8094,16384
0.22131,1.85,487,148,8050,16384
0.22131,1.85,520,142,8021,16384
0.22131,1.85,599,138,8046,16384
0.22131,1.85,498,147,8091,16384
0.22131,1.85,508,149,8074,16384

0.22131,1.85,587,143,8069,16384
0.22131,1.85,547,145,8060,16384
0.22131,1.85,533,142,8043,16384
0.22131,1.85,458,142,8083,16384
0.22131,1.85,582,143,8050,16384
0.22131,1.85,629,142,8037,16384
0.22131,1.85,476,148,8040,16384
0.22131,1.85,458,140,8075,16384
0.22131,1.85,448,141,8048,16384
0.22131,1.85,439,150,8060,16384
0.22131,1.85,596,139,8057,16384
0.22131,1.85,556,146,8043,16384

0.22131,3.32,1091,351,19372,16384
0.22131,3.32,576,331,18567,16384
0.22131,3.32,908,346,19283,16384
0.22131,3.32,897,345,19281,16384
0.22131,3.32,579,326,18485,16384
0.22131,3.32,587,326,18543,16384
0.22131,3.32,849,344,19181,16384
0.22131,3.32,1095,353,19346,16384
0.22131,3.32,996,342,19269,16384
0.22131,3.32,1105,349,19392,16384
0.22131,3.32,896,339,19163,16384
0.22131,3.32,1153,347,19366,16384
0.22131,3.32,563,320,18437,16384
0.22131,3.32,901,351,19299,16384
0.22131,3.32,913,352,19276,16384
0.22131,3.32,1018,359,19330,16384
0.22131,3.32,568,330,18457,16384
0.22131,3.32,1147,355,19372,16384
0.22131,3.32,771,336,19030,16384
0.22131,3.32,1046,357,19307,16384
0.22131,3.32,1351,341,19342,16384
0.22131,3.32,998,353,19352,16384
0.22131,3.32,779,338,19146,16384
0.22131,3.32,1003,350,19318,16384
0.22131,3.32,1003,351,19311,16384
0.22131,3.32,891,362,19288,16384
0.22131,3.32,961,346,19190,16384
0.22131,3.32,1005,352,19229,16384
0.22131,3.32,1010,344,19228,16384
0.22131,3.32,1063,349,19296,16384
0.22131,3.32,781,321,19020,16384

0.22131,3.32,902,364,20089,16384
0.22131,3.32,1069,365,20149,16384
0.22131,3.32,1088,373,20160,16384
0.22131,3.32,1214,371,20237,16384
0.22131,3.32,814,346,19773,16384
0.22131,3.32,1054,372,20106,16384
0.22131,3.32,1114,363,20022,16384
0.22131,3.32,977,358,19948,16384
0.22131,3.32,943,361,19932,16384
0.22131,3.32,586,331,19028,16384
0.22131,3.32,799,346,19751,16384
0.22131,3.32,758,347,19761,16384

0.22131,5.17,1270,507,28187,16384
0.22131,5.17,751,469,26816,16384
0.22131,5.17,1182,495,27877,16384
0.22131,5.17,1266,503,28109,16384
0.22131,5.17,1024,490,27758,16384
0.22131,5.17,757,464,26843,16384
0.22131,5.17,1208,501,27977,16384
0.22131,5.17,1076,485,27830,16384
0.22131,5.17,1249,506,28043,16384
0.22131,5.17,1093,494,27837,16384
0.22131,5.17,1092,486,27649,16384
0.22131,5.17,1260,509,27885,16384
