# 20230817
# M2
# 2.2 MOhms resistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# 50 nF capacitor
# Four-probe measurement gives 2.19 MOhms

Iteration,ADC output [LSB]
1,511
1,438
1,356
1,286
1,224
1,160
1,111
1,75
1,36
1,511
1,497
1,468
1,430
1,407
1,383
1,359
1,342
1,319
1,310
1,287
1,274
1,255
1,255
1,242
1,229
1,214
1,207
1,202
1,190
1,191
1,190
1,181
1,171
1,166
1,161
1,151
1,156
1,145
1,143
1,143
1,142
1,141
1,127
1,143
1,135
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,126
1,124
1,127
1,126
1,127
1,127
1,127
1,127
1,120
1,120
1,115
1,118
1,120
1,111
1,120
1,118
1,118
1,117
1,114
1,112
1,111
1,115
1,119
1,119
1,119
1,120
1,111
1,120
1,111
1,118
1,114
1,103
1,119
1,111
1,118
1,115
1,112
1,110
1,112
1,111
1,122
1,111
1,115
1,111
1,119
1,119
1,111
1,119
1,118
1,114
1,111
1,111
1,119
1,114
1,111
1,118
1,111
1,119
1,116
1,111
1,119
1,111
1,115
1,114
1,107
1,118
1,111
1,114
1,103
1,112
1,110
1,111
1,111
1,118
1,111
1,118
1,110
1,111
1,118
1,111
1,119
1,111
1,111
1,118
1,111
1,115
1,111
1,111
1,118
1,111
1,116
1,107
1,112
1,103
1,111
1,119
1,115
1,111
1,111
1,120
1,111
1,119
1,114
1,111
1,114
1,110
1,110
1,111
1,119
1,111
1,115
1,111
1,114
1,112
1,106
1,111
1,111
1,112
1,107
1,111
1,120
1,110
1,111
1,119
1,112
1,111
1,118
1,111
1,119
1,111
1,111
1,127
1,111
1,118
1,111
1,111
1,119
1,113
1,111
1,111
1,119
1,118
1,111
1,119
1,113
1,111
1,115
1,109
1,114
1,106
1,111
1,119
1,112
1,103
1,111
1,119
1,114
1,111
1,113
1,108
1,111
1,117
1,109
1,114
1,110
1,111
1,120
1,107
1,111
1,115
1,111
1,115
1,111
1,119
1,112
1,110
1,126
1,111
1,118
1,111
1,111
1,119
1,116
1,111
1,112
1,103
1,115
1,111
1,120
1,110
1,111
1,119
1,118
1,111
1,111
1,111
1,122
1,111
1,111
1,111
1,111
1,119
1,114
1,111
1,112
1,108
1,111
1,111
1,116
1,111
1,111
1,114
1,103
1,111
1,111
1,111
1,115
1,111
1,111
1,116
1,111
1,119
1,118
1,111
1,113
1,108
1,112
1,103
1,111
1,119
1,111
1,114
1,111
1,112
1,106
1,103
1,115
1,110
1,111
1,118
1,111
1,119
1,111
1,111
1,119
1,111
1,118
1,111
1,111
2,511
2,447
2,374
2,302
2,230
2,172
2,120
2,71
2,42
2,511
2,504
2,459
2,431
2,414
2,382
2,366
2,336
2,311
2,306
2,283
2,271
2,255
2,255
2,244
2,223
2,222
2,208
2,191
2,191
2,191
2,186
2,184
2,164
2,159
2,163
2,154
2,151
2,143
2,147
2,139
2,143
2,143
2,127
2,139
2,127
2,127
2,127
2,127
2,135
2,124
2,127
2,127
2,127
2,127
2,127
2,126
2,127
2,123
2,124
2,119
2,119
2,120
2,112
2,112
2,112
2,110
2,119
2,112
2,111
2,116
2,111
2,122
2,114
2,112
2,110
2,111
2,117
2,111
2,119
2,116
2,110
2,119
2,111
2,111
2,118
2,111
2,119
2,112
2,111
2,115
2,112
2,111
2,111
2,118
2,112
2,103
2,111
2,127
2,118
2,111
2,111
2,119
2,112
2,111
2,118
2,111
2,114
2,111
2,115
2,111
2,114
2,112
2,110
2,114
2,111
2,114
2,111
2,118
2,111
2,114
2,106
2,112
2,103
2,111
2,119
2,111
2,117
2,111
2,114
2,111
2,111
2,111
2,114
2,110
2,111
2,111
2,113
2,111
2,111
2,119
2,111
2,119
2,113
2,108
2,107
2,111
2,119
2,112
2,104
2,111
2,111
2,111
2,112
2,103
2,111
2,116
2,111
2,111
2,111
2,119
2,111
2,111
2,111
2,111
2,119
2,111
2,118
2,112
2,109
2,115
2,111
2,114
2,111
2,111
2,118
2,111
2,116
2,111
2,113
2,111
2,111
2,118
2,111
2,107
2,114
2,110
2,112
2,107
2,111
2,119
2,114
2,110
2,111
2,118
2,111
2,111
2,111
2,118
2,111
2,111
2,115
2,111
2,118
2,110
2,112
2,110
2,111
2,120
2,110
2,112
2,105
2,107
2,112
2,110
2,116
2,109
2,111
2,118
2,111
2,116
2,111
2,111
2,120
2,103
2,112
2,109
2,112
2,110
2,107
2,111
2,114
2,106
2,111
2,111
2,111
2,115
2,111
2,119
2,116
2,111
2,112
2,106
2,111
2,113
2,111
2,114
2,107
2,119
2,112
2,104
2,108
2,106
2,111
2,115
2,111
2,116
2,109
2,111
2,111
2,117
2,112
2,110
2,115
2,110
2,111
2,120
2,109
2,112
2,104
2,105
2,111
2,111
2,119
2,111
2,112
2,111
2,111
2,118
2,112
2,104
2,106
2,111
2,117
2,111
2,111
2,117
3,511
3,456
3,372
3,300
3,232
3,175
3,123
3,83
3,46
3,511
3,511
3,474
3,438
3,412
3,383
3,367
3,343
3,326
3,303
3,290
3,270
3,255
3,255
3,247
3,230
3,222
3,208
3,191
3,199
3,187
3,184
3,174
3,167
3,167
3,159
3,159
3,153
3,148
3,143
3,142
3,143
3,137
3,128
3,127
3,127
3,135
3,127
3,127
3,127
3,127
3,127
3,127
3,127
3,127
3,126
3,127
3,127
3,127
3,127
3,124
3,124
3,117
3,114
3,118
3,119
3,126
3,119
3,114
3,116
3,111
3,119
3,113
3,112
3,114
3,112
3,103
3,111
3,114
3,112
3,107
3,118
3,116
3,110
3,115
3,111
3,114
3,111
3,118
3,111
3,118
3,111
3,118
3,111
3,119
3,111
3,118
3,112
3,110
3,119
3,118
3,114
3,111
3,114
3,111
3,114
3,103
3,111
3,111
3,119
3,115
3,111
3,118
3,111
3,122
3,111
3,111
3,115
3,110
3,116
3,110
3,114
3,112
3,103
3,115
3,111
3,111
3,120
3,110
3,111
3,111
3,113
3,111
3,115
3,111
3,116
3,111
3,119
3,114
3,111
3,111
3,116
3,112
3,108
3,113
3,111
3,111
3,120
3,111
3,119
3,111
3,114
3,111
3,111
3,118
3,111
3,111
3,119
3,111
3,111
3,111
3,114
3,110
3,111
3,111
3,118
3,111
3,120
3,103
3,112
3,104
3,106
3,108
3,111
3,111
3,118
3,111
3,126
3,115
3,111
3,111
3,111
3,119
3,111
3,118
3,111
3,111
3,120
3,106
3,106
3,110
3,111
3,119
3,111
3,111
3,111
3,111
3,118
3,111
3,111
3,111
3,119
3,118
3,111
3,111
3,119
3,111
3,111
3,111
3,112
3,110
3,110
3,111
3,114
3,111
3,118
3,111
3,118
3,111
3,114
3,107
3,110
3,111
3,114
3,103
3,118
3,111
3,111
3,115
3,111
3,111
3,111
3,118
3,112
3,103
3,111
3,114
3,111
3,116
3,107
3,118
3,111
3,111
3,116
3,110
3,112
3,104
3,103
3,115
3,111
3,119
3,114
3,108
3,111
3,114
3,111
3,116
3,111
3,111
3,111
3,111
3,114
3,104
3,111
3,111
3,118
3,107
3,113
3,111
3,111
3,118
3,112
3,104
3,104
3,108
3,110
3,113
3,111
3,111
3,116
3,111
3,115
3,110
3,111
3,114
3,111
3,111
3,111
3,111
3,111
3,116
3,103
3,114
3,111
3,111
3,114
3,110
3,111
3,120
3,106
3,105
3,107
3,111
3,119
3,111
3,112
3,106
3,108
3,111
3,112
3,110
3,111
3,112
3,111
3,114
3,108
3,110
3,111
3,119
3,111
3,111
3,116
3,107
3,111
3,111
3,111
3,115
3,111
3,118
3,111
3,115
3,111
3,113
3,111
3,111
3,111
3,112
3,105
3,112
3,104
3,103
3,111
3,111
3,119
3,111
3,111
3,118
3,111
3,114
3,105
3,110
3,111
3,112
3,108
3,107
3,111
3,120
3,110
3,118
3,111
3,114
3,112
3,103
3,114
3,103
3,112
3,110
3,111
3,111
3,116
3,105
3,116
3,111
3,111
4,511
4,430
4,352
4,270
4,208
4,154
4,107
4,71
4,32
4,510
4,487
4,456
4,423
4,399
4,380
4,355
4,327
4,314
4,293
4,279
4,269
4,255
4,254
4,236
4,223
4,221
4,223
4,203
4,191
4,191
4,183
4,175
4,176
4,158
4,159
4,159
4,152
4,147
4,143
4,143
4,143
4,135
4,131
4,127
4,127
4,127
4,127
4,127
4,127
4,127
4,127
4,127
4,127
4,127
4,126
4,127
4,123
4,124
4,119
4,120
4,115
4,118
4,119
4,121
4,111
4,122
4,112
4,111
4,119
4,120
4,113
4,111
4,124
4,111
4,115
4,118
4,111
4,119
4,112
4,106
4,111
4,116
4,111
4,119
4,118
4,115
4,111
4,120
4,112
4,110
4,112
4,108
4,107
4,114
4,111
4,120
4,111
4,119
4,119
4,117
4,114
4,111
4,115
4,111
4,111
4,119
4,111
4,112
4,105
4,111
4,115
4,111
4,114
4,111
4,111
4,120
4,112
4,110
4,112
4,110
4,111
4,115
4,112
4,110
4,111
4,115
4,112
4,108
4,111
4,116
4,111
4,111
4,115
4,111
4,114
4,111
4,111
4,112
4,109
4,111
4,119
4,111
4,116
4,111
4,115
4,111
4,118
4,111
4,119
4,111
4,116
4,111
4,114
4,111
4,115
4,111
4,119
4,111
4,119
4,111
4,119
4,115
4,111
4,119
4,111
4,112
4,110
4,111
4,119
4,111
4,112
4,109
4,110
4,111
4,111
4,115
4,111
4,119
4,111
4,111
4,111
4,120
4,108
4,114
4,110
4,111
4,118
4,111
4,115
4,111
4,114
4,111
4,115
4,116
4,107
4,111
4,120
4,107
4,111
4,112
4,107
4,111
4,111
4,119
4,111
4,115
4,111
4,111
4,111
4,113
4,111
4,120
4,111
4,119
4,111
4,111
4,112
4,103
4,111
4,112
4,106
4,114
4,109
4,114
4,111
4,112
4,111
4,111
4,116
4,111
4,119
4,115
4,111
4,116
4,112
4,103
4,116
4,106
4,111
4,117
4,111
4,120
4,110
4,111
4,118
4,111
4,119
4,116
4,110
4,111
4,111
4,118
4,111
4,111
4,111
4,112
4,111
4,111
4,111
4,116
4,110
4,116
4,109
4,113
4,118
4,111
4,119
4,111
4,111
4,111
4,115
4,111
4,111
4,116
4,112
4,99
4,111
4,116
4,111
4,118
4,111
4,119
4,114
4,107
4,115
4,111
4,116
4,104
4,103
4,111
4,112
4,106
4,110
4,111
4,119
4,111
4,118
4,106
4,107
4,111
4,111
4,114
4,111
4,114
4,111
4,112
4,111
4,119
4,111
4,119
4,111
4,111
4,113
4,109
4,118
4,111
4,112
4,111
4,111
4,119
4,111
4,111
4,116
4,107
4,111
4,118
4,110
4,114
5,511
5,478
5,395
5,328
5,250
5,191
5,138
5,91
5,58
5,20
5,502
5,480
5,439
5,420
5,383
5,376
5,344
5,319
5,315
5,294
5,279
5,255
5,255
5,246
5,231
5,226
5,208
5,199
5,197
5,187
5,190
5,175
5,175
5,173
5,160
5,155
5,152
5,143
5,151
5,143
5,143
5,136
5,127
5,143
5,135
5,127
5,127
5,135
5,127
5,127
5,127
5,127
5,127
5,127
5,127
5,127
5,127
5,126
5,127
5,124
5,119
5,122
5,112
5,112
5,112
5,111
5,119
5,120
5,111
5,119
5,119
5,119
5,120
5,114
5,111
5,118
5,118
5,112
5,114
5,112
5,103
5,119
5,114
5,111
5,111
5,118
5,116
5,107
5,117
5,111
5,114
5,111
5,116
5,115
5,111
5,118
5,115
5,111
5,120
5,111
5,119
5,119
5,114
5,111
5,118
5,111
5,119
5,118
5,115
5,111
5,112
5,111
5,112
5,107
5,111
5,111
5,119
5,111
5,111
5,112
5,110
5,115
5,111
5,116
5,111
5,111
5,119
5,111
5,120
5,107
5,111
5,111
5,111
5,114
5,111
5,112
5,108
5,111
5,117
5,111
5,115
5,111
5,111
5,111
5,119
5,116
5,111
5,119
5,112
5,109
5,111
5,119
5,111
5,114
5,111
5,111
5,127
5,119
5,119
5,112
5,108
5,111
5,114
5,111
5,115
5,111
5,119
5,116
5,111
5,119
5,112
5,107
5,111
5,113
5,112
5,110
5,115
5,110
5,111
5,119
5,112
5,107
5,111
5,112
5,111
5,116
5,111
5,116
5,110
5,118
5,110
5,115
5,112
5,106
5,111
5,111
5,119
5,119
5,111
5,115
5,111
5,118
5,111
5,111
5,119
5,111
5,111
5,119
5,111
5,117
5,110
5,111
5,111
5,111
5,116
5,111
5,113
5,111
5,114
5,114
5,103
5,112
5,106
5,111
5,120
5,106
5,111
5,120
5,107
5,111
5,111
5,112
5,106
5,104
5,112
5,104
5,103
5,111
5,112
5,108
5,103
5,111
5,118
5,111
5,119
5,111
5,111
5,119
5,110
5,111
6,511
6,492
6,414
6,335
6,266
6,193
