# 20230831
# M2
# 1 MOhms resistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# 2.1 uF capacitor
# Four-probe measurement gives 0.995 MOhms

Iteration,ADC output [LSB]
1,1018
1,1019
1,1012
1,1004
1,994
1,983
1,998
1,988
1,980
1,972
1,971
1,970
1,964
1,952
1,959
1,959
1,956
1,942
1,938
1,942
1,934
1,927
1,926
1,928
1,914
1,918
1,901
1,907
1,899
1,894
1,895
1,900
1,882
1,882
1,878
1,871
1,882
1,866
1,864
1,854
1,862
1,860
1,848
1,840
1,840
1,832
1,827
1,831
1,832
1,821
1,821
1,824
1,810
1,809
1,808
1,804
1,807
1,806
1,794
1,783
1,791
1,782
1,779
1,776
1,762
1,767
1,774
1,764
1,760
1,749
1,747
1,758
1,750
1,744
1,732
1,727
1,730
1,728
1,720
1,710
1,716
1,710
1,714
1,702
1,710
1,703
1,703
1,695
1,688
1,682
1,684
1,679
1,678
1,672
1,670
1,672
1,663
1,663
1,666
1,657
1,654
1,654
1,654
1,650
1,643
1,639
1,646
1,631
1,639
1,638
1,631
1,629
1,632
1,623
1,623
1,617
1,622
1,615
1,613
1,607
1,608
1,599
1,605
1,605
1,602
1,598
1,592
1,590
1,587
1,587
1,585
1,575
1,583
1,575
1,584
1,574
1,575
1,575
1,575
1,575
1,568
1,559
1,570
1,562
1,559
1,559
1,556
1,552
1,553
1,545
1,544
1,539
1,559
1,550
1,541
1,535
1,527
1,533
1,530
1,530
1,530
1,526
1,511
1,535
1,523
1,519
1,520
1,511
1,527
1,511
1,511
1,534
1,511
1,511
1,511
1,511
1,511
1,511
1,511
1,511
1,511
1,511
1,511
1,511
1,498
1,503
1,503
1,503
1,502
1,498
1,495
1,496
1,488
1,492
1,483
1,485
1,469
1,479
1,478
1,479
1,478
1,480
1,468
1,466
1,458
1,466
1,456
1,462
1,466
1,455
1,458
1,462
1,463
1,455
1,455
1,450
1,447
1,451
1,447
1,447
1,453
1,441
1,441
1,444
1,431
1,431
1,432
1,424
1,430
1,439
1,423
1,423
1,431
1,434
1,422
1,423
1,418
1,406
1,421
1,419
1,415
1,421
1,416
1,407
1,407
1,407
1,405
1,410
1,399
1,407
1,408
1,399
1,401
1,391
1,395
1,399
1,396
1,391
1,395
1,391
1,391
1,393
1,378
1,381
1,387
1,380
1,382
1,383
1,383
1,383
1,383
1,383
1,379
1,380
1,378
1,376
1,368
1,362
1,368
1,367
1,367
1,370
1,359
1,367
1,368
1,359
1,359
1,363
1,359
1,359
1,358
1,352
1,350
1,354
1,352
1,352
1,343
1,350
1,346
1,347
1,343
1,347
1,350
1,343
1,342
1,336
1,328
1,327
1,334
1,335
1,338
1,327
1,334
1,327
1,333
1,323
1,327
1,330
1,324
1,319
1,328
1,320
1,319
1,325
1,319
1,319
1,319
1,327
1,315
1,316
1,318
1,318
1,319
1,319
1,319
1,319
1,327
1,314
1,310
1,303
1,316
1,312
1,302
1,310
1,303
1,319
1,311
1,311
1,301
1,299
1,301
1,299
1,298
1,291
1,295
1,295
1,291
1,295
1,295
1,294
1,287
1,295
1,288
1,279
1,287
1,287
1,295
1,283
1,285
1,286
1,282
1,279
1,279
1,287
1,279
1,279
1,278
1,279
1,271
