# 20231011
# M2
# 47 kOhms resistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# Four-probe measurement gives 47.00 kOhms
# 1.85 uF @ 0 V, 1.894 uF @ 1.5 V, 1.890 uF @ 2 V (measured at 10 kHz, 10 mV)
# 3.32 uF @ 0 V, 3.455 uF @ 1.5 V, 3.252 uF @ 2 V (measured at 10 kHz, 10 mV)

Resistance [MOhms], Capacitance [uF],Number of ADC samples,Three tau index,Time constant,Time constant scaling factor
0.047,2.01,460,32,1712,16384
0.047,2.01,226,32,1698,16384
0.047,2.01,302,31,1723,16384
0.047,2.01,293,31,1712,16384
0.047,2.01,222,32,1715,16384
0.047,2.01,435,30,1698,16384
0.047,2.01,215,32,1715,16384
0.047,2.01,332,32,1713,16384
0.047,2.01,575,32,1714,16384
0.047,2.01,309,31,1690,16384
0.047,2.01,298,30,1696,16384
0.047,2.01,221,32,1706,16384
0.047,2.01,220,32,1708,16384
0.047,2.01,359,31,1701,16384
0.047,2.01,344,32,1708,16384
0.047,2.01,344,32,1711,16384
0.047,2.01,239,32,1715,16384
0.047,2.01,296,32,1718,16384
0.047,2.01,225,33,1700,16384
0.047,2.01,355,32,1713,16384
0.047,2.01,490,32,1701,16384
0.047,2.01,370,33,1715,16384
0.047,2.01,210,32,1718,16384
0.047,2.01,515,33,1702,16384
0.047,2.01,310,30,1710,16384
0.047,2.01,214,32,1705,16384
0.047,2.01,358,32,1704,16384
0.047,2.01,347,32,1699,16384
0.047,2.01,260,31,1705,16384
0.047,2.01,233,32,1705,16384
0.047,2.01,225,32,1703,16384
0.047,2.01,300,32,1719,16384
0.047,2.01,215,32,1705,16384
0.047,2.01,443,32,1698,16384

0.047,4.02,376,75,3946,16384
0.047,4.02,409,74,3973,16384
0.047,4.02,414,76,4028,16384
0.047,4.02,459,75,3980,16384
0.047,4.02,378,76,4000,16384
0.047,4.02,323,71,4009,16384
0.047,4.02,331,77,4005,16384
0.047,4.02,431,74,4020,16384
0.047,4.02,534,73,4022,16384
0.047,4.02,415,73,3979,16384
0.047,4.02,370,77,4040,16384
0.047,4.02,401,78,4048,16384
0.047,4.02,431,73,4008,16384
0.047,4.02,314,75,4024,16384
0.047,4.02,385,76,4023,16384
0.047,4.02,412,71,4003,16384
0.047,4.02,314,72,3980,16384
0.047,4.02,355,72,4010,16384
0.047,4.02,420,74,3990,16384
0.047,4.02,561,76,4050,16384
0.047,4.02,344,76,4021,16384
0.047,4.02,415,72,4022,16384
0.047,4.02,352,77,3986,16384
0.047,4.02,366,76,4010,16384
0.047,4.02,324,74,4019,16384
0.047,4.02,417,76,4023,16384
0.047,4.02,472,75,4020,16384
0.047,4.02,364,73,4017,16384
0.047,4.02,434,75,4042,16384
0.047,4.02,390,77,4015,16384
0.047,4.02,385,71,3991,16384
0.047,4.02,328,72,3999,16384
0.047,4.02,329,76,3998,16384

0.047,6.03,498,106,5723,16384
0.047,6.03,657,100,5691,16384
0.047,6.03,498,106,5720,16384
0.047,6.03,402,107,5688,16384
0.047,6.03,470,101,5682,16384
0.047,6.03,645,102,5697,16384
0.047,6.03,438,107,5753,16384
0.047,6.03,402,103,5721,16384
0.047,6.03,394,103,5656,16384
0.047,6.03,420,105,5679,16384
0.047,6.03,363,109,5737,16384
0.047,6.03,614,103,5728,16384
0.047,6.03,511,105,5734,16384
0.047,6.03,358,104,5701,16384
0.047,6.03,526,103,5728,16384
0.047,6.03,393,109,5761,16384
0.047,6.03,357,103,5718,16384
0.047,6.03,469,106,5714,16384
0.047,6.03,408,107,5745,16384
0.047,6.03,496,107,5754,16384
0.047,6.03,413,102,5709,16384
0.047,6.03,602,107,5754,16384
0.047,6.03,407,106,5696,16384
0.047,6.03,434,106,5760,16384
0.047,6.03,368,105,5705,16384
0.047,6.03,669,108,5710,16384
0.047,6.03,590,104,5710,16384
0.047,6.03,374,108,5706,16384
0.047,6.03,542,108,5738,16384
0.047,6.03,411,108,5730,16384
0.047,6.03,410,105,5750,16384
0.047,6.03,425,102,5729,16384
0.047,6.03,414,106,5760,16384
