# 20230831
# M2
# 2.2 MOhms resistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# 2.1 uF capacitor
# Four-probe measurement gives 2.19 MOhms

Iteration,ADC output [LSB]
1,1020
1,1013
1,1021
1,1018
1,1010
1,1006
1,1016
1,1010
1,995
1,1008
1,1000
1,990
1,1004
1,995
1,992
1,982
1,992
1,983
1,984
1,983
1,990
1,982
1,972
1,976
1,968
1,968
1,970
1,966
1,959
1,972
1,959
1,964
1,963
1,959
1,958
1,954
1,957
1,951
1,950
1,950
1,950
1,943
1,938
1,940
1,932
1,930
1,937
1,932
1,930
1,921
1,923
1,925
1,928
1,922
1,922
1,912
1,914
1,919
1,912
1,902
1,911
1,914
1,910
1,904
1,902
1,895
1,902
1,895
1,903
1,890
1,894
1,904
1,881
1,885
1,892
1,886
1,882
1,879
1,883
1,875
1,874
1,873
1,872
1,866
1,870
1,870
1,862
1,866
1,864
1,862
1,862
1,865
1,855
1,847
1,859
1,858
1,839
1,862
1,857
1,842
1,839
1,848
1,832
1,836
1,839
1,831
1,833
1,827
1,830
1,839
1,835
1,827
1,830
1,840
1,823
1,823
1,826
1,812
1,831
1,819
1,808
1,806
1,811
1,808
1,794
1,800
1,791
1,802
1,808
1,800
1,784
1,796
1,791
1,801
1,797
1,791
1,787
1,784
1,782
1,779
1,780
1,776
1,767
1,792
1,774
1,767
1,776
1,767
1,767
1,782
1,767
1,767
1,767
1,766
1,758
1,759
1,759
1,751
1,767
1,757
1,743
1,750
1,754
1,740
1,738
1,742
1,740
1,746
1,736
1,738
1,726
1,741
1,734
1,735
1,738
1,728
1,720
1,726
1,722
1,712
1,715
1,722
1,715
1,715
1,711
1,710
1,707
1,712
1,703
1,706
1,703
1,710
1,700
1,698
1,701
1,696
1,696
1,692
1,689
1,686
1,694
1,687
1,690
1,687
1,684
1,680
1,683
1,680
1,677
1,677
1,674
1,671
1,674
1,663
1,670
1,668
1,667
1,669
1,668
1,666
1,663
1,656
1,655
1,658
1,655
1,660
1,652
1,656
1,647
1,650
1,655
1,655
1,650
1,648
1,639
1,647
1,640
1,640
1,632
1,639
1,639
1,638
1,639
1,642
1,632
1,630
1,635
1,633
1,631
1,631
1,631
1,630
1,623
1,626
1,620
1,624
1,617
1,616
1,614
1,616
