# 20230727
# M2
# 0630 3B thermistor
# 100 Hz SCuM ADC sampling rate
# No averaging
# 50 nF capacitor
# Multimeter measures 12.5 MOhms

Iteration,ADC output [LSB]
1,511
1,471
1,464
1,448
1,418
1,447
1,412
1,397
1,396
1,359
1,383
1,342
1,330
1,320
1,290
1,312
1,267
1,255
1,271
1,235
1,254
1,215
1,202
1,206
1,176
1,190
1,169
1,151
1,163
1,130
1,144
1,112
1,103
1,120
1,94
1,108
1,82
1,71
1,86
1,59
1,69
1,48
1,34
1,52
1,27
1,44
1,15
1,15
1,30
1,511
1,23
1,506
1,508
1,11
1,480
1,498
1,486
1,471
1,495
1,464
1,475
1,464
1,443
1,472
1,436
1,445
1,438
1,420
1,440
1,407
1,416
1,407
1,395
1,418
1,383
1,397
1,394
1,375
1,399
1,366
1,372
1,382
1,357
1,382
1,352
1,346
1,358
1,334
1,359
1,327
1,332
1,340
1,314
1,340
1,307
1,311
1,327
1,303
1,323
1,295
1,298
1,318
1,287
1,311
1,288
1,272
1,295
1,271
1,295
1,271
1,255
1,296
1,255
1,287
1,263
1,255
1,283
1,248
1,255
1,255
1,254
1,271
1,237
1,255
1,247
1,239
1,255
1,235
1,250
1,231
1,229
1,251
1,222
1,232
1,224
1,210
1,239
1,216
1,223
1,223
1,211
1,231
1,207
1,210
1,214
1,191
1,231
1,195
1,200
1,205
1,191
1,223
1,191
1,200
1,195
1,183
1,215
1,185
1,190
1,206
1,175
1,206
1,176
1,175
1,204
1,167
1,202
1,167
1,175
1,198
1,159
1,191
1,175
1,174
1,191
1,167
1,191
1,167
1,162
1,183
1,159
1,184
1,157
1,160
1,176
1,143
1,175
1,159
1,159
1,192
1,142
1,166
1,151
1,152
1,175
1,151
1,166
1,151
1,147
1,174
1,143
1,155
1,158
1,143
1,174
1,139
1,151
1,159
1,143
1,169
1,136
1,143
1,159
1,139
1,167
1,135
1,143
1,151
1,127
1,168
1,127
1,144
1,143
1,127
1,167
1,127
1,143
1,151
1,127
1,162
1,126
1,131
1,143
1,127
1,159
1,127
1,127
1,156
1,126
1,151
1,127
1,127
1,159
1,127
1,154
1,122
1,127
1,155
1,122
1,144
1,118
1,127
1,159
1,124
1,143
1,126
1,127
1,159
1,126
1,143
1,127
1,127
1,158
1,119
1,135
1,127
1,127
1,156
1,119
1,127
1,127
1,126
1,151
1,118
1,127
1,127
1,122
1,144
1,111
1,127
1,138
1,111
1,151
1,120
1,120
1,127
1,124
1,147
1,112
1,113
1,127
1,120
1,143
1,118
1,119
1,142
1,111
1,146
1,111
1,127
1,143
1,111
1,143
1,115
1,116
1,135
1,116
1,135
1,111
1,122
1,139
1,111
1,143
1,114
1,111
1,139
1,111
1,135
1,114
1,112
1,135
1,103
1,127
1,119
1,112
1,127
1,111
1,127
1,123
1,111
1,135
1,110
1,127
1,127
1,112
1,133
1,106
1,126
1,124
1,105
1,138
1,106
1,120
1,124
1,111
1,143
1,111
1,126
1,127
1,111
1,143
1,111
1,122
1,127
1,112
1,131
1,103
1,117
1,127
1,112
1,131
1,110
1,111
1,127
1,118
1,138
1,103
1,112
1,127
1,111
1,143
1,111
1,115
1,127
1,111
1,127
1,111
1,127
1,139
1,103
1,135
1,111
1,111
1,138
1,103
1,127
1,118
1,111
1,135
1,104
1,127
1,111
1,111
1,135
1,103
1,126
1,116
1,107
1,135
1,108
1,125
1,118
1,106
1,151
1,100
1,119
1,119
1,107
1,139
1,99
1,118
1,122
1,109
1,138
1,103
1,118
1,123
1,109
1,135
1,107
1,115
1,127
1,111
1,139
1,103
1,110
1,127
1,111
1,135
1,108
1,111
1,127
1,111
1,135
1,108
1,111
1,127
1,111
1,127
1,111
1,111
1,127
1,107
1,127
1,115
1,111
1,127
1,107
1,127
1,112
1,104
1,127
1,109
1,127
1,114
1,105
1,127
1,108
1,127
1,116
1,103
1,135
1,103
1,127
1,118
1,107
1,127
1,112
1,119
1,119
1,111
1,138
1,99
1,123
1,119
1,111
1,138
1,98
1,114
1,116
1,100
1,127
1,111
1,119
1,127
1,111
1,136
1,98
1,127
1,127
1,111
1,142
1,103
1,111
1,127
1,111
1,142
1,107
1,113
1,127
1,111
1,127
1,111
1,112
1,127
1,111
1,133
1,104
1,106
1,127
1,109
1,135
1,111
1,111
1,136
1,96
1,135
1,108
1,107
1,134
1,103
1,127
1,114
1,103
1,127
1,106
1,127
1,111
1,111
1,127
1,112
1,119
1,111
1,111
1,138
1,98
1,122
1,112
1,100
1,127
1,111
1,126
1,119
1,110
1,135
1,106
1,113
1,114
1,102
1,135
1,103
1,119
1,123
1,110
1,135
1,103
1,111
1,127
1,110
1,142
1,104
1,106
1,122
1,102
1,135
1,103
1,111
1,127
1,107
1,127
1,111
1,111
1,127
1,108
1,127
1,112
1,103
1,127
1,111
1,127
1,111
1,111
1,127
1,111
1,127
1,112
1,104
1,128
1,96
1,127
1,118
1,103
1,135
1,99
1,127
1,115
1,111
1,142
1,96
1,119
1,111
1,111
1,141
1,103
1,127
1,118
1,103
1,136
1,95
1,127
1,127
1,112
1,127
1,111
1,119
1,124
1,107
1,127
1,111
1,119
1,127
1,111
1,140
1,100
1,106
1,119
1,107
1,135
1,103
1,109
1,127
1,108
1,127
1,111
1,114
1,127
1,111
1,139
1,103
1,111
1,127
1,111
1,127
1,111
1,111
1,127
1,103
1,127
1,111
1,110
1,127
1,103
1,127
1,111
1,114
1,127
1,111
1,127
1,111
1,111
1,135
1,103
1,127
1,111
1,111
1,138
1,96
1,122
1,111
1,111
1,135
1,100
1,120
1,112
1,104
1,127
1,106
1,119
1,120
1,99
1,127
1,111
1,119
1,119
1,120
1,127
1,111
1,119
1,127
1,111
1,135
1,103
1,111
1,127
1,111
1,135
1,103
1,111
1,127
1,103
1,135
1,103
1,111
1,127
1,103
1,135
1,103
1,111
1,127
1,111
1,139
1,103
1,111
1,127
1,107
1,127
1,111
1,111
1,127
1,111
1,127
1,114
1,103
1,127
1,111
1,127
1,111
1,111
1,127
1,111
1,127
1,111
1,110
1,127
1,111
1,127
1,114
1,103
1,127
1,111
1,126
1,112
1,103
1,135
1,101
1,120
1,111
1,105
1,136
1,98
1,114
1,117
1,104
1,127
1,111
1,118
1,120
1,99
1,127
1,111
1,111
1,127
1,111
1,138
1,103
1,111
1,126
1,111
1,135
1,103
1,111
1,127
1,111
1,127
1,106
1,110
1,127
1,105
1,127
1,112
1,103
1,127
1,111
1,127
1,111
1,111
1,127
1,106
1,127
1,111
1,111

2,507
2,488
2,496
2,452
2,447
2,436
2,414
2,428
2,383
2,392
2,360
2,336
2,356
2,315
2,319
2,312
2,274
2,294
2,255
2,255
2,252
2,219
2,240
2,196
2,189
2,190
2,166
2,182
2,146
2,136
2,137
2,116
2,137
2,103
2,103
2,106
2,82
2,95
2,75
2,63
2,79
2,54
2,63
2,46
2,38
2,43
2,18
2,31
2,7
2,511
2,32
2,502
2,11
2,494
2,496
2,510
2,482
2,495
2,471
2,479
2,495
2,457
2,471
2,447
2,447
2,465
2,423
2,447
2,430
2,415
2,440
2,398
2,416
2,392
2,383
2,424
2,375
2,396
2,378
2,367
2,398
2,359
2,375
2,366
2,351
2,381
2,348
2,350
2,346
2,327
2,359
2,319
2,333
2,335
2,318
2,335
2,310
2,311
2,319
2,303
2,323
2,287
2,296
2,303
2,287
2,315
2,280
2,271
2,295
2,271
2,295
2,264
2,255
2,288
2,250
2,286
2,255
2,255
2,278
2,243
2,270
2,238
2,245
2,264
2,226
2,254
2,235
2,232
2,254
2,226
2,240
2,222
2,222
2,247
2,217
2,235
2,222
2,215
2,238
2,207
2,224
2,207
2,208
2,224
2,191
2,223
2,207
2,199
2,223
2,191
2,207
2,207
2,191
2,223
2,191
2,199
2,199
2,186
2,211
2,179
2,191
2,199
2,175
2,207
2,175
2,183
2,191
2,175
2,206
2,168
2,167
2,190
2,170
2,191
2,170
2,167
2,186
2,160
2,183
2,163
2,159
2,188
2,157
2,187
2,151
2,159
2,183
2,154
2,175
2,158
2,151
2,176
2,144
2,163
2,143
2,151
2,171
2,145
2,166
2,143
2,146
2,167
2,143
2,165
2,143
2,143
2,171
2,136
2,159
2,147
2,138
2,162
2,127
2,159
2,143
2,141
2,166
2,127
2,151
2,144
2,127
2,166
2,127
2,147
2,143
2,127
2,160
2,126
2,142
2,143
2,127
2,163
2,127
2,135
2,143
2,127
2,159
2,127
2,127
2,147
2,126
2,157
2,126
2,127
2,151
2,127
2,159
2,127
2,127
2,150
2,119
2,154
2,119
2,127
2,151
2,120
2,143
2,126
2,127
2,151
2,119
2,143
2,124
2,127
2,151
2,119
2,135
2,117
2,126
2,163
2,113
2,127
2,127
2,127
2,150
2,111
2,139
2,119
2,127
2,151
2,113
2,127
2,127
2,124
2,145
2,112
2,127
2,127
2,122
2,143
2,111
2,126
2,127
2,127
2,151
2,114
2,123
2,129
2,110
2,143
2,118
2,122
2,127
2,118
2,143
2,115
2,120
2,127
2,118
2,143
2,111
2,124
2,127
2,116
2,139
2,111
2,120
2,127
2,116
2,127
2,118
2,115
2,131
2,106
2,135
2,111
2,113
2,127
2,111
2,127
2,119
2,119
2,139
2,106
2,127
2,119
2,118
2,138
2,104
2,127
2,118
2,111
2,142
2,108
2,127
2,119
2,119
2,143
2,111
2,127
2,120
2,110
2,135
2,105
2,126
2,122
2,110
2,142
2,110
2,127
2,127
2,116
2,131
2,106
2,118
2,127
2,116
2,135
2,109
2,119
2,127
2,111
2,143
2,111
2,117
2,127
2,111
2,139
2,111
2,119
2,127
2,116
2,127
2,114
2,111
2,127
2,111
2,135
2,103
2,112
2,125
2,111
2,135
2,110
2,111
2,127
2,106
2,127
2,111
2,116
2,127
2,111
2,127
2,111
2,112
2,127
2,111
2,127
2,119
2,111
2,143
2,110
2,126
2,111
2,112
2,127
2,111
2,127
2,123
2,111
2,140
2,102
2,119
2,120
2,103
2,127
2,111
2,119
2,122
2,107
2,127
2,111
2,124
2,124
2,110
2,136
2,98
2,112
2,118
2,103
2,135
2,104
2,111
2,127
2,111
2,160
2,98
2,111
2,127
2,113
2,127
2,114
2,110
2,127
2,111
2,135
2,106
2,104
2,127
2,111
2,127
2,112
2,105
2,127
2,112
2,127
2,111
2,112
2,127
2,111
2,127
2,112
2,104
2,127
2,111
2,127
2,114
2,103
2,135
2,103
2,127
2,117
2,107
2,135
2,108
2,123
2,111
2,111
2,127
2,107
2,126
2,118
2,103
2,127
2,108
2,124
2,118
2,103
2,133
2,102
2,119
2,122
2,105
2,135
2,103
2,118
2,120
2,103
2,127
2,111
2,116
2,119
2,107
2,138
2,103
2,116
2,127
2,111
2,137
2,103
2,106
2,127
2,107
2,127
2,112
2,108
2,127
2,110
2,134
2,103
2,111
2,127
2,111
2,127
2,109
2,111
2,127
2,110
2,127
2,111
2,111
2,127
2,111
2,127
2,112
2,104
2,127
2,107
2,126
2,110
2,105
2,127
2,111
2,127
2,118
2,106
2,127
2,107
2,118
2,111
2,106
2,135
2,103
2,122
2,111
2,107
2,135
2,103
2,120
2,114
2,103
2,127
2,110
2,118
2,126
2,108
2,127
2,111
2,118
2,127
2,111
2,135
2,103
2,110
2,127
2,103
2,138
2,103
2,111
2,127
2,111
2,135
2,103
2,111
2,127
2,106
2,127
2,111
2,112
2,127
2,111
2,138
2,99
2,111
2,127
2,111
2,127
2,111
2,111
2,127
2,111
2,127
2,111
2,112
2,127
2,107
2,127
2,112
2,103
2,127
2,107
2,126
2,114
2,103
2,136
2,98
2,120
2,111
2,111
2,141
2,106
2,115
2,117
2,110
2,135
2,103
2,126
2,120
2,103
2,127
2,111
2,119
2,126
2,106
2,127
2,114
2,111
2,127
2,111
2,137
2,103
2,111
2,127
2,111
2,142
2,99
2,107
2,127
2,111
2,127
2,111
2,111
2,127
2,111
2,127
2,111
2,118
2,127
2,110
2,127
2,111
2,111
2,127
2,107
2,127
2,113
2,111
2,127
2,111
2,127
2,111
2,111
2,135
2,103
2,127
2,111
2,111
2,127
2,111
2,127
2,118
2,103
2,127
2,110
2,122
2,112
2,98
2,127
2,111
2,127
2,119
2,111
2,140
2,102
2,119
2,119
2,111
2,136
2,97
2,111
2,119
2,111
2,127
2,107
2,116
2,119
2,111
2,143
2,110
2,111
2,127
2,111
2,135
2,103
2,111
2,127
2,110
2,127
2,111
2,116
2,127
2,111
2,135
2,104
2,104
2,126
2,106
2,127
2,111
2,111
2,127
2,110
2,127
2,112
2,104
2,127
2,110
2,127
2,116
2,103
2,135
2,102
2,126
2,111
2,111
2,134
2,103
2,127
2,114
2,104
2,127
2,108
2,119
2,116
2,103
2,135
2,102
2,120
2,111
2,111
2,140
2,99
2,117
2,118
2,104
2,127
2,110
2,119
2,122
2,102
2,127
2,111
2,127
2,127
2,111
2,127
2,111
2,119
2,127
2,112
2,127
2,111
2,116
2,126
2,107
2,134
2,97
2,103
2,127
2,111
2,135
2,108
2,108
2,127
2,109
2,135
2,106
2,103
2,127
2,107
2,127
2,111
2,111
2,127
2,110
2,127
2,111
2,111
2,127
2,105
2,122
2,111
2,112
2,127
2,107
2,127
2,111
2,111
2,135
2,102
2,120
2,107
2,110
2,127
2,111
2,127
2,119
2,103
2,127
2,103
2,126
2,119
2,105
2,131
2,103
2,122
2,115
2,110
2,127
2,111
2,120
2,118
2,103
2,135
2,103
2,111
2,127
2,111
2,138
2,99
2,110
2,124
2,104
2,127
2,110
2,111
2,127
2,108
2,127
2,111
2,112
2,124
2,103
2,133
2,101
2,110
2,127
2,110
2,127
2,111
2,111
2,135
2,99
2,127
2,111
2,111
2,127
2,108
2,126

3,511
3,498
3,508
3,464
3,447
3,463
3,424
3,430
3,394
3,382
3,394
3,346
3,366
3,327
3,314
3,324
3,280
3,301
3,267
3,252
3,270
3,227
3,237
3,208
3,191
3,210
3,167
3,182
3,155
3,144
3,158
3,127
3,136
3,111
3,107
3,118
3,87
3,96
3,78
3,68
3,84
3,52
3,60
3,54
3,38
3,50
3,20
3,23
3,22
3,511
3,46
3,511
3,15
3,511
3,506
3,511
3,493
3,494
3,493
3,471
3,496
3,455
3,459
3,463
3,447
3,470
3,431
3,433
3,436
3,415
3,442
3,406
3,401
3,419
3,391
3,416
3,378
3,383
3,407
3,374
3,394
3,359
3,366
3,383
3,359
3,374
3,346
3,342
3,362
3,330
3,350
3,327
3,327
3,344
3,311
3,335
3,314
3,308
3,323
3,295
3,319
3,303
3,289
3,311
3,279
3,302
3,287
3,280
3,295
3,271
3,287
3,278
3,255
3,295
3,255
3,271
3,255
3,255
3,285
3,250
3,255
3,255
3,247
3,271
3,239
3,247
3,250
3,231
3,255
3,231
3,235
3,239
3,224
