# 20230825
# M2
# 100 Hz SCuM ADC sampling rate
# No averaging
# 50 nF capacitor
# SCuM estimates the time constant with fixed-point numbers

Resistance [MOhms],Number of ADC samples,Three tau index,Time constant,Time constant scaling factor
# 2.2 MOhms
2.19,222,36,1899,16384
2.19,245,36,1861,16384
2.19,247,35,1842,16384
2.19,180,34,1871,16384
2.19,209,36,1852,16384
2.19,169,36,1900,16384
2.19,239,34,1866,16384
2.19,252,33,1880,16384
2.19,213,36,1881,16384
2.19,189,34,1879,16384
2.19,289,35,1889,16384
2.19,262,36,1878,16384
2.19,243,35,1867,16384
2.19,180,36,1868,16384
2.19,208,35,1875,16384
2.19,256,36,1874,16384
2.19,204,37,1870,16384
2.19,186,36,1886,16384
2.19,203,37,1870,16384
2.19,227,36,1879,16384
2.19,185,36,1866,16384
2.19,248,35,1882,16384
2.19,305,35,1879,16384
2.19,246,35,1861,16384
2.19,207,34,1880,16384
2.19,346,38,1913,16384
2.19,245,35,1856,16384
2.19,231,35,1873,16384
2.19,218,35,1871,16384
2.19,227,36,1893,16384
2.19,250,36,1870,16384

# 4.7 MOhms
4.67,385,74,4030,16384
4.67,324,76,3986,16384
4.67,354,75,4013,16384
4.67,319,70,3953,16384
4.67,354,70,3941,16384
4.67,302,73,4001,16384
4.67,346,75,3985,16384
4.67,480,76,3978,16384
4.67,359,72,3969,16384
4.67,248,72,3962,16384
4.67,304,72,3992,16384
4.67,544,73,3972,16384
4.67,289,72,4004,16384
4.67,300,77,4020,16384
4.67,287,76,3998,16384
4.67,394,70,3951,16384
4.67,437,76,4003,16384
4.67,331,76,3984,16384
4.67,323,70,3972,16384
4.67,233,72,3961,16384
4.67,334,74,3982,16384
4.67,457,71,3981,16384
4.67,470,74,4046,16384
4.67,361,75,3957,16384
4.67,331,73,3965,16384
4.67,373,74,3980,16384
4.67,284,76,3981,16384
4.67,559,73,4010,16384
4.67,360,70,3930,16384
4.67,329,72,3978,16384
4.67,358,74,3989,16384

# 8 MOhms
8.07,545,126,6924,16384
8.07,381,124,6836,16384
