# 20230831
# M2
# 100 Hz SCuM ADC sampling rate
# No averaging
# 2.01 uF capacitor
# SCuM estimates the time constant with fixed-point numbers

Resistance [MOhms],Number of ADC samples,Three tau index,Time constant,Time constant scaling factor
# 22 kOhms
0.0220,383,16,794,16384
0.0220,232,15,786,16384
0.0220,265,16,790,16384
0.0220,202,15,784,16384
0.0220,226,15,777,16384
0.0220,317,15,784,16384
0.0220,296,15,788,16384
0.0220,309,16,793,16384
0.0220,331,15,772,16384
0.0220,570,15,795,16384

# 47 kOhms
0.0470,295,33,1719,16384
0.0470,212,32,1674,16384
0.0470,421,31,1696,16384
0.0470,256,32,1687,16384
0.0470,265,33,1690,16384
0.0470,282,32,1691,16384
0.0470,311,32,1693,16384
0.0470,379,34,1695,16384
0.0470,355,32,1701,16384
0.0470,394,32,1695,16384

# 82 kOhms
0.0819,339,55,2965,16384
0.0819,279,57,2977,16384
0.0819,308,53,2938,16384
0.0819,408,55,2958,16384
0.0819,403,54,2964,16384
0.0819,437,56,2962,16384
0.0819,349,57,2968,16384
0.0819,370,52,2942,16384
0.0819,292,53,2935,16384
0.0819,280,54,2944,16384

# 100 kOhms
0.100,357,68,3644,16384
0.100,397,68,3633,16384
0.100,500,65,3587,16384
0.100,365,69,3630,16384
0.100,363,69,3616,16384
0.100,517,67,3622,16384
0.100,455,68,3601,16384
0.100,376,65,3619,16384
0.100,494,68,3601,16384
0.100,391,69,3668,16384

# 220 kOhms
0.221,811,150,8078,16384
0.221,649,150,8070,16384
0.221,535,144,8002,16384
0.221,661,151,8033,16384
0.221,654,147,8022,16384
0.221,680,149,8038,16384
0.221,702,151,8138,16384
0.221,579,146,8073,16384
0.221,431,141,7923,16384
0.221,446,145,7965,16384

# 470 kOhms
0.472,856,306,17235,16384
0.472,921,311,17098,16384
0.472,853,304,17080,16384
0.472,1070,313,17074,16384
0.472,839,303,17251,16384
0.472,880,299,17128,16384
0.472,836,308,17169,16384
0.472,760,302,17144,16384
0.472,891,305,17041,16384
0.472,710,298,16968,16384

# 820 kOhms
0.814,1022,507,29068,16384
0.814,733,472,27562,16384
0.814,1298,533,29447,16384
0.814,1166,521,29096,16384
0.814,1246,523,29002,16384
0.814,1003,516,28934,16384
0.814,1115,520,29044,16384
0.814,1020,505,28984,16384
0.814,1129,521,29104,16384
0.814,1230,517,29389,16384

# 1 MOhms
0.995,1560,646,36067,16384
0.995,1342,641,35781,16384
0.995,1264,615,35185,16384
0.995,977,593,34335,16384
0.995,1329,639,35918,16384
0.995,1254,620,35294,16384
0.995,1416,626,35620,16384
0.995,1024,586,34475,16384
0.995,1577,634,35608,16384
0.995,1092,610,34641,16384

# 2.2 MOhms
2.19,2144,1302,75550,16384
2.19,1774,1236,73410,16384
2.19,1825,1264,74709,16384
2.19,1763,1259,73741,16384
2.19,1737,1221,73201,16384
2.19,1800,1231,73677,16384
2.19,1784,1241,73678,16384
2.19,1733,1224,73375,16384
2.19,1726,1232,72936,16384
2.19,2195,1323,75739,16384

# 4.7 MOhms
4.67,3550,2655,155932,16384
4.67,3309,2403,151149,16384
4.67,3268,2335,149718,16384
4.67,3580,2555,154275,16384
4.67,3309,2434,151238,16384
4.67,3607,2616,154620,16384
4.67,3513,2524,152711,16384
4.67,3278,2341,150010,16384
4.67,3221,2367,148132,16384
4.67,3307,2402,148332,16384

# 6.8 MOhms
6.71,2736,2335,168837,16384
6.71,2699,2284,167590,16384
6.71,2803,2389,172785,16384
6.71,2757,2304,170257,16384
6.71,2685,2289,167910,16384
6.71,2707,2279,167927,16384
6.71,2752,2303,169476,16384
6.71,2708,2301,166777,16384
6.71,2723,2305,168517,16384
6.71,2805,2311,170772,16384

# 8.2 M Ohms
8.07,3332,2827,206554,16384
8.07,3267,2786,204050,16384
8.07,3390,2864,207651,16384
8.07,3283,2793,204517,16384
8.07,3263,2793,203874,16384
8.07,3405,2832,206646,16384
8.07,3302,2793,205872,16384
8.07,3272,2802,203883,16384
8.07,3233,2745,202017,16384
8.07,3386,2780,205552,16384

# 10.0 MOhms
10.0,3597,3105,266532,16384
10.0,3979,3391,252507,16384
10.0,4053,3472,255455,16384
10.0,4181,3547,261530,16384
10.0,4237,3647,264157,16384
10.0,4189,3612,261954,16384
10.0,4130,3556,258907,16384
10.0,4181,3579,261031,16384
10.0,4108,3544,259425,16384
10.0,4142,3515,260155,16384
