# 20230802
# M2 with stub antenna
# Measured at room temperature on my desk

TX/RX,Channel,Coarse,Mid,Fine
TX,11,21,24,30
TX,11,21,25,25
TX,11,21,26,17
TX,11,21,27,9
TX,12,22,13,26
TX,12,22,14,18
TX,12,22,15,10
TX,12,22,16,4
TX,13,22,19,28
TX,13,22,20,24
TX,13,22,21,14
TX,13,22,22,5
TX,14,22,26,25
TX,14,22,27,16
TX,14,22,28,6
TX,14,22,29,2
TX,15,23,14,25
TX,15,23,15,17
TX,15,23,16,9
TX,15,23,17,2
TX,16,23,20,27
TX,16,23,21,20
TX,16,23,22,10
TX,16,23,23,3
TX,17,23,26,28
TX,17,23,27,23
TX,17,23,28,13
TX,17,23,29,5
TX,18,24,14,28
TX,18,24,15,23
TX,18,24,16,15
TX,18,24,17,6
TX,19,24,21,26
TX,19,24,22,17
TX,19,24,23,7
TX,19,24,24,1
TX,20,24,27,27
TX,20,24,28,19
TX,20,24,29,9
TX,20,24,30,2
TX,21,25,15,26
TX,21,25,16,18
TX,21,25,17,9
TX,21,25,18,2
TX,22,25,21,27
TX,22,25,22,20
TX,22,25,23,10
TX,22,25,24,3
TX,23,25,27,27
TX,23,25,28,21
TX,23,25,29,10
TX,23,25,30,3
TX,24,26,15,26
TX,24,26,16,20
TX,24,26,17,11
TX,24,26,18,3
TX,25,26,21,27
TX,25,26,22,20
TX,25,26,23,10
TX,25,26,24,3
TX,26,26,27,27
TX,26,26,28,20
TX,26,26,29,10
TX,26,26,30,2
RX,11,21,27,26
RX,11,21,28,17
RX,11,21,29,9
RX,12,22,15,27
RX,12,22,16,19
RX,12,22,17,10
RX,12,22,18,1
RX,13,22,21,30
RX,13,22,22,21
RX,13,22,23,13
RX,13,22,24,4
RX,14,22,27,31
RX,14,22,28,24
RX,14,22,29,16
RX,14,22,30,7
RX,15,23,15,30
RX,15,23,16,24
RX,15,23,17,15
RX,15,23,18,6
RX,16,23,22,25
RX,16,23,23,18
RX,16,23,24,8
RX,17,23,28,27
RX,17,23,29,19
RX,17,23,30,10
RX,17,23,31,1
RX,18,24,16,27
RX,18,24,17,19
RX,18,24,18,10
RX,18,24,19,0
RX,19,24,22,28
RX,19,24,23,20
RX,19,24,24,11
RX,19,24,25,0
RX,20,24,28,28
RX,20,24,29,20
RX,20,24,30,10
RX,20,24,31,2
RX,21,25,16,27
RX,21,25,17,18
RX,21,25,18,9
RX,22,25,22,27
RX,22,25,23,18
RX,22,25,24,9
RX,23,25,28,25
RX,23,25,29,18
RX,23,25,30,8
RX,24,26,15,31
RX,24,26,16,24
RX,24,26,17,14
RX,24,26,18,4
RX,25,26,21,30
RX,25,26,22,23
RX,25,26,23,13
RX,25,26,24,4
RX,26,26,27,30
RX,26,26,28,21
RX,26,26,29,12
RX,26,26,30,3
