# 20230810
# M2 with stub antenna
# Measured at room temperature at home

TX/RX,Channel,Coarse,Mid,Fine
TX,11,21,25,28
TX,11,21,26,24
TX,11,21,27,16
TX,11,21,28,5
TX,12,22,14,25
TX,12,22,15,16
TX,12,22,16,8
TX,12,22,17,3
TX,13,22,20,27
TX,13,22,21,21
TX,13,22,22,12
TX,13,22,23,4
TX,14,22,27,25
TX,14,22,28,16
TX,14,22,29,6
TX,14,22,30,1
TX,15,23,14,29
TX,15,23,15,25
TX,15,23,16,17
TX,15,23,17,7
TX,16,23,21,27
TX,16,23,22,20
TX,16,23,23,10
TX,16,23,24,3
TX,17,23,27,28
TX,17,23,28,23
TX,17,23,29,13
TX,17,23,30,5
TX,18,24,15,28
TX,18,24,16,25
TX,18,24,17,15
TX,18,24,18,6
TX,19,24,22,26
TX,19,24,23,18
TX,19,24,24,7
TX,19,24,25,2
TX,20,25,10,25
TX,20,25,11,16
TX,20,25,12,6
TX,20,25,13,1
TX,21,25,16,27
TX,21,25,17,19
TX,21,25,18,10
TX,21,25,19,3
TX,22,25,22,27
TX,22,25,23,20
TX,22,25,24,11
TX,22,25,25,3
TX,23,26,10,27
TX,23,26,11,19
TX,23,26,12,9
TX,23,26,13,3
TX,24,26,16,28
TX,24,26,17,21
TX,24,26,18,12
TX,24,26,19,4
TX,25,26,22,28
TX,25,26,23,23
TX,25,26,24,12
TX,25,26,25,4
TX,26,27,10,27
TX,26,27,11,20
TX,26,27,12,9
TX,26,27,13,2
RX,11,21,27,30
RX,11,21,28,22
RX,11,21,29,14
RX,11,21,30,6
RX,12,22,15,30
RX,12,22,16,23
RX,12,22,17,15
RX,12,22,18,6
RX,13,22,22,26
RX,13,22,23,18
RX,13,22,24,9
RX,14,22,28,29
RX,14,22,29,21
RX,14,22,30,12
RX,14,22,31,3
RX,15,23,16,29
RX,15,23,17,20
RX,15,23,18,11
RX,15,23,19,3
RX,16,23,22,30
RX,16,23,23,22
RX,16,23,24,14
RX,16,23,25,5
RX,17,23,29,24
RX,17,23,30,15
RX,17,23,31,6
RX,18,24,16,31
RX,18,24,17,23
RX,18,24,18,15
RX,18,24,19,6
RX,19,24,22,31
RX,19,24,23,24
RX,19,24,24,16
RX,19,24,25,7
RX,20,24,29,25
RX,20,24,30,17
RX,20,24,31,7
RX,21,25,16,31
RX,21,25,17,23
RX,21,25,18,14
RX,21,25,19,5
RX,22,25,22,31
RX,22,25,23,23
RX,22,25,24,14
RX,22,25,25,5
RX,23,25,28,31
RX,23,25,29,22
RX,23,25,30,14
RX,23,25,31,4
RX,24,26,16,28
RX,24,26,17,20
RX,24,26,18,12
RX,24,26,19,1
RX,25,26,22,28
RX,25,26,23,19
RX,25,26,24,10
RX,25,26,25,1
RX,26,26,28,26
RX,26,26,29,18
RX,26,26,30,8
