# 20230802
# M2 with CoCo antenna
# Measured at room temperature on my desk

TX/RX,Channel,Coarse,Mid,Fine
TX,11,21,29,30
TX,11,21,30,25
TX,11,21,31,16
TX,11,22,11,29
TX,12,22,18,26
TX,12,22,19,18
TX,12,22,20,9
TX,12,22,21,2
TX,13,22,24,27
TX,13,22,25,21
TX,13,22,26,10
TX,13,22,27,3
TX,14,23,12,26
TX,14,23,13,19
TX,14,23,14,9
TX,14,23,15,2
TX,15,23,18,28
TX,15,23,19,21
TX,15,23,20,12
TX,15,23,21,3
TX,16,23,24,28
TX,16,23,25,23
TX,16,23,26,13
TX,16,23,27,4
TX,17,24,12,27
TX,17,24,13,21
TX,17,24,14,10
TX,17,24,15,3
TX,18,24,18,28
TX,18,24,19,22
TX,18,24,20,12
TX,18,24,21,4
TX,19,24,24,28
TX,19,24,25,21
TX,19,24,26,12
TX,19,24,27,4
TX,20,25,12,26
TX,20,25,13,18
TX,20,25,14,7
TX,20,25,15,1
TX,21,25,18,27
TX,21,25,19,19
TX,21,25,20,9
TX,21,25,21,2
TX,22,25,24,26
TX,22,25,25,19
TX,22,25,26,8
TX,22,25,27,2
TX,23,26,12,25
TX,23,26,13,15
TX,23,26,14,6
TX,23,26,15,0
TX,24,26,18,26
TX,24,26,19,17
TX,24,26,20,6
TX,24,26,21,1
TX,25,26,24,26
TX,25,26,25,16
TX,25,26,26,6
TX,25,26,27,0
TX,26,27,11,28
TX,26,27,12,22
TX,26,27,13,12
TX,26,27,14,4
RX,11,21,27,25
RX,11,21,28,17
RX,11,21,29,9
RX,12,22,15,26
RX,12,22,16,19
RX,12,22,17,10
RX,12,22,18,1
RX,13,22,21,29
RX,13,22,22,21
RX,13,22,23,12
RX,13,22,24,4
RX,14,22,27,31
RX,14,22,28,24
RX,14,22,29,15
RX,14,22,30,6
RX,15,23,15,30
RX,15,23,16,23
RX,15,23,17,15
RX,15,23,18,6
RX,16,23,22,25
RX,16,23,23,17
RX,16,23,24,8
RX,17,23,28,26
RX,17,23,29,19
RX,17,23,30,10
RX,17,23,31,0
RX,18,24,16,26
RX,18,24,17,18
RX,18,24,18,9
RX,19,24,22,27
RX,19,24,23,19
RX,19,24,24,11
RX,19,24,25,1
RX,20,24,28,28
RX,20,24,29,20
RX,20,24,30,11
RX,20,24,31,2
RX,21,25,16,26
RX,21,25,17,17
RX,21,25,18,8
RX,22,25,22,26
RX,22,25,23,18
RX,22,25,24,9
RX,23,25,28,26
RX,23,25,29,17
RX,23,25,30,8
RX,24,26,15,31
RX,24,26,16,23
RX,24,26,17,14
RX,24,26,18,4
RX,25,26,21,31
RX,25,26,22,22
RX,25,26,23,13
RX,25,26,24,3
RX,26,26,27,29
RX,26,26,28,21
RX,26,26,29,11
RX,26,26,30,1
