# 20230802
# M13 without antenna
# Measured at room temperature on my desk

TX/RX,Channel,Coarse,Mid,Fine
TX,11,22,26,31
TX,11,22,27,26
TX,11,22,28,19
TX,11,22,29,9
TX,12,23,14,29
TX,12,23,15,26
TX,12,23,16,18
TX,12,23,17,7
TX,13,23,21,27
TX,13,23,22,20
TX,13,23,23,10
TX,13,23,24,3
TX,14,23,27,27
TX,14,23,28,20
TX,14,23,29,11
TX,14,23,30,3
TX,15,24,15,26
TX,15,24,16,20
TX,15,24,17,11
TX,15,24,18,2
TX,16,24,21,28
TX,16,24,22,20
TX,16,24,23,10
TX,16,24,24,3
TX,17,24,27,27
TX,17,24,28,20
TX,17,24,29,9
TX,17,24,30,3
TX,18,25,15,25
TX,18,25,16,16
TX,18,25,17,6
TX,18,25,18,1
TX,19,25,21,25
TX,19,25,22,16
TX,19,25,23,6
TX,19,25,24,1
TX,20,25,27,24
TX,20,25,28,14
TX,20,25,29,5
TX,20,26,8,27
TX,21,26,14,26
TX,21,26,15,18
TX,21,26,16,9
TX,21,26,17,3
TX,22,26,20,26
TX,22,26,21,17
TX,22,26,22,6
TX,22,26,23,1
TX,23,26,26,24
TX,23,26,27,15
TX,23,26,28,5
TX,23,26,29,0
TX,24,27,13,26
TX,24,27,14,18
TX,24,27,15,8
TX,24,27,16,2
TX,25,27,19,25
TX,25,27,20,15
TX,25,27,21,5
TX,25,27,22,0
TX,26,27,25,22
TX,26,27,26,12
TX,26,27,27,4
TX,26,28,5,31
RX,11,22,23,26
RX,11,22,24,19
RX,11,22,25,11
RX,11,22,26,0
RX,12,22,29,29
RX,12,22,30,21
RX,12,22,31,12
RX,12,23,11,25
RX,12,23,12,17
RX,12,23,13,8
RX,13,23,17,27
RX,13,23,18,19
RX,13,23,19,10
RX,13,23,20,0
RX,14,23,23,28
RX,14,23,24,21
RX,14,23,25,12
RX,14,23,26,3
RX,15,23,29,29
RX,15,23,30,21
RX,15,23,31,12
RX,15,24,11,27
RX,15,24,12,19
RX,15,24,13,11
RX,15,24,14,1
RX,16,24,17,28
RX,16,24,18,20
RX,16,24,19,11
RX,16,24,20,2
RX,17,24,23,29
RX,17,24,24,20
RX,17,24,25,12
RX,17,24,26,1
RX,18,24,29,29
RX,18,24,30,20
RX,18,24,31,11
RX,18,25,11,25
RX,18,25,12,17
RX,18,25,13,7
RX,19,25,17,26
RX,19,25,18,17
RX,19,25,19,7
RX,20,25,23,25
RX,20,25,24,15
RX,20,25,25,6
RX,21,25,29,24
RX,21,25,30,14
RX,21,25,31,6
RX,22,26,16,29
RX,22,26,17,19
RX,22,26,18,12
RX,22,26,19,1
RX,23,26,22,27
RX,23,26,23,19
RX,23,26,24,9
RX,24,26,28,25
RX,24,26,29,17
RX,24,26,30,6
RX,25,27,15,28
RX,25,27,16,19
RX,25,27,17,10
RX,25,27,18,0
RX,26,27,21,25
RX,26,27,22,17
RX,26,27,23,6
