# 20230810
# M21 without antenna
# Measured at room temperature at home

TX/RX,Channel,Coarse,Mid,Fine
TX,11,22,19,30
TX,11,22,20,26
TX,11,22,21,18
TX,11,22,22,7
TX,12,22,26,28
TX,12,22,27,21
TX,12,22,28,12
TX,12,22,29,4
TX,13,23,14,29
TX,13,23,15,24
TX,13,23,16,14
TX,13,23,17,5
TX,14,23,21,27
TX,14,23,22,17
TX,14,23,23,7
TX,14,23,24,1
TX,15,23,27,27
TX,15,23,28,19
TX,15,23,29,9
TX,15,23,30,2
TX,16,24,15,27
TX,16,24,16,20
TX,16,24,17,10
TX,16,24,18,3
TX,17,24,21,28
TX,17,24,22,23
TX,17,24,23,12
TX,17,24,24,4
TX,18,24,27,29
TX,18,24,28,24
TX,18,24,29,13
TX,18,24,30,4
TX,19,25,15,28
TX,19,25,16,24
TX,19,25,17,13
TX,19,25,18,4
TX,20,25,21,29
TX,20,25,22,24
TX,20,25,23,14
TX,20,25,24,4
TX,21,25,27,30
TX,21,25,28,24
TX,21,25,29,13
TX,21,25,30,4
TX,22,26,15,29
TX,22,26,16,24
TX,22,26,17,13
TX,22,26,18,4
TX,23,26,21,29
TX,23,26,22,23
TX,23,26,23,13
TX,23,26,24,4
TX,24,26,27,29
TX,24,26,28,21
TX,24,26,29,11
TX,24,26,30,3
TX,25,27,15,26
TX,25,27,16,19
TX,25,27,17,8
TX,25,27,18,1
TX,26,27,21,26
TX,26,27,22,17
TX,26,27,23,6
TX,26,27,24,0
RX,11,21,30,30
RX,11,21,31,23
RX,11,22,12,29
RX,11,22,13,21
RX,11,22,14,13
RX,11,22,15,4
RX,12,22,19,25
RX,12,22,20,18
RX,12,22,21,9
RX,13,22,25,28
RX,13,22,26,20
RX,13,22,27,12
RX,13,22,28,3
RX,14,22,31,31
RX,14,23,13,29
RX,14,23,14,21
RX,14,23,15,12
RX,14,23,16,4
RX,15,23,20,24
RX,15,23,21,17
RX,15,23,22,7
RX,16,23,26,26
RX,16,23,27,18
RX,16,23,28,9
RX,17,24,14,26
RX,17,24,15,18
RX,17,24,16,10
RX,17,24,17,0
RX,18,24,20,28
RX,18,24,21,20
RX,18,24,22,11
RX,18,24,23,2
RX,19,24,26,29
RX,19,24,27,21
RX,19,24,28,13
RX,19,24,29,3
RX,20,25,14,29
RX,20,25,15,20
RX,20,25,16,12
RX,20,25,17,2
RX,21,25,20,30
RX,21,25,21,22
RX,21,25,22,13
RX,21,25,23,3
RX,22,25,26,30
RX,22,25,27,22
RX,22,25,28,13
RX,22,25,29,4
RX,23,26,14,29
RX,23,26,15,21
RX,23,26,16,12
RX,23,26,17,3
RX,24,26,20,30
RX,24,26,21,22
RX,24,26,22,13
RX,24,26,23,2
RX,25,26,26,30
RX,25,26,27,21
RX,25,26,28,12
RX,25,26,29,2
RX,26,27,14,26
RX,26,27,15,19
RX,26,27,16,9
