# 20260131
# M15
# Channel 17 only

Timestamp,Log
16:08:53.802051,Tuning to 24.26.1 for RX channel calibration.
16:08:54.273582,Tuning to 24.26.2 for RX channel calibration.
16:08:54.729757,Tuning to 24.26.3 for RX channel calibration.
16:08:55.187427,Tuning to 24.26.4 for RX channel calibration.
16:08:55.660606,Tuning to 24.26.5 for RX channel calibration.
16:08:56.101535,Tuning to 24.26.6 for RX channel calibration.
16:08:56.573587,Tuning to 24.26.7 for RX channel calibration.
16:08:57.029682,Tuning to 24.26.8 for RX channel calibration.
16:08:57.500482,Tuning to 24.26.9 for RX channel calibration.
16:08:57.958413,Tuning to 24.26.10 for RX channel calibration.
16:08:58.413795,Tuning to 24.26.11 for RX channel calibration.
16:08:58.889332,Tuning to 24.26.12 for RX channel calibration.
16:08:59.326440,Tuning to 24.26.13 for RX channel calibration.
16:08:59.798444,Tuning to 24.26.14 for RX channel calibration.
16:09:00.253400,Tuning to 24.26.15 for RX channel calibration.
16:09:00.726787,Tuning to 24.26.16 for RX channel calibration.
16:09:01.181740,Tuning to 24.26.17 for RX channel calibration.
16:09:01.511691,Y
16:09:01.647079,Tuning to 24.26.18 for RX channel calibration.
16:09:02.116405,Tuning to 24.26.19 for RX channel calibration.
16:09:02.196515,RX channel calibration ended.
16:09:02.196515,*
16:09:02.398453,R
16:09:02.614833,R
16:09:02.614833,*
16:09:02.844814,R
16:09:02.844814,*
16:09:02.862372,Decrementing RX tuning code to 24.26.18.
16:09:03.057185,R
16:09:03.057185,*
16:09:03.281366,R
16:09:03.281366,*
16:09:03.329811,s
16:09:03.347764,U
16:09:03.362863,K
16:09:03.366574,E
16:09:03.499412,R
16:09:03.499412,*
16:09:03.514851,Decrementing RX tuning code to 24.26.17.
16:09:03.584761,U
16:09:03.584761,K
16:09:03.616950,Tuning to 24.26.1 for TX channel calibration.
16:09:03.617964,E
16:09:03.729067,R
16:09:03.729067,*
16:09:03.793648,U
16:09:03.809311,K
16:09:03.809311,E
16:09:03.930980,R
16:09:03.947170,*
16:09:04.016221,U
16:09:04.018223,K
16:09:04.033933,Tuning to 24.26.2 for TX channel calibration.
16:09:04.049534,E
16:09:04.161002,R
16:09:04.161002,*
16:09:04.240426,U
16:09:04.240426,K
16:09:04.248433,E
16:09:04.382057,R
16:09:04.382057,*
16:09:04.464363,U
16:09:04.465247,K
