# 20260130
# M2
# Calibrating in parallel with M15
# Channel 17 only

Timestamp,Log
16:46:32.965562,Tuning to 23.29.1 for RX channel calibration.
16:46:33.414061,Tuning to 23.29.2 for RX channel calibration.
16:46:33.877443,Tuning to 23.29.3 for RX channel calibration.
16:46:34.343266,Tuning to 23.29.4 for RX channel calibration.
16:46:34.804785,Tuning to 23.29.5 for RX channel calibration.
16:46:35.253355,Tuning to 23.29.6 for RX channel calibration.
16:46:35.716529,Tuning to 23.29.7 for RX channel calibration.
16:46:36.180646,Tuning to 23.29.8 for RX channel calibration.
16:46:36.644219,Tuning to 23.29.9 for RX channel calibration.
16:46:37.108378,Tuning to 23.29.10 for RX channel calibration.
16:46:37.556239,Tuning to 23.29.11 for RX channel calibration.
16:46:38.020618,Tuning to 23.29.12 for RX channel calibration.
16:46:38.484272,Tuning to 23.29.13 for RX channel calibration.
16:46:38.563920,Y
16:46:38.948457,Tuning to 23.29.14 for RX channel calibration.
16:46:39.220422,Y
16:46:39.396165,Tuning to 23.29.15 for RX channel calibration.
16:46:39.443961,Y
16:46:39.860207,Tuning to 23.29.16 for RX channel calibration.
16:46:39.875936,Y
16:46:40.324876,Tuning to 23.29.17 for RX channel calibration.
16:46:40.531594,Y
16:46:40.787667,Tuning to 23.29.18 for RX channel calibration.
16:46:40.995968,RX channel calibration ended.
16:46:40.996381,*
16:46:41.203582,R
16:46:41.203822,*
16:46:41.411606,R
16:46:41.411699,*
16:46:41.443513,Decrementing RX tuning code to 23.29.17.
16:46:41.635399,R
16:46:41.635478,*
16:46:41.860025,R
16:46:41.860591,*
16:46:42.067563,R
16:46:42.067883,*
16:46:42.099592,Decrementing RX tuning code to 23.29.16.
16:46:42.292116,R
16:46:42.293030,*
16:46:42.467727,s
16:46:42.579383,U
16:46:42.595337,K
16:46:42.595425,E
16:46:42.739333,R
16:46:42.739414,*
16:46:42.803282,U
16:46:42.819346,K
16:46:42.835546,Tuning to 23.26.1 for TX channel calibration.
16:46:42.835611,E
16:46:43.027717,U
16:46:43.028477,K
16:46:43.043942,E
16:46:43.171472,R
16:46:43.171811,*
16:46:43.251771,U
16:46:43.252230,K
16:46:43.283617,Tuning to 23.26.2 for TX channel calibration.
16:46:43.284440,E
16:46:43.459706,U
16:46:43.475576,K
16:46:43.475800,E
16:46:43.683128,U
16:46:43.699104,K
16:46:43.715158,Tuning to 23.26.3 for TX channel calibration.
16:46:43.715222,E
16:46:43.827212,R
16:46:43.827327,*
16:46:43.907386,U
16:46:43.907545,K
16:46:43.923375,E
16:46:44.051268,R
16:46:44.051451,*
16:46:44.131212,U
16:46:44.131471,K
16:46:44.163159,Tuning to 23.26.4 for TX channel calibration.
16:46:44.163309,E
16:46:44.275605,R
16:46:44.276049,*
16:46:44.339735,U
16:46:44.355665,K
16:46:44.355994,E
16:46:44.498975,R
16:46:44.499075,*
16:46:44.563093,U
16:46:44.579106,K
16:46:44.595093,Tuning to 23.26.5 for TX channel calibration.
16:46:44.595163,E
16:46:44.706979,R
16:46:44.707061,*
16:46:44.786950,U
16:46:44.787046,K
16:46:44.802925,E
16:46:44.930964,R
16:46:44.931226,*
16:46:45.010976,U
16:46:45.011089,K
16:46:45.043015,Tuning to 23.26.6 for TX channel calibration.
16:46:45.043112,E
16:46:45.219240,U
16:46:45.235195,K
16:46:45.235366,E
16:46:45.385348,R
16:46:45.385746,*
16:46:45.443434,U
16:46:45.459073,K
16:46:45.475279,Tuning to 23.26.7 for TX channel calibration.
16:46:45.475425,E
16:46:45.586931,R
