# 20260130
# M15
# Calibrating in parallel with M2
# Channel 17 only

Timestamp,Log
16:46:33.446687,Tunto 24.26.1 for RX channel calibration.
16:46:33.914453,Tunto 24.26.2 for RX channel calibration.
16:46:34.381702,Tunto 24.26.3 for RX channel calibration.
16:46:34.836432,Tunto 24.26.4 for RX channel calibration.
16:46:35.291138,Tunto 24.26.5 for RX channel calibration.
16:46:35.744102,Tunto 24.26.6 for RX channel calibration.
16:46:36.209030,Tunto 24.26.7 for RX channel calibration.
16:46:36.681504,Tunto 24.26.8 for RX channel calibration.
16:46:37.145519,Tunto 24.26.9 for RX channel calibration.
16:46:37.607066,Tunto 24.26.10 for RX channel calibration.
16:46:38.070426,Tunto 24.26.11 for RX channel calibration.
16:46:38.520196,Tunto 24.26.12 for RX channel calibration.
16:46:38.978531,Tunto 24.26.13 for RX channel calibration.
16:46:39.445066,Tunto 24.26.14 for RX channel calibration.
16:46:39.898849,Tunto 24.26.15 for RX channel calibration.
16:46:40.163845,Y
16:46:40.371350,Tunto 24.26.16 for RX channel calibration.
16:46:40.611969,RX channel calended.
16:46:40.612844,*
16:46:40.805003,R
16:46:40.805003,*
16:46:41.038632,R
16:46:41.038632,*
16:46:41.248826,R
16:46:41.248826,*
16:46:41.472934,R
16:46:41.472934,*
16:46:41.692893,R
16:46:41.692893,*
16:46:41.920894,R
16:46:41.920894,*
16:46:42.123753,R
16:46:42.123753,*
16:46:42.338759,R
16:46:42.338759,*
16:46:42.574434,R
16:46:42.574434,*
16:46:42.800230,R
16:46:42.800230,*
16:46:43.022805,R
16:46:43.022805,*
16:46:43.224055,R
16:46:43.224055,*
16:46:43.440247,R
16:46:43.455947,*
16:46:43.676755,R
16:46:43.680028,*
16:46:43.891226,R
16:46:43.891226,*
16:46:44.109402,R
16:46:44.109402,*
16:46:44.342689,R
16:46:44.343696,*
16:46:44.557112,R
16:46:44.557112,*
16:46:44.774322,R
16:46:44.774322,*
16:46:44.976862,R
16:46:44.976862,*
16:46:45.212313,R
16:46:45.214332,*
16:46:45.431975,R
16:46:45.431975,*
16:46:45.498329,s
16:46:45.723487,U
16:46:45.739451,K
16:46:45.739451,E
16:46:45.878938,R
16:46:45.878938,*
16:46:45.947232,U
16:46:45.947232,K
16:46:45.967586,Tunto 24.26.1 for TX channel calibration.
16:46:45.980534,E
16:46:46.079392,R
16:46:46.079392,*
16:46:46.166983,U
16:46:46.166983,K
16:46:46.185489,E
16:46:46.312222,R
16:46:46.312222,*
16:46:46.382346,U
16:46:46.382346,K
16:46:46.426670,Tunto 24.26.2 for TX channel calibration.
16:46:46.427700,E
16:46:46.529546,R
16:46:46.529546,*
16:46:46.598091,U
16:46:46.617398,K
16:46:46.617398,E
16:46:46.745761,R
16:46:46.761771,*
16:46:46.815658,U
16:46:46.815658,K
16:46:46.851681,Tunto 24.26.3 for TX channel calibration.
16:46:46.851681,E
16:46:46.965538,R
16:46:46.965538,*
16:46:47.048640,U
16:46:47.048640,K
16:46:47.064847,E
16:46:47.179891,R
16:46:47.179891,*
16:46:47.272690,U
16:46:47.273708,K
16:46:47.298498,Tunto 24.26.4 for TX channel calibration.
16:46:47.298498,E
16:46:47.416267,R
16:46:47.417171,*
16:46:47.480108,U
16:46:47.496419,K
16:46:47.496805,E
16:46:47.639912,R
16:46:47.639912,*
16:46:47.698644,U
16:46:47.719706,K
16:46:47.732592,Tunto 24.26.5 for TX channel calibration.
16:46:47.732592,E
16:46:47.847590,R
16:46:47.847590,*
16:46:47.927856,U
16:46:47.929687,K
16:46:47.934849,E
16:46:48.072402,R
16:46:48.073023,*
16:46:48.150175,U
16:46:48.150175,K
16:46:48.183405,Tunto 24.26.6 for TX channel calibration.
16:46:48.183405,E
16:46:48.294726,R
16:46:48.296014,*
16:46:48.349636,U
16:46:48.375130,K
16:46:48.376213,E
16:46:48.513818,R
16:46:48.513818,*
16:46:48.582993,U
