# 20260131
# M2
# Calibrating in series before M15
# Channel 17 only

Timestamp,Log
15:02:09.779271,Tuning to 23.29.1 for RX channel calibration.
15:02:10.243554,Tuning to 23.29.2 for RX channel calibration.
15:02:10.707100,Tuning to 23.29.3 for RX channel calibration.
15:02:11.155397,Tuning to 23.29.4 for RX channel calibration.
15:02:11.619056,Tuning to 23.29.5 for RX channel calibration.
15:02:12.083360,Tuning to 23.29.6 for RX channel calibration.
15:02:12.547091,Tuning to 23.29.7 for RX channel calibration.
15:02:12.995528,Tuning to 23.29.8 for RX channel calibration.
15:02:13.458831,Tuning to 23.29.9 for RX channel calibration.
15:02:13.922538,Tuning to 23.29.10 for RX channel calibration.
15:02:14.387125,Tuning to 23.29.11 for RX channel calibration.
15:02:14.850391,Tuning to 23.29.12 for RX channel calibration.
15:02:15.298807,Tuning to 23.29.13 for RX channel calibration.
15:02:15.762179,Tuning to 23.29.14 for RX channel calibration.
15:02:16.114401,Y
15:02:16.226678,Tuning to 23.29.15 for RX channel calibration.
15:02:16.338670,Y
15:02:16.689965,Tuning to 23.29.16 for RX channel calibration.
15:02:16.786049,RX channel calibration ended.
15:02:16.786147,*
15:02:16.994640,R
15:02:16.995115,*
15:02:17.426354,R
15:02:17.427056,*
15:02:17.649811,R
15:02:17.649914,*
15:02:17.873927,R
15:02:17.874029,*
15:02:18.098158,R
15:02:18.098348,*
15:02:18.305766,R
15:02:18.305889,*
15:02:18.529955,R
15:02:18.530205,*
15:02:18.753720,R
15:02:18.753818,*
15:02:18.977688,R
15:02:18.977810,*
15:02:19.281749,s
15:02:19.489727,U
15:02:19.489953,K
15:02:19.490004,E
15:02:19.633856,R
15:02:19.633972,*
15:02:19.697601,U
15:02:19.713540,K
15:02:19.745603,Tuning to 23.26.1 for TX channel calibration.
15:02:19.745730,E
15:02:19.921561,U
15:02:19.937512,K
15:02:19.937654,E
15:02:20.145637,U
15:02:20.145853,K
15:02:20.177913,Tuning to 23.26.2 for TX channel calibration.
15:02:20.178075,E
15:02:20.369540,U
15:02:20.369690,K
15:02:20.369743,E
15:02:20.513896,R
15:02:20.514562,*
15:02:20.578047,U
15:02:20.593679,K
15:02:20.625317,Tuning to 23.26.3 for TX channel calibration.
15:02:20.625433,E
15:02:20.721343,R
15:02:20.737307,*
15:02:20.801319,U
15:02:20.801408,K
15:02:20.817255,E
15:02:21.025366,U
15:02:21.025466,K
15:02:21.057349,Tuning to 23.26.4 for TX channel calibration.
15:02:21.057455,E
15:02:21.169319,R
15:02:21.169477,*
15:02:21.249300,U
15:02:21.249402,K
15:02:21.249431,E
15:02:21.393275,R
15:02:21.393363,*
15:02:21.457428,U
15:02:21.473264,K
15:02:21.505231,Tuning to 23.26.5 for TX channel calibration.
15:02:21.505355,E
15:02:21.617249,R
15:02:21.617341,*
15:02:21.681185,U
15:02:21.681285,K
15:02:21.697253,E
15:02:21.825258,R
15:02:21.825361,*
