# 20260131
# M15
# Calibrating in series after M2
# Channel 17 only

Timestamp,Log
15:03:40.714868,Tuning to 24.26.1 for RX channel calibration.
15:03:41.185074,Tuning to 24.26.2 for RX channel calibration.
15:03:41.636529,Tuning to 24.26.3 for RX channel calibration.
15:03:42.104683,Tuning to 24.26.4 for RX channel calibration.
15:03:42.572393,Tuning to 24.26.5 for RX channel calibration.
15:03:43.023096,Tuning to 24.26.6 for RX channel calibration.
15:03:43.485725,Tuning to 24.26.7 for RX channel calibration.
15:03:43.947707,Tuning to 24.26.8 for RX channel calibration.
15:03:44.412987,Tuning to 24.26.9 for RX channel calibration.
15:03:44.865123,Tuning to 24.26.10 for RX channel calibration.
15:03:45.336250,Tuning to 24.26.11 for RX channel calibration.
15:03:45.790585,Tuning to 24.26.12 for RX channel calibration.
15:03:46.244076,Tuning to 24.26.13 for RX channel calibration.
15:03:46.711822,Tuning to 24.26.14 for RX channel calibration.
15:03:47.165103,Tuning to 24.26.15 for RX channel calibration.
15:03:47.425059,Y
15:03:47.632179,Tuning to 24.26.16 for RX channel calibration.
15:03:48.101387,Tuning to 24.26.17 for RX channel calibration.
15:03:48.296715,RX channel calibration ended.
15:03:48.312462,*
15:03:48.508478,R
15:03:48.508478,*
15:03:48.737212,R
15:03:48.737212,*
15:03:48.962190,R
15:03:48.962190,*
15:03:49.188576,R
15:03:49.188576,*
15:03:49.385346,R
15:03:49.385346,*
15:03:49.608305,R
15:03:49.608305,*
15:03:49.836274,R
15:03:49.836274,*
15:03:50.060101,R
15:03:50.060101,*
15:03:50.252951,s
15:03:50.291235,R
15:03:50.291235,*
15:03:50.349516,U
15:03:50.349516,K
15:03:50.365764,E
15:03:50.498724,R
15:03:50.498724,*
15:03:50.562734,U
15:03:50.578869,K
15:03:50.595082,Tuning to 24.26.1 for TX channel calibration.
15:03:50.595082,E
15:03:50.721844,R
15:03:50.722817,*
15:03:50.801501,U
15:03:50.801501,K
15:03:50.801501,E
15:03:50.943585,R
15:03:50.943585,*
15:03:51.008658,U
15:03:51.024828,K
15:03:51.056840,Tuning to 24.26.2 for TX channel calibration.
15:03:51.056840,E
15:03:51.168520,R
15:03:51.168520,*
15:03:51.226770,U
15:03:51.248690,K
15:03:51.248690,E
15:03:51.376558,R
15:03:51.377090,*
15:03:51.456384,U
15:03:51.456384,K
15:03:51.489509,Tuning to 24.26.3 for TX channel calibration.
15:03:51.489509,E
15:03:51.590042,R
15:03:51.590042,*
15:03:51.679991,U
15:03:51.679991,K
15:03:51.679991,E
15:03:51.818536,R
15:03:51.818536,*
15:03:51.883476,U
15:03:51.899743,K
15:03:51.931885,Tuning to 24.26.4 for TX channel calibration.
15:03:51.931885,E
15:03:52.048447,R
15:03:52.048447,*
15:03:52.112018,U
15:03:52.128281,K
15:03:52.128281,E
15:03:52.256010,R
15:03:52.256010,*
15:03:52.336186,U
15:03:52.336186,K
15:03:52.368057,Tuning to 24.26.5 for TX channel calibration.
15:03:52.368057,E
15:03:52.479656,R
15:03:52.479656,*
15:03:52.546101,U
15:03:52.546101,K
15:03:52.575869,E
15:03:52.693001,R
15:03:52.693001,*
15:03:52.757941,U
15:03:52.773979,K
15:03:52.815028,Tuning to 24.26.6 for TX channel calibration.
15:03:52.815028,E
15:03:52.920512,R
15:03:52.920512,*
15:03:52.984922,U
15:03:53.004707,K
15:03:53.004707,E
15:03:53.132489,R
15:03:53.132489,*
15:03:53.212206,U
15:03:53.212206,K
15:03:53.245238,Tuning to 24.26.7 for TX channel calibration.
15:03:53.245238,E
15:03:53.356679,R
15:03:53.356679,*
15:03:53.437337,U
15:03:53.437337,K
15:03:53.453494,E
15:03:53.581618,R
15:03:53.581618,*
15:03:53.659415,U
15:03:53.659415,K
15:03:53.681057,Tuning to 24.26.8 for TX channel calibration.
15:03:53.681057,E
15:03:53.795124,R
15:03:53.795124,*
15:03:53.857869,U
15:03:53.874332,K
15:03:53.874332,E
15:03:54.012249,R
15:03:54.020465,*
15:03:54.089788,U
15:03:54.108234,K
15:03:54.116790,Tuning to 24.26.9 for TX channel calibration.
15:03:54.116790,E
15:03:54.233150,R
15:03:54.233150,*
15:03:54.314263,U
15:03:54.314263,K
15:03:54.329907,E
15:03:54.457333,R
15:03:54.457333,*
15:03:54.538556,U
15:03:54.538556,K
15:03:54.571807,Tuning to 24.26.10 for TX channel calibration.
15:03:54.571807,E
15:03:54.683849,R
15:03:54.683849,*
15:03:54.699711,Decrementing RX tuning code to 24.26.16.
15:03:54.737052,U
15:03:54.750983,K
15:03:54.750983,E
15:03:54.894773,R
15:03:54.894773,*
15:03:54.959402,U
15:03:54.983441,K
15:03:54.991410,Tuning to 24.26.11 for TX channel calibration.
15:03:54.991410,E
15:03:55.108661,R
15:03:55.108661,*
15:03:55.185037,U
15:03:55.185037,K
15:03:55.211030,E
15:03:55.338510,R
15:03:55.338510,*
15:03:55.417712,U
15:03:55.417712,K
15:03:55.443671,Tuning to 24.26.12 for TX channel calibration.
15:03:55.443671,E
15:03:55.556731,R
15:03:55.556731,*
15:03:55.620631,U
15:03:55.636756,K
15:03:55.636756,A
15:03:55.658282,TX channel calibration ended.
15:03:55.658282,d
15:03:55.734237,R
15:03:55.734237,Z
15:03:55.753729,*
15:03:55.753729,X
15:03:55.753729,a
15:03:55.753729,C
15:03:55.785840,R
15:03:55.785840,*
15:03:55.977963,R
15:03:55.977963,*
15:03:56.114993,DAO sent
15:03:56.202229,R
15:03:56.218274,*
15:03:56.248575,U
15:03:56.260531,K
15:03:56.260531,A
15:03:56.438588,R
15:03:56.438588,*
15:03:56.656732,R
15:03:56.656732,*
15:03:56.869516,U
15:03:56.887778,S
15:03:56.999592,DAO sent
15:03:57.095269,R
15:03:57.095269,*
15:03:57.126043,U
15:03:57.143343,K
15:03:57.143343,A
15:03:57.305145,U
15:03:57.305145,S
15:03:57.514100,U
15:03:57.541281,S
15:03:57.869712,DAO sent
15:03:57.965557,U
15:03:57.965557,S
15:03:57.998938,U
15:03:58.014487,K
15:03:58.014487,E
15:03:58.223226,U
15:03:58.242173,K
15:03:58.242173,E
15:03:58.452954,U
15:03:58.469264,K
15:03:58.469264,E
15:03:58.629153,U
15:03:58.645072,S
15:03:58.678522,U
15:03:58.678522,K
15:03:58.693282,E
15:03:58.886739,U
15:03:58.886739,K
15:03:58.904428,E
15:03:59.066268,U
15:03:59.066268,S
15:03:59.100779,U
15:03:59.115296,K
15:03:59.115296,E
15:03:59.295794,U
15:03:59.295794,S
15:03:59.324713,U
15:03:59.340556,K
15:03:59.340556,E
15:03:59.521186,U
15:03:59.521186,S
15:03:59.553140,U
15:03:59.569396,K
15:03:59.569396,E
15:03:59.730784,U
15:03:59.746829,S
15:03:59.779036,U
15:03:59.779036,K
15:03:59.795240,E
15:03:59.939080,U
15:03:59.956918,S
15:04:00.002805,U
15:04:00.002805,K
15:04:00.018601,E
15:04:00.202926,U
15:04:00.214101,K
15:04:00.214101,E
15:04:00.390889,U
15:04:00.390889,S
15:04:00.426062,U
15:04:00.444410,K
15:04:00.444410,E
15:04:00.657776,U
15:04:00.672113,K
15:04:00.672113,E
15:04:00.832818,U
15:04:00.849179,S
15:04:00.881514,U
15:04:00.881514,K
15:04:00.897489,E
15:04:01.099510,U
15:04:01.099510,K
15:04:01.109614,E
15:04:01.274672,U
15:04:01.274672,S
15:04:01.312480,U
15:04:01.324635,K
15:04:01.324635,E
15:04:01.525701,U
15:04:01.544463,K
15:04:01.544463,E
15:04:01.631637,DAO sent
15:04:01.727301,U
15:04:01.727301,S
15:04:01.760082,U
15:04:01.771510,K
15:04:01.771510,E
15:04:01.933450,U
15:04:01.949611,S
15:04:01.981700,U
15:04:01.981700,K
15:04:01.997875,E
15:04:02.147926,U
15:04:02.162153,S
15:04:02.204263,U
15:04:02.204263,K
15:04:02.213469,E
15:04:02.402851,U
15:04:02.426021,K
15:04:02.426021,E
15:04:02.638206,U
15:04:02.648644,K
15:04:02.648644,E
15:04:02.814277,U
15:04:02.828375,S
15:04:02.862190,U
15:04:02.873067,K
15:04:02.873067,E
15:04:03.035746,U
15:04:03.051084,S
15:04:03.085814,U
15:04:03.085814,K
15:04:03.099254,E
15:04:03.296537,U
15:04:03.296537,K
15:04:03.296537,E
15:04:03.472594,U
15:04:03.472594,S
15:04:03.505722,U
15:04:03.520634,K
15:04:03.520634,E
15:04:03.708196,U
15:04:03.708196,S
15:04:03.740484,U
15:04:03.749577,K
15:04:03.749577,E
15:04:03.909246,U
15:04:03.932102,S
15:04:03.963518,U
15:04:03.979426,K
15:04:03.979426,E
15:04:04.136157,U
15:04:04.154463,S
15:04:04.187459,U
15:04:04.187459,K
15:04:04.203594,E
15:04:04.412024,U
15:04:04.412024,K
15:04:04.412024,E
