# Standard error of the farthest node potential in a differential mesh grid.

Number of rows,Number of columns,Squared standard error
1,2,1
1,3,2
1,4,3
1,5,4
1,6,5
1,7,6
1,8,7
1,9,8
1,10,9
1,11,10
1,12,11
1,13,12
1,14,13
1,15,14
1,16,15
1,17,16
1,18,17
1,19,18
1,20,19
2,1,1
2,2,1
2,3,1.4
2,4,1.875
2,5,2.368421
2,6,2.866667
2,7,3.366197
2,8,3.866071
2,9,4.366038
2,10,4.866029
2,11,5.366026
2,12,5.866026
2,13,6.366025
2,14,6.866025
2,15,7.366025
2,16,7.866025
2,17,8.366025
2,18,8.866025
2,19,9.366025
2,20,9.866025
3,1,2
3,2,1.4
3,3,1.5
3,4,1.753623
3,5,2.057416
3,6,2.379545
3,7,2.708602
3,8,3.0403
3,9,3.373008
3,10,3.706103
3,11,4.039345
3,12,4.372643
3,13,4.705963
3,14,5.039291
3,15,5.372623
3,16,5.705955
3,17,6.039288
3,18,6.372622
3,19,6.705955
3,20,7.039288
4,1,3
4,2,1.875
4,3,1.753623
4,4,1.857143
4,5,2.042033
4,6,2.261885
4,7,2.497718
4,8,2.741025
4,9,2.987858
4,10,3.236358
4,11,3.485648
4,12,3.735311
4,13,3.985152
4,14,4.235077
4,15,4.485041
4,16,4.735024
4,17,4.985016
4,18,5.235012
4,19,5.485011
4,20,5.73501
5,1,4
5,2,2.368421
5,3,2.057416
5,4,2.042033
5,5,2.136364
5,6,2.281328
5,7,2.451945
5,8,2.636088
5,9,2.827491
5,10,3.022819
5,11,3.220279
5,12,3.418896
5,13,3.618144
5,14,3.817735
5,15,4.017512
5,16,4.217391
5,17,4.417325
5,18,4.617289
5,19,4.81727
5,20,5.017259
6,1,5
6,2,2.866667
6,3,2.379545
6,4,2.261885
6,5,2.281328
6,6,2.365657
6,7,2.484622
6,8,2.623185
6,9,2.773157
6,10,2.929863
6,11,3.090574
6,12,3.253676
6,13,3.418207
6,14,3.583595
6,15,3.749495
6,16,3.915702
6,17,4.082093
6,18,4.248595
6,19,4.415163
6,20,4.58177
7,1,6
7,2,3.366197
7,3,2.708602
7,4,2.497718
7,5,2.451945
7,6,2.484622
7,7,2.560144
7,8,2.660887
7,9,2.777079
7,10,2.902939
7,11,3.034921
7,12,3.170805
7,13,3.309185
7,14,3.449166
7,15,3.590175
7,16,3.731844
7,17,3.873937
7,18,4.016302
7,19,4.158844
7,20,4.301498
8,1,7
8,2,3.866071
8,3,3.0403
8,4,2.741025
8,5,2.636088
8,6,2.623185
8,7,2.660887
8,8,2.728977
8,9,2.816265
8,10,2.916039
8,11,3.024072
8,12,3.137622
8,13,3.254879
8,14,3.374636
8,15,3.496084
8,16,3.618675
8,17,3.742041
8,18,3.865933
8,19,3.990181
8,20,4.114671
9,1,8
9,2,4.366038
9,3,3.373008
9,4,2.987858
9,5,2.827491
9,6,2.773157
9,7,2.777079
9,8,2.816265
9,9,2.878117
9,10,2.955079
9,11,3.042339
9,12,3.136715
9,13,3.236047
9,14,3.338854
9,15,3.444101
9,16,3.551069
9,17,3.659251
9,18,3.768291
9,19,3.877936
9,20,3.988011
10,1,9
10,2,4.866029
10,3,3.706103
10,4,3.236358
10,5,3.022819
10,6,2.929863
10,7,2.902939
10,8,2.916039
10,9,2.955079
10,10,3.01167
10,11,3.080464
10,12,3.157896
10,13,3.24151
10,14,3.32958
10,15,3.42088
10,16,3.514527
10,17,3.609885
10,18,3.70649
10,19,3.804006
10,20,3.902189
11,1,10
11,2,5.366026
11,3,4.039345
11,4,3.485648
11,5,3.220279
11,6,3.090574
11,7,3.034921
11,8,3.024072
11,9,3.042339
11,10,3.080464
11,11,3.132577
11,12,3.194755
11,13,3.26428
11,14,3.339219
11,15,3.418173
11,16,3.500117
11,17,3.584297
11,18,3.67015
11,19,3.757257
11,20,3.845307
12,1,11
12,2,5.866026
12,3,4.372643
12,4,3.735311
12,5,3.418896
12,6,3.253676
12,7,3.170805
12,8,3.137622
12,9,3.136715
12,10,3.157896
12,11,3.194755
12,12,3.243023
12,13,3.299735
12,14,3.362772
12,15,3.430585
12,16,3.502025
12,17,3.57623
12,18,3.65255
12,19,3.730491
12,20,3.809674
13,1,12
13,2,6.366025
13,3,4.705963
13,4,3.985152
13,5,3.618144
13,6,3.418207
13,7,3.309185
13,8,3.254879
13,9,3.236047
13,10,3.24151
13,11,3.26428
13,12,3.299735
13,13,3.34467
13,14,3.396792
13,15,3.454415
13,16,3.516281
13,17,3.581434
13,18,3.649144
13,19,3.718847
13,20,3.790107
14,1,13
14,2,6.866025
14,3,5.039291
14,4,4.235077
14,5,3.817735
14,6,3.583595
14,7,3.449166
14,8,3.374636
14,9,3.338854
14,10,3.32958
14,11,3.339219
14,12,3.362772
14,13,3.396792
14,14,3.438815
14,15,3.487029
14,16,3.540072
14,17,3.596907
14,18,3.65673
14,19,3.718918
14,20,3.782982
15,1,14
15,2,7.366025
15,3,5.372623
15,4,4.485041
15,5,4.017512
15,6,3.749495
15,7,3.590175
15,8,3.496084
15,9,3.444101
15,10,3.42088
15,11,3.418173
15,12,3.430585
15,13,3.454415
15,14,3.487029
15,15,3.526488
15,16,3.571335
15,17,3.620456
15,18,3.672983
15,19,3.728238
15,20,3.785683
16,1,15
16,2,7.866025
16,3,5.705955
16,4,4.735024
16,5,4.217391
16,6,3.915702
16,7,3.731844
16,8,3.618675
16,9,3.551069
16,10,3.514527
16,11,3.500117
16,12,3.502025
16,13,3.516281
16,14,3.540072
16,15,3.571335
16,16,3.60852
16,17,3.650438
16,18,3.696163
16,19,3.744965
16,20,3.796265
17,1,16
17,2,8.366025
17,3,6.039288
17,4,4.985016
17,5,4.417325
17,6,4.082093
17,7,3.873937
17,8,3.742041
17,9,3.659251
17,10,3.609885
17,11,3.584297
17,12,3.57623
17,13,3.581434
17,14,3.596907
17,15,3.620456
17,16,3.650438
17,17,3.685592
17,18,3.724938
17,19,3.767697
17,20,3.813249
18,1,17
18,2,8.866025
18,3,6.372622
18,4,5.235012
18,5,4.617289
18,6,4.248595
18,7,4.016302
18,8,3.865933
18,9,3.768291
18,10,3.70649
18,11,3.67015
18,12,3.65255
18,13,3.649144
18,14,3.65673
18,15,3.672983
18,16,3.696163
18,17,3.724938
18,18,3.758271
18,19,3.79534
18,20,3.835487
19,1,18
19,2,9.366025
19,3,6.705955
19,4,5.485011
19,5,4.81727
19,6,4.415163
19,7,4.158844
19,8,3.990181
19,9,3.877936
19,10,3.804006
19,11,3.757257
19,12,3.730491
19,13,3.718847
19,14,3.718918
19,15,3.728238
19,16,3.744965
19,17,3.767697
19,18,3.79534
19,19,3.827028
19,20,3.862068
20,1,19
20,2,9.866025
20,3,7.039288
20,4,5.73501
20,5,5.017259
20,6,4.58177
20,7,4.301498
20,8,4.114671
20,9,3.988011
20,10,3.902189
20,11,3.845307
20,12,3.809674
20,13,3.790107
20,14,3.782982
20,15,3.785683
20,16,3.796265
20,17,3.813249
20,18,3.835487
20,19,3.862068
20,20,3.892266
