Number of rows,Number of columns,Number of iterations
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,3,3
1,3,2
1,3,2
1,3,3
1,3,2
1,3,3
1,3,3
1,3,3
1,3,3
1,3,3
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,2
1,3,3
1,3,2
1,3,2
1,3,2
1,3,3
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,3
1,3,2
1,3,3
1,3,2
1,3,2
1,3,3
1,3,3
1,3,2
1,3,3
1,3,3
1,3,3
1,3,2
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,3
1,3,2
1,3,3
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,3
1,3,3
1,3,3
1,3,2
1,3,2
1,3,3
1,3,3
1,3,3
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,3
1,3,2
1,3,2
1,3,2
1,3,2
1,3,3
1,3,2
1,3,2
1,3,2
1,3,3
1,3,3
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,3
1,3,2
1,3,2
1,3,3
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,2
1,3,3
1,4,10
1,4,22
1,4,16
1,4,17
1,4,19
1,4,21
1,4,24
1,4,20
1,4,21
1,4,16
1,4,15
1,4,15
1,4,20
1,4,19
1,4,20
1,4,19
1,4,17
1,4,20
1,4,16
1,4,14
1,4,19
1,4,20
1,4,12
1,4,24
1,4,18
1,4,16
1,4,18
1,4,20
1,4,18
1,4,19
1,4,23
1,4,18
1,4,18
1,4,22
1,4,21
1,4,23
1,4,22
1,4,22
1,4,24
1,4,18
1,4,20
1,4,24
1,4,16
1,4,19
1,4,11
1,4,21
1,4,12
1,4,17
1,4,9
1,4,22
1,4,20
1,4,20
1,4,11
1,4,15
1,4,14
1,4,11
1,4,18
1,4,15
1,4,21
1,4,18
1,4,12
1,4,21
1,4,22
1,4,18
1,4,22
1,4,19
1,4,17
1,4,19
1,4,15
1,4,18
1,4,22
1,4,18
1,4,17
1,4,10
1,4,18
1,4,18
1,4,16
1,4,18
1,4,22
1,4,22
1,4,19
1,4,18
1,4,9
1,4,16
1,4,22
1,4,14
1,4,16
1,4,23
1,4,18
1,4,20
1,4,23
1,4,22
1,4,20
1,4,16
1,4,11
1,4,22
1,4,9
1,4,24
1,4,23
1,4,14
1,5,24
1,5,18
1,5,11
1,5,30
1,5,25
1,5,28
1,5,39
1,5,31
1,5,43
1,5,35
1,5,26
1,5,32
1,5,39
1,5,32
1,5,40
1,5,29
1,5,28
1,5,41
1,5,37
1,5,44
1,5,36
1,5,36
1,5,40
1,5,23
1,5,28
1,5,39
1,5,26
1,5,38
1,5,40
1,5,40
1,5,36
1,5,31
1,5,27
1,5,38
1,5,41
1,5,23
1,5,32
1,5,43
1,5,41
1,5,32
1,5,30
1,5,27
1,5,37
1,5,36
1,5,32
1,5,23
1,5,37
1,5,29
1,5,39
1,5,47
1,5,43
1,5,36
1,5,41
1,5,36
1,5,40
1,5,18
1,5,38
1,5,23
1,5,33
1,5,21
1,5,39
1,5,36
1,5,41
1,5,38
1,5,34
1,5,21
1,5,26
1,5,23
1,5,41
1,5,37
1,5,26
1,5,39
1,5,13
1,5,44
1,5,41
1,5,26
1,5,15
1,5,32
1,5,12
1,5,37
1,5,32
1,5,33
1,5,27
1,5,42
1,5,39
1,5,37
1,5,32
1,5,38
1,5,32
1,5,33
1,5,18
1,5,42
1,5,27
1,5,32
1,5,29
1,5,35
1,5,23
1,5,29
1,5,34
1,5,40
1,6,75
1,6,74
1,6,73
1,6,77
1,6,57
1,6,65
1,6,61
1,6,53
1,6,63
1,6,56
1,6,16
1,6,52
1,6,80
1,6,67
1,6,72
1,6,80
1,6,92
1,6,43
1,6,71
1,6,23
1,6,47
1,6,54
1,6,65
1,6,78
1,6,81
1,6,53
1,6,41
1,6,77
1,6,36
1,6,16
1,6,61
1,6,86
1,6,62
1,6,72
1,6,77
1,6,87
1,6,82
1,6,55
1,6,30
1,6,55
1,6,72
1,6,76
1,6,85
1,6,73
1,6,60
1,6,61
1,6,76
1,6,76
1,6,76
1,6,89
1,6,80
1,6,69
1,6,79
1,6,79
1,6,60
1,6,85
1,6,65
1,6,77
1,6,71
1,6,81
1,6,81
1,6,21
1,6,75
1,6,69
1,6,83
1,6,82
1,6,86
1,6,53
1,6,88
1,6,78
1,6,81
1,6,79
1,6,23
1,6,80
1,6,78
1,6,59
1,6,74
1,6,30
1,6,27
1,6,80
1,6,81
1,6,87
1,6,82
1,6,79
1,6,89
1,6,67
1,6,65
1,6,42
1,6,77
1,6,80
1,6,79
1,6,29
1,6,47
1,6,76
1,6,74
1,6,62
1,6,51
1,6,65
1,6,28
1,6,66
1,7,111
1,7,121
1,7,36
1,7,130
1,7,129
1,7,94
1,7,109
1,7,111
1,7,99
1,7,121
1,7,34
1,7,120
1,7,117
1,7,131
1,7,68
1,7,83
1,7,79
1,7,99
1,7,37
1,7,87
1,7,111
1,7,104
1,7,115
1,7,126
1,7,121
1,7,115
1,7,32
1,7,64
1,7,107
1,7,35
1,7,125
1,7,119
1,7,99
1,7,120
1,7,99
1,7,89
1,7,124
1,7,122
1,7,58
1,7,84
1,7,116
1,7,104
1,7,51
1,7,43
1,7,110
1,7,116
1,7,111
1,7,115
1,7,99
1,7,129
1,7,134
1,7,112
1,7,67
1,7,88
1,7,132
1,7,125
1,7,89
1,7,116
1,7,131
1,7,124
1,7,69
1,7,109
1,7,127
1,7,92
1,7,99
1,7,128
1,7,95
1,7,36
1,7,98
1,7,106
1,7,124
1,7,126
1,7,140
1,7,119
1,7,94
1,7,83
1,7,109
1,7,114
1,7,96
1,7,137
1,7,56
1,7,107
1,7,127
1,7,122
1,7,122
1,7,71
1,7,115
1,7,121
1,7,74
1,7,109
1,7,112
1,7,121
1,7,134
1,7,95
1,7,123
1,7,115
1,7,90
1,7,136
1,7,113
1,7,127
1,8,204
1,8,206
1,8,200
1,8,190
1,8,172
1,8,114
1,8,210
1,8,138
1,8,222
1,8,205
1,8,175
1,8,170
1,8,198
1,8,185
1,8,210
1,8,183
1,8,175
1,8,82
1,8,216
1,8,133
1,8,219
1,8,186
1,8,161
1,8,135
1,8,120
1,8,152
1,8,227
1,8,189
1,8,167
1,8,155
1,8,185
1,8,171
1,8,168
1,8,184
1,8,167
1,8,154
1,8,190
1,8,165
1,8,96
1,8,181
1,8,195
1,8,199
1,8,87
1,8,212
1,8,200
1,8,173
1,8,104
1,8,113
1,8,168
1,8,201
1,8,151
1,8,150
1,8,169
1,8,188
1,8,158
1,8,131
1,8,176
1,8,117
1,8,216
1,8,169
1,8,46
1,8,151
1,8,223
1,8,170
1,8,206
1,8,185
1,8,179
1,8,156
1,8,140
1,8,225
1,8,33
1,8,169
1,8,100
1,8,120
1,8,163
1,8,127
1,8,153
1,8,206
1,8,43
1,8,189
1,8,209
1,8,130
1,8,144
1,8,148
1,8,209
1,8,195
1,8,176
1,8,62
1,8,157
1,8,194
1,8,115
1,8,211
1,8,171
1,8,190
1,8,201
1,8,116
1,8,167
1,8,159
1,8,126
1,8,154
1,9,217
1,9,105
1,9,187
1,9,263
1,9,253
1,9,56
1,9,197
1,9,239
1,9,133
1,9,253
1,9,241
1,9,306
1,9,293
1,9,264
1,9,211
1,9,273
1,9,260
1,9,186
1,9,233
1,9,209
1,9,274
1,9,225
1,9,249
1,9,163
1,9,104
1,9,208
1,9,278
1,9,270
1,9,267
1,9,210
1,9,101
1,9,167
1,9,298
1,9,177
1,9,284
1,9,238
1,9,285
1,9,236
1,9,175
1,9,252
1,9,268
1,9,169
1,9,51
1,9,241
1,9,92
1,9,231
1,9,187
1,9,298
1,9,253
