# Standard error of the farthest node potential in a square differential mesh grid.

Number of rows,Number of columns,Squared standard error
1,1,0
2,2,1
3,3,1.5
4,4,1.857143
5,5,2.136364
6,6,2.365657
7,7,2.560144
8,8,2.728977
9,9,2.878117
10,10,3.01167
11,11,3.132577
12,12,3.243023
13,13,3.34467
14,14,3.438815
15,15,3.526488
16,16,3.60852
17,17,3.685592
18,18,3.758271
19,19,3.827028
20,20,3.892266
21,21,3.954326
22,22,4.013504
23,23,4.070055
24,24,4.124203
25,25,4.176143
26,26,4.226049
27,27,4.274073
28,28,4.320352
29,29,4.365009
30,30,4.408153
31,31,4.449883
32,32,4.49029
33,33,4.529454
34,34,4.56745
35,35,4.604345
36,36,4.640202
37,37,4.675076
38,38,4.709021
39,39,4.742085
40,40,4.774312
41,41,4.805744
42,42,4.836418
43,43,4.866371
44,44,4.895636
45,45,4.924243
46,46,4.952222
47,47,4.979599
48,48,5.0064
49,49,5.032649
50,50,5.058368
51,51,5.083577
52,52,5.108297
53,53,5.132546
54,54,5.156342
55,55,5.179702
56,56,5.202641
57,57,5.225173
58,58,5.247315
59,59,5.269077
60,60,5.290474
61,61,5.311518
62,62,5.332219
63,63,5.352589
64,64,5.372638
65,65,5.392377
66,66,5.411814
67,67,5.430959
68,68,5.44982
69,69,5.468407
70,70,5.486725
71,71,5.504784
72,72,5.522591
73,73,5.540151
74,74,5.557473
75,75,5.574563
76,76,5.591426
77,77,5.608069
78,78,5.624497
79,79,5.640715
80,80,5.65673
81,81,5.672546
82,82,5.688168
83,83,5.7036
84,84,5.718848
85,85,5.733915
86,86,5.748806
87,87,5.763525
88,88,5.778076
89,89,5.792462
90,90,5.806687
91,91,5.820756
92,92,5.83467
93,93,5.848435
94,94,5.862052
95,95,5.875525
96,96,5.888856
97,97,5.90205
98,98,5.915108
99,99,5.928034
100,100,5.94083
