# Extracted with StarRC U-2022.12-SP3.

Analog tuning code,"Frequency (rcss, temp=-40) [V]","Frequency (rcss, temp=85) [V]","Frequency (rxsf, temp=-40) [V]","Frequency (rxsf, temp=85) [V]","Frequency (rxfs, temp=-40) [V]","Frequency (rxfs, temp=85) [V]","Frequency (rcff, temp=-40) [V]","Frequency (rcff, temp=85) [V]","Frequency (tttt, temp=27) [V]","Frequency (nom, temp=27) [V]"
0,39.16036168035504,39.52367147230699,42.0814425325812,41.4435076049917,42.46236285910977,41.71250703187911,44.99668951617645,43.80154475335293,42.46291272267209,42.46291272267209
2560,38.85782772903367,39.21526244069921,41.74244231265728,,42.11273573779035,41.36451090554496,44.61909575648395,43.43871801649974,42.11688601100492,42.11688601100492
5120,38.550863307742,38.88794858326175,41.39338355092771,40.7571800579259,41.76451908285273,41.02593757241255,44.23180420387942,43.05641002202998,41.76062360297357,41.76062360297357
7680,38.2515441328458,38.58176268468219,41.06720905464946,40.42413545664284,41.4313175026139,40.68571001637489,43.87546692302124,42.70454317509492,41.43290880926996,41.43290880926996
10240,37.96041564370896,38.28545891455203,40.74377185551821,40.10763526435144,41.09861193832181,40.36038546628821,43.51182600813482,42.3552908267951,41.08949754483097,41.08949754483097
12800,37.66738548645653,,40.41347315988535,39.78298707702623,40.77519338131835,40.03262699604692,43.15120907111526,42.00536204444361,40.7700529522007,40.7700529522007
15360,37.38640979280596,37.69021936281604,40.09389113133674,39.46397630683649,40.44639186307506,39.71457596118224,42.80115574901088,41.6649728617334,40.44137580578206,40.44137580578206
17920,37.08967008198584,37.39478007136158,39.77020305089325,39.13930739535514,40.12314325550979,39.39411341450007,42.44157531459366,41.31910606555077,40.10472342761284,40.10472342761284
20480,36.81932781297369,37.10997154090964,39.45933357066779,38.83553862801363,39.80522776415244,39.08210008060019,42.10178608723918,40.98009297422543,39.79483059623803,39.79483059623803
23040,36.54562644559083,36.8326940857368,39.16100426317892,38.54256145971528,39.50212665621524,38.79064451672284,41.77514669517244,40.65964900422935,39.49087976436132,39.49087976436132
25600,36.27788847990338,,38.86138198089009,38.25193053864218,39.20572295256176,38.490697537201,41.44767801389363,40.34087660818769,39.18063489096449,39.18063489096449
28160,36.01649109710682,36.29023566179309,38.57559990294522,37.96157696454328,38.90724197868864,38.19470016587128,41.12784935570908,40.03577902518187,38.88661184847929,38.88661184847929
30720,35.75889168496245,36.02439601259381,38.28591749214002,37.674762050399,38.61929369721602,37.90747290316708,40.80674571115345,39.72450276015624,38.60236766380298,38.60236766380298
33280,35.4843472344235,,37.98191676066842,37.37701523892892,38.31098462069158,37.60537361799503,40.47631809146358,39.39896997772983,38.29221968467046,38.29221968467046
35840,35.23723698070728,35.48834340288529,37.70369141668821,37.09980585104405,38.02847352890933,37.33117431041344,40.16980458513293,39.09794531132178,38.00898845000593,38.00898845000593
38400,34.99873951039149,35.23911379029856,37.42565180731029,36.82019860482647,37.74775854639526,37.04748281085525,39.86394811466347,38.80053580530381,37.72014725812872,37.72014725812872
40960,34.74188335121331,,37.1618974016357,,37.47505821396846,36.7804041681053,39.56928651834949,38.52088056520472,37.45277369188464,37.45277369188464
43520,34.51024672535641,34.74282600690753,36.89413082025916,36.29084388680733,37.2122553497161,36.52080896002949,39.27855104983597,38.23225365115854,37.19014095308202,37.19014095308202
46080,34.26441458208051,34.49430338972178,36.63119820380352,36.0326471691876,36.93770086904904,,38.98605223377299,37.94748429416171,36.90518205027408,36.90518205027408
48640,34.03503665710413,34.256615230882,36.37070716059106,,36.68285773294473,35.99188215333205,38.70608674327838,37.6737083090265,36.65246134879847,36.65246134879847
51200,33.79379461179942,34.01429756644334,36.11060629756134,35.51282290504771,36.42055902438077,35.72741862993575,38.41598404850956,37.39652425015104,36.38552484347499,36.38552484347499
53760,33.57704596429674,33.78308252034122,35.85043928066155,35.26558885956097,36.15616982388093,,38.13592835708866,37.12232614667742,36.12402790460492,36.12402790460492
56320,33.34300150906949,,35.60415349527127,35.01908156441119,35.90541775901534,,37.86634423035472,36.86109417155775,35.87156102367995,35.87156102367995
58880,33.12328784082216,33.32440122284271,35.35966662242509,34.78337409419482,35.65841586453051,,37.59760298028579,36.59621824202438,35.62124785357989,35.62124785357989
61440,32.90577156345937,,35.11796960153596,34.53307746709938,35.42042816736307,34.74246272211053,37.33348976552612,36.34077535303465,35.37595583109579,35.37595583109579
64000,32.6959256830427,32.89342263411054,34.8897825833359,34.30924541318152,35.17764989840152,,37.07795391774487,36.09515595787611,35.15553531286137,35.15553531286137
65280,32.58750572883457,32.77954832023693,34.76817972206512,34.19246009322266,35.06284041697629,,36.94989814467837,35.96285801322965,35.02996466306835,35.02996466306835
