# 20240708
# Chip 12
# Digital clock tuning: 6b'000010
# FFT bin spacing: 610.352 MHz

Frequency [Hz],Power [dBm]
0E+00,-4.4E-01
6.1E+05,4.3E-01
1.22E+06,-6.79E+00
1.83E+06,-2.579E+01
2.44E+06,-2.935E+01
3.05E+06,-4.170E+01
3.66E+06,-4.038E+01
4.27E+06,-4.315E+01
4.88E+06,-4.981E+01
5.49E+06,-4.881E+01
6.10E+06,-4.842E+01
6.71E+06,-4.522E+01
7.32E+06,-4.049E+01
7.93E+06,-4.228E+01
8.54E+06,-4.614E+01
9.16E+06,-4.677E+01
9.77E+06,-4.808E+01
1.038E+07,-3.419E+01
1.099E+07,-2.914E+01
1.160E+07,-2.865E+01
1.221E+07,-3.145E+01
1.282E+07,-3.248E+01
1.343E+07,-3.105E+01
1.404E+07,-3.231E+01
1.465E+07,-3.700E+01
1.526E+07,-5.057E+01
1.587E+07,-3.652E+01
1.648E+07,-3.341E+01
1.709E+07,-3.415E+01
1.770E+07,-3.645E+01
1.831E+07,-4.508E+01
1.892E+07,-4.566E+01
1.953E+07,-3.971E+01
2.014E+07,-3.604E+01
2.075E+07,-3.272E+01
2.136E+07,-3.215E+01
2.197E+07,-3.439E+01
2.258E+07,-3.716E+01
2.319E+07,-3.871E+01
2.380E+07,-4.030E+01
2.441E+07,-3.418E+01
2.502E+07,-3.268E+01
2.563E+07,-3.782E+01
2.625E+07,-6.018E+01
2.686E+07,-4.285E+01
2.747E+07,-3.454E+01
2.808E+07,-3.168E+01
2.869E+07,-3.661E+01
2.930E+07,-3.962E+01
2.991E+07,-3.423E+01
3.052E+07,-3.775E+01
3.113E+07,-3.309E+01
3.174E+07,-2.453E+01
3.235E+07,-2.030E+01
3.296E+07,-1.969E+01
3.357E+07,-2.162E+01
3.418E+07,-2.304E+01
3.479E+07,-2.471E+01
3.540E+07,-1.886E+01
3.601E+07,-1.569E+01
3.662E+07,-1.685E+01
3.723E+07,-3.082E+01
3.784E+07,-1.260E+01
3.845E+07,-5.08E+00
3.906E+07,-3.09E+00
3.967E+07,-5.15E+00
4.028E+07,-1.102E+01
4.089E+07,-1.947E+01
4.150E+07,-2.022E+01
4.211E+07,-1.827E+01
4.272E+07,-2.235E+01
4.333E+07,-2.931E+01
4.395E+07,-2.527E+01
4.456E+07,-2.011E+01
4.517E+07,-1.821E+01
4.578E+07,-2.046E+01
4.639E+07,-2.648E+01
4.700E+07,-3.786E+01
4.761E+07,-3.725E+01
4.822E+07,-3.166E+01
4.883E+07,-3.301E+01
4.944E+07,-3.672E+01
5.005E+07,-3.791E+01
5.066E+07,-3.525E+01
5.127E+07,-3.257E+01
5.188E+07,-3.125E+01
5.249E+07,-3.192E+01
5.310E+07,-3.221E+01
5.371E+07,-3.306E+01
5.432E+07,-3.811E+01
5.493E+07,-4.639E+01
5.554E+07,-3.863E+01
5.615E+07,-3.891E+01
5.676E+07,-4.319E+01
5.737E+07,-3.766E+01
5.798E+07,-3.543E+01
5.859E+07,-3.448E+01
5.920E+07,-3.500E+01
5.981E+07,-3.757E+01
6.042E+07,-3.968E+01
6.104E+07,-4.001E+01
6.165E+07,-3.999E+01
6.226E+07,-4.153E+01
6.287E+07,-3.898E+01
6.348E+07,-3.422E+01
6.409E+07,-3.218E+01
6.470E+07,-3.328E+01
6.531E+07,-3.643E+01
6.592E+07,-3.291E+01
6.653E+07,-3.040E+01
6.714E+07,-3.103E+01
6.775E+07,-3.432E+01
6.836E+07,-3.970E+01
6.897E+07,-4.203E+01
6.958E+07,-4.951E+01
7.019E+07,-4.594E+01
7.080E+07,-4.107E+01
7.141E+07,-4.534E+01
7.202E+07,-4.457E+01
7.263E+07,-3.933E+01
7.324E+07,-4.050E+01
7.385E+07,-4.599E+01
7.446E+07,-4.295E+01
7.507E+07,-3.928E+01
7.568E+07,-3.959E+01
7.629E+07,-4.496E+01
7.690E+07,-5.629E+01
7.751E+07,-4.233E+01
7.812E+07,-4.008E+01
7.874E+07,-4.186E+01
7.935E+07,-4.680E+01
7.996E+07,-5.266E+01
8.057E+07,-5.302E+01
8.118E+07,-4.755E+01
8.179E+07,-4.292E+01
8.240E+07,-4.039E+01
8.301E+07,-4.012E+01
8.362E+07,-4.273E+01
8.423E+07,-4.526E+01
8.484E+07,-4.038E+01
8.545E+07,-3.816E+01
8.606E+07,-3.995E+01
8.667E+07,-4.324E+01
8.728E+07,-4.435E+01
8.789E+07,-5.550E+01
8.850E+07,-3.776E+01
8.911E+07,-3.398E+01
8.972E+07,-3.484E+01
9.033E+07,-3.754E+01
9.094E+07,-3.746E+01
9.155E+07,-3.676E+01
9.216E+07,-3.775E+01
9.277E+07,-4.183E+01
9.338E+07,-5.840E+01
9.399E+07,-4.099E+01
9.460E+07,-3.640E+01
9.521E+07,-3.501E+01
9.583E+07,-3.459E+01
9.644E+07,-3.437E+01
9.705E+07,-3.650E+01
9.766E+07,-5.055E+01
9.827E+07,-3.904E+01
9.888E+07,-3.520E+01
9.949E+07,-3.752E+01
1.0010E+08,-3.980E+01
1.0071E+08,-4.025E+01
1.0132E+08,-4.712E+01
1.0193E+08,-4.764E+01
1.0254E+08,-3.999E+01
1.0315E+08,-3.675E+01
1.0376E+08,-3.679E+01
1.0437E+08,-4.151E+01
1.0498E+08,-4.288E+01
1.0559E+08,-3.532E+01
1.0620E+08,-3.622E+01
1.0681E+08,-5.277E+01
1.0742E+08,-3.343E+01
1.0803E+08,-3.265E+01
1.0864E+08,-3.627E+01
1.0925E+08,-3.188E+01
1.0986E+08,-2.931E+01
1.1047E+08,-2.951E+01
1.1108E+08,-3.208E+01
1.1169E+08,-3.083E+01
1.1230E+08,-2.865E+01
1.1292E+08,-2.887E+01
1.1353E+08,-2.525E+01
