# Resistor 1 (temperature control): 5b'10101, resistor 2 (voltage control): 5b'01100

LDO_VIN [V],"BG_REF (rcss, temp=-40) [V]","BG_REF (rcss, temp=85) [V]","BG_REF (rxsf, temp=-40) [V]","BG_REF (rxsf, temp=85) [V]","BG_REF (rxfs, temp=-40) [V]","BG_REF (rxfs, temp=85) [V]","BG_REF (rcff, temp=-40) [V]","BG_REF (rcff, temp=85) [V]","BG_REF (tttt, temp=27) [V]","BG_REF (nom, temp=27) [V]"
0,-4.523627774342879e-06,-5.360585667946319e-06,-4.523441225758747e-06,-4.006597782091477e-06,-4.178951387470562e-06,-4.338318311637792e-06,-4.178799417370656e-06,-2.984430287882798e-06,-4.866272846514034e-06,-4.866272846514034e-06
0.032,-4.501317158950296e-06,-4.318430845354254e-06,-4.492955227928435e-06,1.24927410993414e-05,-4.156571867303677e-06,-3.280297391613077e-06,-4.146402179856214e-06,1.345768196957181e-05,-4.674929666272979e-06,-4.674929666272979e-06
0.064,-4.478821455205895e-06,-3.897473343992009e-06,-4.453756662258836e-06,1.834311202787733e-05,-4.133982741987012e-06,-2.85123679706475e-06,-4.103120140738679e-06,1.929042657308839e-05,-4.569820800764684e-06,-4.569820800764684e-06
0.096,-4.455730588479236e-06,-3.70084661396048e-06,-4.387879944682416e-06,2.060641477001679e-05,-4.110639385890339e-06,-2.652608540929703e-06,-4.026578581733297e-06,2.154736330762139e-05,-4.482136138188718e-06,-4.482136138188718e-06
0.128,-4.430911066338011e-06,-3.577255869139109e-06,-4.248428309122415e-06,2.179818884553952e-05,-4.085084215799605e-06,-2.530937594898215e-06,-3.857983835684724e-06,2.273521928766676e-05,-4.384152212385557e-06,-4.384152212385557e-06
0.16,-4.401146686306363e-06,-3.476316749876323e-06,-3.909373610534179e-06,2.266452214282322e-05,-4.053182056704186e-06,-2.434025996561965e-06,-3.440091554220568e-06,2.359843279093036e-05,-4.25897575206065e-06,-4.25897575206065e-06
0.192,-4.357227066197769e-06,-3.382134620112771e-06,-3.032223118087956e-06,2.341441240505376e-05,-4.003063636866567e-06,-2.344995019186896e-06,-2.347052870027353e-06,2.434678627954809e-05,-4.088600429228236e-06,-4.088600429228236e-06
0.224,-4.273019924083608e-06,-3.289042410908553e-06,-7.023843885311387e-07,2.411380943806341e-05,-3.900923507772439e-06,-2.257807521784526e-06,5.734025001645346e-07,2.505237391258833e-05,-3.831122661742282e-06,-3.831122661742282e-06
0.256,-4.07386754455295e-06,-3.194227190832003e-06,5.545978157464059e-06,2.478981256739671e-05,-3.649721499214898e-06,-2.170306341048067e-06,8.438123539087774e-06,2.575362781345364e-05,-3.393867126760079e-06,-3.393867126760079e-06
0.288,-3.546884407978695e-06,-3.097332122183206e-06,2.235807067765886e-05,2.545764658672181e-05,-2.966738007424155e-06,-2.08132874358121e-06,2.967896378215697e-05,2.643404268318158e-05,-2.645509647887756e-06,-2.645509647887756e-06
0.3200000000000001,-2.084985573893567e-06,-2.996389574502885e-06,6.763277841205399e-05,2.615303490271817e-05,-1.056363370849977e-06,-1.989847818061265e-06,8.711703309903205e-05,2.711902842743192e-05,-1.25190977077591e-06,-1.25190977077591e-06
0.3520000000000001,2.042736565856221e-06,-2.889709952542821e-06,0.0001895466081029706,2.690191947199581e-05,4.36852207068978e-06,-1.894959305642893e-06,0.0002425609779365368,2.782203196698711e-05,1.438430911897203e-06,1.438430911897203e-06
0.3840000000000001,1.377079374555706e-05,-2.775127132692482e-06,0.0005177232429709931,2.76598591000137e-05,1.984821244016674e-05,-1.795342986505284e-06,0.0006635665988609475,2.855875322030734e-05,6.748107216177466e-06,6.748107216177466e-06
