# Resistor 1 (temperature control): 5b'10101
# LDO_VIN: 1.5 V

VREF_CTRL,"BG_REF (rcss, temp=-40) [V]","BG_REF (rcss, temp=85) [V]","BG_REF (rxsf, temp=-40) [V]","BG_REF (rxsf, temp=85) [V]","BG_REF (rxfs, temp=-40) [V]","BG_REF (rxfs, temp=85) [V]","BG_REF (rcff, temp=-40) [V]","BG_REF (rcff, temp=85) [V]","BG_REF (tttt, temp=27) [V]","BG_REF (nom, temp=27) [V]"
0,869.9e-3,874.9e-3,860.3e-3,74.36e-3,851.3e-3,677.8e-3,841.4e-3,483.7e-6,846.7e-3,846.7e-3
1,862.9e-3,868e-3,854.7e-3,73.77e-3,844.3e-3,672.2e-3,835.8e-3,481.4e-6,840.4e-3,840.4e-3
2,854.5e-3,859.7e-3,848e-3,73.04e-3,836.1e-3,665.6e-3,829.3e-3,478.9e-6,832.9e-3,832.9e-3
3,846.4e-3,851.6e-3,841.5e-3,72.35e-3,828e-3,659.2e-3,822.8e-3,476.2e-6,825.6e-3,825.6e-3
4,837.4e-3,842.4e-3,834.3e-3,71.56e-3,819.2e-3,652e-3,815.7e-3,473.7e-6,817.4e-3,817.4e-3
5,830.2e-3,835.5e-3,828.5e-3,70.96e-3,812.2e-3,646.5e-3,810e-3,471.4e-6,811.1e-3,811.1e-3
6,820.6e-3,825.6e-3,820.7e-3,70.11e-3,802.7e-3,638.6e-3,802.4e-3,468.2e-6,802.2e-3,802.2e-3
7,812.4e-3,817.5e-3,814.1e-3,69.41e-3,794.6e-3,632.1e-3,795.8e-3,465.4e-6,794.7e-3,794.7e-3
8,802.6e-3,807.3e-3,806e-3,68.53e-3,785.1e-3,624.4e-3,788e-3,463.3e-6,785.8e-3,785.8e-3
9,795.4e-3,800.3e-3,800.2e-3,67.93e-3,778e-3,618.8e-3,782.2e-3,461e-6,779.4e-3,779.4e-3
10,786.9e-3,791.9e-3,793.2e-3,67.21e-3,769.7e-3,612.2e-3,775.4e-3,458.3e-6,771.7e-3,771.7e-3
11,778.8e-3,783.7e-3,786.5e-3,66.51e-3,761.6e-3,605.6e-3,768.7e-3,455.5e-6,764.2e-3,764.2e-3
12,768.3e-3,772.8e-3,777.8e-3,65.57e-3,751.4e-3,597.1e-3,760.2e-3,452.3e-6,754.5e-3,754.5e-3
13,761.1e-3,765.8e-3,771.9e-3,64.97e-3,744.3e-3,591.5e-3,754.3e-3,449.9e-6,748e-3,748e-3
14,751.3e-3,755.7e-3,763.7e-3,64.11e-3,734.7e-3,583.6e-3,746.3e-3,446.6e-6,738.9e-3,738.9e-3
15,743e-3,747.5e-3,756.8e-3,63.4e-3,726.5e-3,576.9e-3,739.5e-3,443.6e-6,731.3e-3,731.3e-3
16,732.3e-3,736.3e-3,747.8e-3,62.45e-3,716.2e-3,568.9e-3,730.8e-3,442.8e-6,721.4e-3,721.4e-3
17,725e-3,729.3e-3,741.7e-3,61.85e-3,709.1e-3,563.4e-3,724.8e-3,440.5e-6,714.8e-3,714.8e-3
18,716.5e-3,720.7e-3,734.5e-3,61.12e-3,700.7e-3,556.6e-3,717.7e-3,437.8e-6,707e-3,707e-3
19,708.2e-3,712.5e-3,727.5e-3,60.41e-3,692.5e-3,550.1e-3,710.7e-3,435e-6,699.3e-3,699.3e-3
20,699e-3,703.1e-3,719.6e-3,59.61e-3,683.5e-3,542.9e-3,703.1e-3,432.4e-6,690.8e-3,690.8e-3
21,691.7e-3,696e-3,713.3e-3,59.01e-3,676.3e-3,537.3e-3,696.9e-3,429.9e-6,684.1e-3,684.1e-3
22,681.8e-3,685.9e-3,704.9e-3,58.15e-3,666.6e-3,529.3e-3,688.6e-3,426.6e-6,674.9e-3,674.9e-3
23,673.5e-3,677.6e-3,697.7e-3,57.44e-3,658.4e-3,522.7e-3,681.4e-3,423.7e-6,667.1e-3,667.1e-3
24,662.1e-3,665.6e-3,687.8e-3,56.42e-3,647.4e-3,513.8e-3,671.9e-3,420.9e-6,656.4e-3,656.4e-3
25,654.8e-3,658.5e-3,681.5e-3,55.81e-3,640.1e-3,508.1e-3,665.6e-3,418.5e-6,649.7e-3,649.7e-3
26,646.1e-3,649.9e-3,673.9e-3,55.08e-3,631.7e-3,501.4e-3,658.2e-3,415.7e-6,641.6e-3,641.6e-3
27,637.8e-3,641.6e-3,666.6e-3,54.37e-3,623.4e-3,494.8e-3,651e-3,412.7e-6,633.8e-3,633.8e-3
28,627e-3,630.4e-3,657.2e-3,53.42e-3,613e-3,486.3e-3,641.8e-3,409.5e-6,623.6e-3,623.6e-3
29,619.7e-3,623.3e-3,650.7e-3,52.82e-3,605.7e-3,480.7e-3,635.4e-3,406.9e-6,616.8e-3,616.8e-3
30,609.7e-3,613e-3,641.8e-3,51.95e-3,595.9e-3,472.7e-3,626.7e-3,403.4e-6,607.4e-3,607.4e-3
31,601.3e-3,604.6e-3,634.3e-3,51.23e-3,587.6e-3,466.1e-3,619.2e-3,400.3e-6,599.4e-3,599.4e-3
