VREF [V],"IREF (tttt, temp=27) [A]","IREF (rcff, temp=-40) [A]","IREF (rcff, temp=85) [A]","IREF (rcss, temp=-40) [A]","IREF (rcss, temp=85) [A]","IREF (rxfs, temp=-40) [A]","IREF (rxfs, temp=85) [A]","IREF (rxsf, temp=-40) [A]","IREF (rxsf, temp=85) [A]"
0,-1.76E-10,-5.89E-10,-5.56E-10,-1.24E-10,-1.81E-10,-3.02E-10,-3.39E-10,-1.18E-10,-1.62E-10
0.03,7.22440386867561e-07,1.309257729846446e-06,1.119772969413589e-06,6.619317180967238e-07,6.663829765696819e-07,9.607702849126379e-07,8.972781484423581e-07,6.428086462630916e-07,6.322260711838204e-07
0.06,1.200706264390674e-06,2.184457161578576e-06,1.965541183410694e-06,1.074548337552108e-06,1.163740473365126e-06,1.549796919583389e-06,1.548623401328325e-06,1.040162007435693e-06,1.099807994570374e-06
0.09,1.472275114959658e-06,2.699864614950542e-06,2.53765942496185e-06,1.29332784777718e-06,1.49377884136326e-06,1.865961496129667e-06,1.967024343354764e-06,1.248731789853432e-06,1.406244681663533e-06
0.12,1.622007922490689e-06,2.997647942258275e-06,2.908996798337227e-06,1.404548289425199e-06,1.700764811874895e-06,2.039470425887338e-06,2.226935436181757e-06,1.35394789222397e-06,1.596086998505489e-06
0.15,1.707589061429654e-06,3.179945156845363e-06,3.150941891470408e-06,1.46375109701909e-06,1.828626599137592e-06,2.145974110820803e-06,2.392019547008756e-06,1.409766336669688e-06,1.71222925224826e-06
0.18,1.760569620465414e-06,3.303897538287249e-06,3.314034323413966e-06,1.4984741883898e-06,1.908802350300222e-06,2.22126874315125e-06,2.502722076394938e-06,1.442518316815953e-06,1.784617111660153e-06
0.21,1.796578951065679e-06,3.397662659223945e-06,3.430344630734254e-06,1.521128812060172e-06,1.96102874955118e-06,2.281166982506519e-06,2.582547201045065e-06,1.463944305609026e-06,1.83165231546544e-06
0.24,1.823257900304828e-06,3.474943674323091e-06,3.518690502416435e-06,1.537371918729111e-06,1.996768086652016e-06,2.332891283713721e-06,2.644448145500049e-06,1.479362580599128e-06,1.863847923191896e-06
0.27,1.844483041446845e-06,3.542687234375142e-06,3.589863893259093e-06,1.551462833830517e-06,2.022511609442677e-06,2.38188796598071e-06,2.695548362261452e-06,1.492764702677915e-06,1.887089448898215e-06
0.3,1.8637681909242e-06,3.607073519123395e-06,3.650126739834479e-06,1.561204751325438e-06,2.041968721019344e-06,2.425458400352241e-06,2.739870664423129e-06,1.502091446499618e-06,1.904714622768976e-06
0.3300000000000001,1.8789344662709e-06,3.66444368107779e-06,3.706324790491964e-06,1.56971934835288e-06,2.059095721281807e-06,2.467630220166271e-06,2.781684271222353e-06,1.510265743294623e-06,1.920260203591593e-06
0.3600000000000001,1.892796593716819e-06,3.719733057710363e-06,3.753566059166689e-06,1.577355689689927e-06,2.071101424380145e-06,2.508885617486854e-06,2.818001222446433e-06,1.517614183373281e-06,1.931237118968253e-06
0.3900000000000001,1.905713049177573e-06,3.77358974570854e-06,3.797751471828735e-06,1.584345771092519e-06,2.081355099622357e-06,2.549547551750962e-06,2.852469611478305e-06,1.52435410044218e-06,1.940650897169659e-06
0.4200000000000002,1.917927410255695e-06,3.826455336724456e-06,3.839713677983001e-06,1.590847698977502e-06,2.090317892796662e-06,2.589837229123092e-06,2.885602634914299e-06,1.530633731479567e-06,1.948911695437315e-06
0.4500000000000002,1.92960934034563e-06,3.878637648529383e-06,3.880031499952894e-06,1.596971941424006e-06,2.098307714933895e-06,2.629909920954575e-06,2.917757468376827e-06,1.536556744670589e-06,1.956302409256037e-06
0.4800000000000002,1.940879784479146e-06,3.930356221065102e-06,3.919116050659897e-06,1.602797652892793e-06,2.105548969640864e-06,2.669877214429349e-06,2.949188212606337e-06,1.542197494759831e-06,1.963022829032267e-06
0.5100000000000002,1.951826857060903e-06,3.981771043686711e-06,3.957265392123519e-06,1.608382785249393e-06,2.112203454603928e-06,2.709821077757411e-06,2.980079438183871e-06,1.547610473269698e-06,1.969217116781661e-06
