# 20240219
# Chip 13

Iload [A],LDO_VDD [V]
0e-3,0.847
0.5e-3,0.840
1e-3,0.835
1.5e-3,0.830
2e-3,0.825
2.5e-3,0.819
3e-3,0.814
4e-3,0.805
5e-3,0.796
6e-3,0.787
7e-3,0.778
8e-3,0.768
9e-3,0.759
10e-3,0.749
11e-3,0.739
12e-3,0.729
13e-3,0.720
14e-3,0.710
15e-3,0.702
16e-3,0.692
17e-3,0.682
18e-3,0.672
19e-3,0.661
20e-3,0.649
21e-3,0.634
22e-3,0.62
23e-3,0.60
24e-3,0.57
25e-3,0.55
26e-3,0.52
27e-3,0.49
28e-3,0.45
29e-3,0.41
30e-3,0.37
31e-3,0.33
32e-3,0.31
33e-3,0.27
34e-3,0.23
35e-3,0.19
36e-3,0.15
37e-3,0.10
38e-3,0.02
