# 20240210
# Chip 11
# Center frequency: 1.665 GHz
# Span: 1 GHz
# Resolution bandwidth: 10 kHz
# Video bandwidth: 10 kHz
# Reference level: 0 dBm
# VCO coarse DAC: 400
# IREF = 0.76 uA

Frequency [Hz],Power [dBm]
1165000000,-81.698
1167500000,-81.645
1170000000,-81.490
1172500000,-81.498
1175000000,-81.579
1177500000,-77.472
1180000000,-80.713
1182500000,-77.330
1185000000,-79.821
1187500000,-80.139
1190000000,-78.157
1192500000,-78.404
1195000000,-78.776
1197500000,-80.339
1200000000,-78.914
1202500000,-80.886
1205000000,-81.680
1207500000,-81.825
1210000000,-81.911
1212500000,-79.636
1215000000,-82.187
1217500000,-81.587
1220000000,-81.659
1222500000,-81.378
1225000000,-81.934
1227500000,-81.933
1230000000,-81.144
1232500000,-79.926
1235000000,-79.369
1237500000,-82.023
1240000000,-77.583
1242500000,-80.305
1245000000,-79.665
1247500000,-80.239
1250000000,-79.934
1252500000,-79.216
1255000000,-79.581
1257500000,-78.506
1260000000,-78.543
1262500000,-78.774
1265000000,-77.589
1267500000,-77.557
1270000000,-76.865
1272500000,-78.443
1275000000,-80.903
1277500000,-80.673
1280000000,-80.124
1282500000,-79.561
1285000000,-81.547
1287500000,-81.354
1290000000,-81.143
1292500000,-81.009
1295000000,-81.672
1297500000,-80.599
1300000000,-81.482
1302500000,-81.413
1305000000,-79.926
1307500000,-79.649
1310000000,-78.035
1312500000,-79.307
1315000000,-78.736
1317500000,-78.311
1320000000,-76.855
1322500000,-76.338
1325000000,-76.554
1327500000,-75.162
1330000000,-77.164
1332500000,-75.210
1335000000,-78.823
1337500000,-77.976
1340000000,-80.497
1342500000,-78.478
1345000000,-80.362
1347500000,-80.227
1350000000,-79.324
1352500000,-80.665
1355000000,-81.250
1357500000,-79.874
1360000000,-78.473
1362500000,-81.505
1365000000,-80.617
1367500000,-79.840
1370000000,-78.197
1372500000,-77.804
1375000000,-78.104
1377500000,-78.490
1380000000,-79.103
1382500000,-77.595
1385000000,-76.081
1387500000,-76.372
1390000000,-76.127
1392500000,-75.987
1395000000,-80.142
1397500000,-78.656
1400000000,-77.267
1402500000,-78.630
1405000000,-79.566
1407500000,-80.773
1410000000,-80.892
1412500000,-78.848
1415000000,-80.926
1417500000,-80.281
1420000000,-80.187
1422500000,-79.436
1425000000,-75.958
1427500000,-76.834
1430000000,-79.262
1432500000,-76.406
1435000000,-79.353
1437500000,-76.502
1440000000,-77.386
1442500000,-76.081
1445000000,-79.764
1447500000,-78.499
1450000000,-78.552
1452500000,-73.318
1455000000,-79.734
1457500000,-80.024
1460000000,-80.624
1462500000,-80.803
1465000000,-80.856
1467500000,-81.340
1470000000,-81.196
1472500000,-81.174
1475000000,-80.826
1477500000,-81.376
1480000000,-80.220
1482500000,-81.209
1485000000,-80.468
1487500000,-80.151
1490000000,-79.563
1492500000,-79.747
1495000000,-79.311
1497500000,-76.241
1500000000,-80.973
1502500000,-79.587
1505000000,-76.531
1507500000,-72.631
1510000000,-74.828
1512500000,-73.357
1515000000,-71.706
1517500000,-72.134
1520000000,-70.139
1522500000,-72.044
1525000000,-73.013
1527500000,-72.168
1530000000,-78.732
1532500000,-72.665
1535000000,-72.506
1537500000,-72.491
1540000000,-76.189
1542500000,-72.771
1545000000,-75.957
1547500000,-70.613
1550000000,-70.188
1552500000,-71.308
1555000000,-74.033
1557500000,-72.253
1560000000,-79.806
1562500000,-75.143
1565000000,-77.230
