# 20240210
# Chip 11
# Center frequency: 1.5 GHz
# Span: 3 GHz
# Resolution bandwidth: 100 kHz
# Video bandwidth: 100 kHz
# Reference level: 0 dBm

Frequency [Hz],Power [dBm]
0,-74.390
7500000,-74.795
15000000,-75.342
22500000,-74.734
30000000,-75.386
37500000,-75.402
45000000,-75.450
52500000,-75.400
60000000,-74.655
67500000,-75.276
75000000,-74.863
82500000,-75.597
90000000,-75.522
97500000,-75.261
105000000,-74.872
112500000,-75.580
120000000,-73.711
127500000,-72.716
135000000,-71.745
142500000,-74.540
150000000,-74.966
157500000,-72.879
165000000,-74.881
172500000,-75.042
180000000,-74.305
187500000,-75.006
195000000,-74.836
202500000,-74.186
210000000,-74.546
217500000,-75.329
225000000,-74.426
232500000,-74.391
240000000,-74.279
247500000,-74.642
255000000,-74.452
262500000,-74.681
270000000,-74.456
277500000,-73.069
285000000,-74.318
292500000,-74.104
300000000,-74.015
307500000,-72.709
315000000,-73.769
322500000,-74.491
330000000,-73.133
337500000,-73.346
345000000,-73.626
352500000,-73.877
360000000,-74.449
367500000,-73.718
375000000,-74.125
382500000,-73.372
390000000,-74.199
397500000,-73.297
405000000,-72.211
412500000,-73.220
420000000,-70.390
427500000,-72.557
435000000,-71.744
442500000,-68.737
450000000,-68.267
457500000,-64.887
465000000,-48.013
472500000,-51.848
480000000,-62.861
487500000,-69.832
495000000,-69.543
502500000,-72.586
510000000,-71.364
517500000,-67.270
525000000,-71.013
532500000,-72.434
540000000,-73.007
547500000,-72.991
555000000,-73.594
562500000,-72.677
570000000,-72.148
577500000,-72.963
585000000,-72.707
592500000,-72.546
600000000,-69.837
607500000,-72.758
615000000,-73.731
622500000,-72.885
630000000,-72.863
637500000,-73.313
645000000,-72.866
652500000,-73.275
660000000,-73.629
667500000,-74.186
675000000,-74.671
682500000,-73.711
690000000,-74.233
697500000,-73.347
705000000,-72.924
712500000,-73.539
720000000,-73.545
727500000,-74.055
735000000,-73.567
742500000,-73.323
750000000,-73.192
757500000,-73.013
765000000,-73.889
772500000,-72.759
780000000,-71.336
787500000,-72.230
795000000,-73.847
802500000,-72.242
810000000,-69.925
817500000,-72.561
825000000,-73.275
832500000,-73.726
840000000,-73.457
847500000,-74.133
855000000,-73.466
862500000,-73.583
870000000,-73.031
877500000,-73.130
885000000,-72.388
892500000,-70.193
900000000,-71.908
907500000,-72.359
915000000,-71.652
922500000,-67.428
930000000,-67.361
937500000,-48.175
945000000,-54.678
952500000,-65.260
960000000,-71.464
967500000,-69.722
975000000,-73.597
982500000,-73.137
990000000,-71.112
997500000,-73.128
1005000000,-73.918
1012500000,-73.780
1020000000,-74.542
1027500000,-74.413
1035000000,-73.632
1042500000,-73.461
1050000000,-74.216
1057500000,-72.448
1065000000,-71.399
1072500000,-71.472
1080000000,-73.031
1087500000,-72.388
1095000000,-72.688
1102500000,-73.178
1110000000,-73.057
1117500000,-73.149
1125000000,-73.866
1132500000,-73.704
1140000000,-74.608
1147500000,-73.745
1155000000,-73.765
1162500000,-74.549
1170000000,-74.617
1177500000,-73.723
1185000000,-74.458
1192500000,-74.155
1200000000,-74.407
1207500000,-73.384
1215000000,-74.848
1222500000,-73.557
1230000000,-74.250
1237500000,-73.799
1245000000,-74.551
1252500000,-72.609
1260000000,-73.880
1267500000,-74.460
1275000000,-73.430
1282500000,-72.395
1290000000,-74.001
1297500000,-73.337
1305000000,-74.289
1312500000,-75.069
1320000000,-74.298
1327500000,-74.338
1335000000,-73.813
1342500000,-74.025
1350000000,-73.731
1357500000,-74.102
1365000000,-73.593
1372500000,-74.145
1380000000,-73.922
1387500000,-72.985
1395000000,-71.819
1402500000,-69.858
1410000000,-57.097
1417500000,-64.740
1425000000,-71.072
1432500000,-73.242
1440000000,-73.210
1447500000,-73.007
1455000000,-73.820
1462500000,-73.646
1470000000,-74.114
1477500000,-73.352
1485000000,-73.524
1492500000,-73.206
1500000000,-73.563
1507500000,-73.953
1515000000,-73.266
